,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - DEN @ CLE",L,29,16,6,11,54.5,3,5,60.0,1,2,50.0,0,3,3,0,1,1,1,0,-12,2017-02-11 00:00:00,CLE,AWAY
1,"FEB 10, 2017 - DEN @ NYK",W,34,16,6,10,60.0,3,6,50.0,1,1,100.0,2,5,7,2,1,0,2,0,22,2017-02-10 00:00:00,NYK,AWAY
2,"FEB 08, 2017 - DEN @ ATL",L,34,13,5,14,35.7,1,8,12.5,2,3,66.7,0,1,1,3,2,0,2,2,-14,2017-02-08 00:00:00,ATL,AWAY
3,"FEB 06, 2017 - DEN vs. DAL",W,37,20,5,12,41.7,4,5,80.0,6,6,100.0,2,3,5,1,2,0,3,1,20,2017-02-06 00:00:00,DAL,HOME
4,"FEB 04, 2017 - DEN @ SAS",L,25,8,4,9,44.4,0,1,0.0,0,0,0.0,1,3,4,3,2,0,0,0,-16,2017-02-04 00:00:00,SAS,AWAY
5,"FEB 03, 2017 - DEN vs. MIL",W,27,14,6,13,46.2,2,6,33.3,0,0,0.0,0,2,2,2,2,0,1,4,5,2017-02-03 00:00:00,MIL,HOME
6,"FEB 01, 2017 - DEN vs. MEM",L,25,12,4,4,100.0,2,2,100.0,2,2,100.0,0,2,2,1,1,0,2,0,-8,2017-02-01 00:00:00,MEM,HOME
7,"JAN 31, 2017 - DEN @ LAL",L,32,17,6,11,54.5,3,4,75.0,2,2,100.0,1,3,4,4,4,0,4,3,-5,2017-01-31 00:00:00,LAL,AWAY
8,"JAN 28, 2017 - DEN @ PHX",W,35,15,6,15,40.0,1,6,16.7,2,3,66.7,1,6,7,4,2,0,0,4,12,2017-01-28 00:00:00,PHX,AWAY
9,"JAN 26, 2017 - DEN vs. PHX",W,28,8,2,9,22.2,2,4,50.0,2,2,100.0,1,0,1,1,1,2,3,1,6,2017-01-26 00:00:00,PHX,HOME
10,"JAN 24, 2017 - DEN vs. UTA",W,27,10,4,11,36.4,1,6,16.7,1,2,50.0,0,2,2,2,0,0,1,1,8,2017-01-24 00:00:00,UTA,HOME
11,"JAN 22, 2017 - DEN @ MIN",L,35,22,9,13,69.2,2,4,50.0,2,2,100.0,2,3,5,3,1,0,2,1,7,2017-01-22 00:00:00,MIN,AWAY
12,"JAN 16, 2017 - DEN vs. ORL",W,3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2017-01-16 00:00:00,ORL,HOME
13,"JAN 12, 2017 - DEN vs. IND",W,34,16,6,11,54.5,1,1,100.0,3,3,100.0,0,5,5,6,1,0,1,2,26,2017-01-12 00:00:00,IND,HOME
14,"JAN 05, 2017 - DEN vs. SAS",L,26,8,3,11,27.3,1,4,25.0,1,2,50.0,1,0,1,5,1,0,1,1,-15,2017-01-05 00:00:00,SAS,HOME
15,"JAN 03, 2017 - DEN vs. SAC",L,32,15,6,11,54.5,3,4,75.0,0,0,0.0,1,0,1,3,1,0,0,0,0,2017-01-03 00:00:00,SAC,HOME
16,"JAN 02, 2017 - DEN @ GSW",L,31,11,5,12,41.7,0,3,0.0,1,2,50.0,3,1,4,3,2,0,0,3,-10,2017-01-02 00:00:00,GSW,AWAY
17,"DEC 30, 2016 - DEN vs. PHI",L,34,17,5,12,41.7,2,6,33.3,5,6,83.3,1,3,4,4,1,0,3,2,3,2016-12-30 00:00:00,PHI,HOME
18,"DEC 28, 2016 - DEN vs. MIN",W,29,17,7,12,58.3,2,5,40.0,1,1,100.0,1,3,4,1,0,0,2,0,1,2016-12-28 00:00:00,MIN,HOME
19,"DEC 26, 2016 - DEN @ LAC",W,31,10,2,9,22.2,1,4,25.0,5,6,83.3,1,3,4,1,0,0,0,2,7,2016-12-26 00:00:00,LAC,AWAY
20,"DEC 23, 2016 - DEN vs. ATL",L,30,12,5,12,41.7,0,3,0.0,2,3,66.7,2,0,2,4,1,1,0,1,-9,2016-12-23 00:00:00,ATL,HOME
21,"DEC 20, 2016 - DEN @ LAC",L,19,3,1,6,16.7,1,2,50.0,0,0,0.0,1,1,2,1,1,0,1,0,-28,2016-12-20 00:00:00,LAC,AWAY
22,"DEC 19, 2016 - DEN vs. DAL",W,34,24,9,13,69.2,4,6,66.7,2,4,50.0,0,2,2,4,2,0,3,4,28,2016-12-19 00:00:00,DAL,HOME
23,"DEC 17, 2016 - DEN vs. NYK",W,30,16,6,9,66.7,0,1,0.0,4,6,66.7,0,2,2,2,1,0,0,2,20,2016-12-17 00:00:00,NYK,HOME
24,"DEC 15, 2016 - DEN vs. POR",W,32,18,7,11,63.6,3,4,75.0,1,1,100.0,0,4,4,6,2,1,0,4,13,2016-12-15 00:00:00,POR,HOME
25,"NOV 12, 2016 - DEN vs. DET",L,28,13,5,11,45.5,0,2,0.0,3,3,100.0,0,4,4,4,0,0,1,2,1,2016-11-12 00:00:00,DET,HOME
26,"NOV 10, 2016 - DEN vs. GSW",L,18,11,5,7,71.4,1,2,50.0,0,2,0.0,1,1,2,3,0,0,2,0,-24,2016-11-10 00:00:00,GSW,HOME
27,"NOV 08, 2016 - DEN @ MEM",L,30,15,5,13,38.5,2,6,33.3,3,4,75.0,1,2,3,3,1,0,3,3,-3,2016-11-08 00:00:00,MEM,AWAY
28,"NOV 06, 2016 - DEN @ BOS",W,22,12,5,10,50.0,1,2,50.0,1,1,100.0,0,4,4,1,1,1,0,5,-1,2016-11-06 00:00:00,BOS,AWAY
29,"NOV 05, 2016 - DEN @ DET",L,16,3,1,5,20.0,0,1,0.0,1,2,50.0,1,2,3,1,0,0,0,0,0,2016-11-05 00:00:00,DET,AWAY
