BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,29,31.6,17.7,6.2,12.8,48.5,2.0,4.9,40.6,3.3,4.2,79.3,0.6,3.0,3.5,4.1,1.4,1.0,0.3,2.4,0,0,8.0
Home,17,30.7,16.8,5.8,11.6,49.5,2.3,4.8,47.6,3.0,4.1,73.9,0.5,3.0,3.5,3.6,1.5,0.9,0.2,2.4,0,0,9.8
Road,12,33.0,19.0,6.8,14.4,47.4,1.6,5.1,31.1,3.8,4.3,86.5,0.6,2.9,3.5,4.8,1.4,1.0,0.3,2.6,0,0,5.3
Wins,22,31.2,18.5,6.3,12.3,51.3,2.2,4.9,44.4,3.7,4.7,77.9,0.6,3.1,3.8,4.2,1.3,1.0,0.2,2.3,0,0,12.6
Losses,7,33.1,15.3,5.9,14.3,41.0,1.4,5.0,28.6,2.1,2.4,88.2,0.3,2.4,2.7,3.9,2.0,1.0,0.4,2.9,0,0,-6.7
October,3,35.3,20.0,7.3,15.0,48.9,1.7,5.7,29.4,3.7,4.3,84.6,0.3,2.0,2.3,4.0,1.3,1.3,0.7,3.0,0,0,0.0
November,8,31.7,20.0,7.0,12.6,55.4,2.6,5.0,52.5,3.4,3.8,90.0,0.4,3.6,4.0,4.3,1.4,1.0,0.0,2.1,0,0,11.4
December,2,18.2,12.0,4.5,6.5,69.2,1.0,1.0,100,2.0,4.0,50.0,0.5,4.0,4.5,4.0,1.0,1.5,0.5,1.0,0,0,18.0
January,12,33.0,16.4,5.7,13.8,41.0,1.6,4.9,32.2,3.5,4.5,77.8,0.8,3.0,3.8,4.1,1.9,0.8,0.3,2.8,0,0,3.4
February,4,31.4,18.3,6.3,11.5,54.3,2.8,6.3,44.0,3.0,4.0,75.0,0.3,1.8,2.0,4.0,0.5,0.8,0.5,2.5,0,0,15.8
Pre All-Star,29,31.6,17.7,6.2,12.8,48.5,2.0,4.9,40.6,3.3,4.2,79.3,0.6,3.0,3.5,4.1,1.4,1.0,0.3,2.4,0,0,8.0
Starters,29,31.6,17.7,6.2,12.8,48.5,2.0,4.9,40.6,3.3,4.2,79.3,0.6,3.0,3.5,4.1,1.4,1.0,0.3,2.4,0,0,8.0
0 Days Rest,6,33.7,18.2,6.0,13.8,43.4,2.0,4.8,41.4,4.2,5.0,83.3,0.3,3.0,3.3,4.5,2.3,1.0,0.2,3.0,0,0,6.8
1 Days Rest,13,30.1,16.2,6.0,12.3,48.8,1.8,5.0,36.9,2.3,3.2,73.2,0.7,2.6,3.3,4.3,1.2,1.0,0.2,2.0,0,0,4.3
2 Days Rest,4,32.3,23.5,7.5,13.3,56.6,3.0,6.0,50.0,5.5,6.8,81.5,0.5,3.5,4.0,2.3,1.0,0.0,0.5,3.0,0,0,15.3
3 Days Rest,2,32.7,10.0,4.0,11.0,36.4,1.0,3.5,28.6,1.0,1.0,100,0.0,1.5,1.5,2.5,1.5,0.5,0.0,3.5,0,0,6.0
5 Days Rest,1,38.8,19.0,7.0,18.0,38.9,1.0,6.0,16.7,4.0,4.0,100,0.0,2.0,2.0,6.0,1.0,2.0,1.0,2.0,0,0,2.0
6+ Days Rest,3,30.3,20.7,7.0,11.7,60.0,2.3,4.0,58.3,4.3,5.7,76.5,1.0,5.0,6.0,5.3,1.7,2.0,0.3,2.0,0,0,19.7
