BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,32,11.1,5.2,1.9,4.9,38.2,0.8,2.2,33.8,0.7,0.8,80.8,0.4,1.5,1.9,0.8,0.4,0.2,0.2,1.1,0,0,-0.8
Home,18,10.6,5.0,1.8,4.4,40.0,0.7,2.0,36.1,0.7,0.8,92.9,0.5,1.7,2.2,1.1,0.4,0.2,0.1,1.0,0,0,-0.8
Road,14,11.8,5.4,2.0,5.5,36.4,0.8,2.5,31.4,0.6,0.9,66.7,0.4,1.1,1.5,0.4,0.5,0.3,0.3,1.1,0,0,-0.9
Wins,23,10.4,5.0,1.8,4.4,40.6,0.7,2.0,33.3,0.7,0.9,85.0,0.6,1.3,1.9,0.8,0.4,0.3,0.1,0.8,0,0,-0.5
Losses,9,12.8,5.7,2.1,6.2,33.9,1.0,2.9,34.6,0.4,0.7,66.7,0.1,1.9,2.0,0.8,0.6,0.1,0.2,1.7,0,0,-1.6
October,3,12.1,5.0,2.0,5.0,40.0,0.3,2.0,16.7,0.7,0.7,100,0.3,2.0,2.3,1.0,0.7,0.0,0.3,0.7,0,0,-2.3
November,7,10.3,3.7,1.3,4.6,28.1,0.9,2.6,33.3,0.3,0.3,100,0.4,1.4,1.9,1.7,0.6,0.1,0.0,1.3,0,0,-0.6
December,7,10.0,6.3,2.3,4.9,47.1,1.1,2.4,47.1,0.6,0.9,66.7,0.9,1.1,2.0,0.6,0.4,0.6,0.4,0.7,0,0,0.4
January,11,12.0,5.3,1.8,5.2,35.1,0.6,2.2,29.2,1.0,1.1,91.7,0.2,1.8,2.0,0.4,0.3,0.1,0.1,1.3,0,0,-0.8
February,4,11.1,5.5,2.3,4.8,47.4,0.5,1.5,33.3,0.5,1.0,50.0,0.5,0.8,1.3,0.8,0.5,0.3,0.0,1.0,0,0,-2.3
Pre All-Star,32,11.1,5.2,1.9,4.9,38.2,0.8,2.2,33.8,0.7,0.8,80.8,0.4,1.5,1.9,0.8,0.4,0.2,0.2,1.1,0,0,-0.8
Bench,32,11.1,5.2,1.9,4.9,38.2,0.8,2.2,33.8,0.7,0.8,80.8,0.4,1.5,1.9,0.8,0.4,0.2,0.2,1.1,0,0,-0.8
0 Days Rest,7,12.4,6.6,2.3,5.4,42.1,1.0,2.4,41.2,1.0,1.1,87.5,0.3,1.3,1.6,0.4,0.0,0.1,0.3,1.1,0,0,-1.3
1 Days Rest,10,11.3,4.8,1.7,5.4,31.5,0.8,2.4,33.3,0.6,0.6,100,0.5,1.4,1.9,0.6,0.5,0.2,0.2,1.0,0,0,-0.4
2 Days Rest,5,12.5,5.8,2.2,5.2,42.3,0.6,2.0,30.0,0.8,1.2,66.7,0.2,1.8,2.0,1.4,1.0,0.0,0.0,1.6,0,0,-0.6
3 Days Rest,3,9.8,2.3,0.7,2.7,25.0,0.0,1.7,0.0,1.0,1.3,75.0,0.3,0.7,1.0,1.3,0.3,0.3,0.0,0.7,0,0,0.0
4 Days Rest,2,9.6,5.0,2.0,5.0,40.0,1.0,2.5,40.0,0.0,0.0,0.0,1.5,1.5,3.0,2.0,0.0,1.0,0.5,0.5,0,0,6.5
6+ Days Rest,5,8.9,5.0,2.0,4.2,47.6,0.8,2.0,40.0,0.2,0.4,50.0,0.4,2.0,2.4,0.4,0.6,0.2,0.0,1.0,0,0,-4.6
