BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,53,31.9,10.3,4.3,8.3,52.0,0.2,0.4,34.8,1.5,1.9,78.0,2.3,5.5,7.8,1.9,1.4,0.9,1.1,3.2,7,0,0.7
Home,29,32.4,9.3,3.9,7.9,49.1,0.1,0.3,37.5,1.4,1.9,77.8,2.2,5.2,7.5,2.0,1.4,1.0,0.8,2.9,3,0,3.9
Road,24,31.3,11.5,4.9,8.8,55.2,0.2,0.6,33.3,1.5,1.9,78.3,2.3,5.9,8.2,1.9,1.3,0.9,1.5,3.5,4,0,-3.2
Wins,20,32.1,10.3,4.4,8.7,50.9,0.3,0.6,45.5,1.3,1.5,86.2,2.2,5.2,7.4,2.2,1.3,1.1,1.3,3.5,3,0,10.1
Losses,33,31.8,10.3,4.3,8.2,52.8,0.1,0.4,25.0,1.6,2.2,74.6,2.3,5.8,8.1,1.8,1.4,0.9,1.0,3.0,4,0,-5.0
October,2,34.3,13.0,5.0,9.5,52.6,0.0,1.0,0.0,3.0,3.0,100,4.5,9.0,13.5,2.0,0.5,1.0,1.5,3.5,2,0,7.5
November,16,31.6,10.2,4.2,8.1,51.9,0.1,0.4,33.3,1.7,2.4,71.1,2.6,5.1,7.6,2.7,2.2,1.0,1.3,3.3,3,0,-1.8
December,15,33.9,10.2,4.5,8.4,54.0,0.1,0.4,33.3,1.0,1.3,75.0,2.1,5.1,7.2,1.4,1.4,1.0,1.3,3.5,0,0,1.3
January,15,31.0,11.3,4.7,8.9,52.6,0.2,0.5,42.9,1.8,2.2,81.8,1.9,5.4,7.3,1.9,0.9,0.9,0.9,2.9,2,0,3.3
February,5,28.8,6.8,3.0,7.0,42.9,0.2,0.4,50.0,0.6,0.6,100,2.0,7.4,9.4,1.2,0.2,0.6,0.6,2.6,0,0,-3.6
Pre All-Star,53,31.9,10.3,4.3,8.3,52.0,0.2,0.4,34.8,1.5,1.9,78.0,2.3,5.5,7.8,1.9,1.4,0.9,1.1,3.2,7,0,0.7
Starters,53,31.9,10.3,4.3,8.3,52.0,0.2,0.4,34.8,1.5,1.9,78.0,2.3,5.5,7.8,1.9,1.4,0.9,1.1,3.2,7,0,0.7
0 Days Rest,8,34.0,9.5,4.3,9.3,45.9,0.4,0.8,50.0,0.6,0.6,100,2.0,6.6,8.6,2.9,0.9,0.9,0.9,2.8,1,0,6.6
1 Days Rest,36,31.8,10.4,4.3,8.4,51.2,0.1,0.4,30.8,1.7,2.1,78.9,2.3,5.4,7.7,1.8,1.6,0.9,1.2,3.4,3,0,-0.9
2 Days Rest,7,29.6,11.4,4.9,7.4,65.4,0.1,0.4,33.3,1.6,2.4,64.7,2.1,4.6,6.7,1.9,1.1,1.4,0.9,2.9,2,0,1.6
3 Days Rest,1,32.8,4.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,2.0,3.0,0,0,7.0
4 Days Rest,1,34.0,12.0,5.0,10.0,50.0,0.0,1.0,0.0,2.0,2.0,100,5.0,9.0,14.0,2.0,0.0,2.0,1.0,3.0,1,0,0.0
