,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - MIL @ IND",W,26,17,6,8,75.0,0,0,0.0,5,6,83.3,1,7,8,4,1,2,2,3,21,2017-02-11 00:00:00,IND,AWAY
1,"FEB 10, 2017 - MIL vs. LAL",L,19,8,3,6,50.0,0,0,0.0,2,2,100.0,0,1,1,3,1,0,2,4,11,2017-02-10 00:00:00,LAL,HOME
2,"FEB 08, 2017 - MIL vs. MIA",L,22,6,2,5,40.0,0,0,0.0,2,3,66.7,2,5,7,2,0,0,0,2,-4,2017-02-08 00:00:00,MIA,HOME
3,"FEB 04, 2017 - MIL @ PHX",W,20,13,5,5,100.0,0,0,0.0,3,3,100.0,0,4,4,2,3,1,1,5,24,2017-02-04 00:00:00,PHX,AWAY
4,"FEB 03, 2017 - MIL @ DEN",L,13,8,3,6,50.0,0,0,0.0,2,4,50.0,1,1,2,1,0,0,0,1,-7,2017-02-03 00:00:00,DEN,AWAY
5,"FEB 01, 2017 - MIL @ UTA",L,24,13,6,12,50.0,0,0,0.0,1,2,50.0,1,3,4,1,2,0,0,3,-10,2017-02-01 00:00:00,UTA,AWAY
6,"JAN 28, 2017 - MIL vs. BOS",L,35,14,4,10,40.0,0,0,0.0,6,9,66.7,3,10,13,1,3,3,1,5,0,2017-01-28 00:00:00,BOS,HOME
7,"JAN 27, 2017 - MIL @ TOR",L,17,6,3,5,60.0,0,0,0.0,0,0,0.0,1,1,2,1,1,1,2,0,-15,2017-01-27 00:00:00,TOR,AWAY
8,"JAN 25, 2017 - MIL vs. PHI",L,30,28,11,17,64.7,0,0,0.0,6,7,85.7,6,3,9,2,1,0,4,2,9,2017-01-25 00:00:00,PHI,HOME
9,"JAN 23, 2017 - MIL vs. HOU",W,27,17,7,13,53.8,0,1,0.0,3,4,75.0,2,8,10,1,3,0,2,3,13,2017-01-23 00:00:00,HOU,HOME
10,"JAN 21, 2017 - MIL @ MIA",L,17,9,3,7,42.9,0,0,0.0,3,4,75.0,3,3,6,0,0,0,2,1,-12,2017-01-21 00:00:00,MIA,AWAY
11,"JAN 20, 2017 - MIL @ ORL",L,14,7,2,6,33.3,0,0,0.0,3,6,50.0,4,1,5,1,1,0,0,2,-28,2017-01-20 00:00:00,ORL,AWAY
12,"JAN 18, 2017 - MIL @ HOU",L,18,2,1,4,25.0,0,0,0.0,0,0,0.0,2,2,4,2,0,1,4,1,-8,2017-01-18 00:00:00,HOU,AWAY
13,"JAN 16, 2017 - MIL vs. PHI",L,21,14,6,13,46.2,0,0,0.0,2,4,50.0,4,2,6,2,1,0,3,1,-12,2017-01-16 00:00:00,PHI,HOME
14,"JAN 15, 2017 - MIL @ ATL",L,20,13,6,12,50.0,0,0,0.0,1,2,50.0,1,0,1,1,0,0,2,4,-13,2017-01-15 00:00:00,ATL,AWAY
15,"JAN 13, 2017 - MIL vs. MIA",W,25,16,5,13,38.5,0,0,0.0,6,6,100.0,5,6,11,0,0,0,1,1,0,2017-01-13 00:00:00,MIA,HOME
16,"JAN 10, 2017 - MIL @ SAS",W,28,14,7,13,53.8,0,0,0.0,0,0,0.0,4,5,9,4,0,0,3,4,2,2017-01-10 00:00:00,SAS,AWAY
17,"JAN 08, 2017 - MIL vs. WAS",L,33,12,5,12,41.7,0,0,0.0,2,2,100.0,2,10,12,3,4,1,3,1,4,2017-01-08 00:00:00,WAS,HOME
18,"JAN 06, 2017 - MIL vs. NYK",L,28,19,6,11,54.5,0,0,0.0,7,10,70.0,2,5,7,4,2,1,1,2,1,2017-01-06 00:00:00,NYK,HOME
19,"JAN 04, 2017 - MIL @ NYK",W,31,18,7,10,70.0,0,0,0.0,4,10,40.0,3,6,9,4,3,1,3,1,7,2017-01-04 00:00:00,NYK,AWAY
20,"JAN 02, 2017 - MIL vs. OKC",W,27,15,7,10,70.0,0,0,0.0,1,4,25.0,1,7,8,2,1,1,1,2,10,2017-01-02 00:00:00,OKC,HOME
21,"DEC 31, 2016 - MIL @ CHI",W,34,15,6,13,46.2,0,0,0.0,3,4,75.0,4,8,12,2,2,0,1,2,27,2016-12-31 00:00:00,CHI,AWAY
22,"DEC 30, 2016 - MIL @ MIN",L,14,8,4,10,40.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-11,2016-12-30 00:00:00,MIN,AWAY
23,"DEC 28, 2016 - MIL @ DET",W,27,14,7,10,70.0,0,0,0.0,0,1,0.0,0,5,5,6,2,1,2,2,20,2016-12-28 00:00:00,DET,AWAY
24,"DEC 26, 2016 - MIL @ WAS",L,22,16,7,10,70.0,0,0,0.0,2,4,50.0,2,4,6,1,1,0,2,0,-10,2016-12-26 00:00:00,WAS,AWAY
25,"DEC 23, 2016 - MIL vs. WAS",W,21,12,5,7,71.4,0,0,0.0,2,2,100.0,1,10,11,4,1,1,2,1,29,2016-12-23 00:00:00,WAS,HOME
26,"DEC 21, 2016 - MIL @ CLE",L,18,8,3,7,42.9,0,1,0.0,2,4,50.0,1,6,7,0,0,1,1,1,-12,2016-12-21 00:00:00,CLE,AWAY
27,"DEC 20, 2016 - MIL vs. CLE",L,18,6,3,5,60.0,0,0,0.0,0,1,0.0,1,3,4,1,0,0,1,1,1,2016-12-20 00:00:00,CLE,HOME
28,"DEC 16, 2016 - MIL @ CHI",W,23,14,6,14,42.9,0,0,0.0,2,3,66.7,4,8,12,3,0,0,3,2,14,2016-12-16 00:00:00,CHI,AWAY
29,"DEC 15, 2016 - MIL vs. CHI",W,22,7,3,7,42.9,0,0,0.0,1,1,100.0,0,5,5,3,2,1,0,1,11,2016-12-15 00:00:00,CHI,HOME
30,"DEC 12, 2016 - MIL @ TOR",L,16,11,5,5,100.0,0,0,0.0,1,1,100.0,1,1,2,0,1,0,1,2,-11,2016-12-12 00:00:00,TOR,AWAY
31,"DEC 10, 2016 - MIL @ WAS",L,23,6,2,5,40.0,0,0,0.0,2,2,100.0,0,7,7,5,0,0,2,3,-1,2016-12-10 00:00:00,WAS,AWAY
32,"DEC 09, 2016 - MIL vs. ATL",L,23,14,6,13,46.2,0,0,0.0,2,2,100.0,2,4,6,5,2,0,1,1,4,2016-12-09 00:00:00,ATL,HOME
33,"DEC 07, 2016 - MIL vs. POR",W,23,15,5,7,71.4,0,0,0.0,5,8,62.5,0,4,4,1,3,0,1,0,11,2016-12-07 00:00:00,POR,HOME
34,"DEC 05, 2016 - MIL vs. SAS",L,21,10,5,9,55.6,0,0,0.0,0,1,0.0,2,11,13,2,0,0,2,2,2,2016-12-05 00:00:00,SAS,HOME
35,"DEC 03, 2016 - MIL vs. BKN",W,21,13,5,10,50.0,0,0,0.0,3,3,100.0,2,5,7,1,4,1,2,4,-11,2016-12-03 00:00:00,BKN,HOME
36,"DEC 01, 2016 - MIL @ BKN",W,20,2,1,4,25.0,0,0,0.0,0,0,0.0,3,3,6,2,1,1,3,2,8,2016-12-01 00:00:00,BKN,AWAY
37,"NOV 29, 2016 - MIL vs. CLE",W,26,14,6,8,75.0,0,0,0.0,2,2,100.0,3,3,6,4,2,1,3,2,23,2016-11-29 00:00:00,CLE,HOME
38,"NOV 27, 2016 - MIL @ ORL",W,17,11,4,6,66.7,0,0,0.0,3,4,75.0,2,5,7,1,1,0,0,2,7,2016-11-27 00:00:00,ORL,AWAY
39,"NOV 25, 2016 - MIL vs. TOR",L,19,8,4,8,50.0,0,0,0.0,0,0,0.0,4,6,10,1,0,0,1,3,-1,2016-11-25 00:00:00,TOR,HOME
40,"NOV 21, 2016 - MIL vs. ORL",W,8,2,1,4,25.0,0,0,0.0,0,0,0.0,0,2,2,0,1,1,0,1,9,2016-11-21 00:00:00,ORL,HOME
41,"NOV 19, 2016 - MIL vs. GSW",L,2,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-6,2016-11-19 00:00:00,GSW,HOME
42,"NOV 16, 2016 - MIL @ ATL",L,7,4,1,4,25.0,0,0,0.0,2,2,100.0,2,1,3,0,0,0,0,0,-7,2016-11-16 00:00:00,ATL,AWAY
43,"NOV 12, 2016 - MIL vs. MEM",W,21,7,2,3,66.7,0,0,0.0,3,4,75.0,1,6,7,3,2,0,2,3,8,2016-11-12 00:00:00,MEM,HOME
44,"NOV 10, 2016 - MIL vs. NOP",L,20,8,3,5,60.0,0,0,0.0,2,2,100.0,1,2,3,2,1,0,1,1,-5,2016-11-10 00:00:00,NOP,HOME
45,"NOV 06, 2016 - MIL @ DAL",L,29,14,5,10,50.0,0,0,0.0,4,4,100.0,1,11,12,1,3,0,5,2,-1,2016-11-06 00:00:00,DAL,AWAY
46,"NOV 05, 2016 - MIL vs. SAC",W,14,6,2,4,50.0,0,0,0.0,2,2,100.0,0,3,3,2,1,1,1,3,16,2016-11-05 00:00:00,SAC,HOME
47,"NOV 03, 2016 - MIL vs. IND",W,26,16,6,11,54.5,0,0,0.0,4,5,80.0,6,10,16,7,0,1,1,2,0,2016-11-03 00:00:00,IND,HOME
48,"NOV 01, 2016 - MIL @ NOP",W,18,6,2,6,33.3,0,0,0.0,2,2,100.0,4,8,12,6,0,1,2,4,1,2016-11-01 00:00:00,NOP,AWAY
49,"OCT 30, 2016 - MIL @ DET",L,18,11,4,9,44.4,0,0,0.0,3,3,100.0,1,4,5,0,2,0,1,2,-10,2016-10-30 00:00:00,DET,AWAY
50,"OCT 29, 2016 - MIL vs. BKN",W,19,11,3,7,42.9,0,0,0.0,5,5,100.0,1,2,3,3,4,0,2,0,14,2016-10-29 00:00:00,BKN,HOME
51,"OCT 26, 2016 - MIL vs. CHA",L,29,14,5,13,38.5,0,0,0.0,4,5,80.0,5,5,10,3,1,3,1,0,2,2016-10-26 00:00:00,CHA,HOME
