BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,49,34.5,29.9,9.3,20.0,46.6,3.2,8.4,37.9,8.0,8.7,91.8,0.6,2.1,2.7,6.3,2.6,0.9,0.1,2.1,5,0,2.5
Home,26,34.7,31.3,10.0,20.5,49.1,3.5,8.6,41.3,7.7,8.2,93.0,0.8,2.0,2.8,6.1,3.1,0.9,0.1,2.1,3,0,4.2
Road,23,34.3,28.3,8.5,19.5,43.7,2.8,8.2,33.9,8.4,9.3,90.7,0.3,2.2,2.6,6.7,2.1,0.8,0.1,2.2,2,0,0.7
Wins,33,34.4,30.5,9.5,20.3,46.9,3.5,8.8,40.5,7.9,8.6,92.2,0.6,2.2,2.8,6.2,2.5,0.9,0.2,2.3,2,0,6.9
Losses,16,34.7,28.6,8.9,19.5,45.8,2.4,7.7,31.7,8.3,9.1,91.0,0.4,1.9,2.4,6.6,2.9,0.8,0.0,1.9,3,0,-6.4
October,3,34.3,24.7,8.7,16.3,53.1,2.3,7.0,33.3,5.0,7.3,68.2,0.0,3.3,3.3,6.3,3.3,1.3,0.0,2.3,0,0,7.7
November,15,33.0,26.3,7.9,19.2,41.0,2.3,6.9,33.0,8.3,9.1,91.9,0.6,1.8,2.4,6.2,2.1,0.7,0.2,2.3,2,0,-1.1
December,12,33.8,30.3,9.3,19.2,48.3,3.0,7.8,38.7,8.8,9.4,92.9,0.5,1.9,2.4,5.9,2.2,1.0,0.1,2.3,1,0,2.7
January,14,36.2,32.9,10.9,22.0,49.7,4.3,9.9,43.2,6.8,7.2,94.1,0.9,2.2,3.1,7.0,3.1,0.9,0.1,2.0,2,0,3.1
February,5,36.5,34.0,9.8,21.2,46.2,3.8,11.2,33.9,10.6,11.2,94.6,0.0,2.6,2.6,6.0,3.4,0.6,0.0,1.8,0,0,8.4
Pre All-Star,49,34.5,29.9,9.3,20.0,46.6,3.2,8.4,37.9,8.0,8.7,91.8,0.6,2.1,2.7,6.3,2.6,0.9,0.1,2.1,5,0,2.5
Starters,49,34.5,29.9,9.3,20.0,46.6,3.2,8.4,37.9,8.0,8.7,91.8,0.6,2.1,2.7,6.3,2.6,0.9,0.1,2.1,5,0,2.5
0 Days Rest,12,35.9,34.2,10.9,21.9,49.8,3.5,8.4,41.6,8.8,9.8,90.6,0.8,2.1,2.9,5.5,2.7,0.9,0.2,2.1,1,0,2.5
1 Days Rest,24,33.5,28.9,9.0,19.5,45.8,3.2,8.7,36.5,7.8,8.5,92.2,0.4,1.8,2.2,6.0,2.4,0.9,0.1,2.0,0,0,4.8
2 Days Rest,9,35.2,28.4,8.6,19.9,43.0,2.8,8.3,33.3,8.6,9.2,92.8,0.7,2.6,3.2,7.0,3.4,0.4,0.0,2.3,2,0,-5.8
3 Days Rest,2,35.7,26.0,9.0,18.0,50.0,4.5,7.5,60.0,3.5,4.0,87.5,0.5,2.5,3.0,12.5,2.0,2.0,0.5,3.0,2,0,9.0
6+ Days Rest,2,33.9,25.5,8.0,17.0,47.1,2.0,6.5,30.8,7.5,8.0,93.8,0.5,4.0,4.5,6.5,2.5,1.0,0.0,2.0,0,0,6.5
