BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,45,22.2,7.1,2.7,7.0,38.2,0.6,1.9,32.1,1.1,1.4,82.3,0.3,2.2,2.5,3.0,2.0,0.6,0.5,2.6,1,0,-1.9
Home,26,23.3,7.1,2.7,7.5,35.2,0.7,1.9,34.0,1.2,1.4,83.3,0.4,2.6,3.0,2.8,2.2,0.5,0.5,3.0,1,0,-2.2
Road,19,20.6,7.0,2.7,6.2,43.2,0.5,1.8,29.4,1.1,1.4,80.8,0.2,1.7,1.8,3.3,1.6,0.6,0.5,1.9,0,0,-1.5
Wins,7,27.0,7.9,3.0,6.9,43.8,0.7,2.0,35.7,1.1,1.7,66.7,0.6,2.7,3.3,3.4,2.3,1.1,0.6,3.6,0,0,10.3
Losses,38,21.3,6.9,2.6,7.0,37.2,0.6,1.8,31.4,1.1,1.3,86.0,0.2,2.1,2.4,2.9,1.9,0.4,0.5,2.4,1,0,-4.2
October,3,11.1,3.0,1.3,4.0,33.3,0.0,0.7,0.0,0.3,0.7,50.0,0.7,1.0,1.7,1.3,2.3,0.3,0.0,2.3,0,0,-3.0
November,10,24.7,6.3,2.3,6.6,34.8,0.6,2.0,30.0,1.1,1.3,84.6,0.3,2.5,2.8,3.6,2.1,0.6,0.8,2.3,0,0,0.9
December,12,23.7,8.0,3.3,6.8,47.6,0.6,2.0,29.2,0.9,1.3,73.3,0.1,1.8,1.8,2.9,2.3,0.9,0.4,2.8,0,0,-4.6
January,15,22.3,8.4,3.0,8.0,37.5,0.8,2.1,38.7,1.6,1.9,85.7,0.4,2.9,3.3,2.9,1.7,0.4,0.7,2.7,1,0,-1.2
February,5,19.7,4.8,1.8,6.8,26.5,0.4,1.4,28.6,0.8,0.8,100,0.2,1.6,1.8,3.6,1.6,0.2,0.0,2.2,0,0,-2.8
Pre All-Star,45,22.2,7.1,2.7,7.0,38.2,0.6,1.9,32.1,1.1,1.4,82.3,0.3,2.2,2.5,3.0,2.0,0.6,0.5,2.6,1,0,-1.9
Starters,26,24.1,6.8,2.7,7.0,37.9,0.6,2.0,29.4,1.0,1.2,78.1,0.3,2.2,2.5,3.0,2.1,0.6,0.7,2.7,0,0,-3.0
Bench,19,19.5,7.4,2.7,6.9,38.6,0.6,1.7,36.4,1.4,1.6,86.7,0.3,2.3,2.6,3.1,1.8,0.5,0.3,2.4,1,0,-0.5
0 Days Rest,4,25.1,7.5,2.5,6.8,37.0,0.5,1.5,33.3,2.0,2.3,88.9,0.3,4.3,4.5,4.3,2.3,0.8,0.3,2.5,1,0,-8.0
1 Days Rest,29,23.5,7.6,2.8,7.4,38.1,0.7,2.0,34.5,1.2,1.4,85.4,0.3,2.0,2.3,3.1,2.0,0.6,0.5,2.7,0,0,-2.5
2 Days Rest,8,20.1,6.3,2.5,7.0,35.7,0.5,2.0,25.0,0.8,1.3,60.0,0.3,2.1,2.4,2.3,1.9,0.6,0.5,2.5,0,0,-1.3
3 Days Rest,1,25.5,6.0,2.0,5.0,40.0,0.0,1.0,0.0,2.0,2.0,100,2.0,5.0,7.0,7.0,2.0,0.0,1.0,1.0,0,0,11.0
6+ Days Rest,3,9.7,4.3,2.0,3.7,54.5,0.3,1.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,1.3,2.0,0.3,0.7,1.7,0,0,5.3
