BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,21,28.9,8.6,3.0,8.8,33.7,2.4,6.6,36.2,0.3,0.4,77.8,0.4,1.8,2.1,1.2,0.7,1.2,0.4,2.2,0,0,5.2
Home,12,29.4,9.5,3.3,9.1,35.8,2.8,7.1,38.8,0.3,0.3,75.0,0.6,1.9,2.5,1.6,0.7,1.2,0.5,2.5,0,0,9.0
Road,9,28.2,7.4,2.6,8.3,30.7,1.9,5.9,32.1,0.4,0.6,80.0,0.1,1.6,1.7,0.8,0.8,1.3,0.3,1.9,0,0,0.2
Wins,16,29.1,9.3,3.1,8.6,36.2,2.6,6.7,39.3,0.4,0.5,87.5,0.4,1.9,2.3,1.1,0.6,1.2,0.4,2.1,0,0,9.7
Losses,5,28.5,6.4,2.4,9.2,26.1,1.6,6.2,25.8,0.0,0.2,0.0,0.2,1.4,1.6,1.8,1.2,1.4,0.4,2.6,0,0,-9.0
October,3,29.1,10.7,3.7,10.7,34.4,2.7,8.3,32.0,0.7,0.7,100,1.0,1.7,2.7,1.0,0.3,1.7,0.3,1.7,0,0,9.0
November,10,31.5,7.8,2.5,8.7,28.7,2.4,7.3,32.9,0.4,0.4,100,0.3,1.9,2.2,1.4,0.8,1.6,0.6,2.7,0,0,9.0
December,8,25.6,8.9,3.3,8.1,40.0,2.3,5.0,45.0,0.1,0.4,33.3,0.3,1.6,1.9,1.1,0.8,0.6,0.3,1.9,0,0,-0.9
Pre All-Star,21,28.9,8.6,3.0,8.8,33.7,2.4,6.6,36.2,0.3,0.4,77.8,0.4,1.8,2.1,1.2,0.7,1.2,0.4,2.2,0,0,5.2
Starters,21,28.9,8.6,3.0,8.8,33.7,2.4,6.6,36.2,0.3,0.4,77.8,0.4,1.8,2.1,1.2,0.7,1.2,0.4,2.2,0,0,5.2
0 Days Rest,3,28.6,11.0,4.0,11.3,35.3,2.3,7.0,33.3,0.7,1.0,66.7,1.0,2.0,3.0,1.7,0.7,1.0,0.3,2.3,0,0,-5.0
1 Days Rest,6,30.9,4.3,1.3,7.3,18.2,1.3,6.3,21.1,0.3,0.3,100,0.2,1.8,2.0,1.3,1.0,2.0,1.0,3.5,0,0,2.0
2 Days Rest,8,28.3,11.4,3.9,9.6,40.3,3.3,7.1,45.6,0.4,0.5,75.0,0.4,1.6,2.0,0.9,0.6,1.0,0.1,1.4,0,0,7.5
4 Days Rest,2,29.8,7.0,2.5,4.5,55.6,2.0,4.0,50.0,0.0,0.0,0.0,0.5,1.5,2.0,1.0,0.5,0.0,0.0,3.5,0,0,7.0
6+ Days Rest,2,25.1,8.5,3.0,10.0,30.0,2.5,7.0,35.7,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.5,1.5,0.5,0.5,0,0,19.5
