,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - MEM vs. GSW",L,22,5,2,4,50.0,0,1,0.0,1,1,100.0,2,5,7,0,0,0,4,6,-7,2017-02-10 00:00:00,GSW,HOME
1,"FEB 08, 2017 - MEM vs. PHX",W,30,11,4,4,100.0,1,1,100.0,2,2,100.0,4,6,10,4,0,0,4,4,17,2017-02-08 00:00:00,PHX,HOME
2,"FEB 06, 2017 - MEM vs. SAS",W,25,8,3,5,60.0,0,1,0.0,2,2,100.0,3,4,7,2,1,0,3,3,7,2017-02-06 00:00:00,SAS,HOME
3,"FEB 04, 2017 - MEM @ MIN",W,30,29,8,11,72.7,1,2,50.0,12,12,100.0,2,4,6,1,1,1,1,2,3,2017-02-04 00:00:00,MIN,AWAY
4,"FEB 03, 2017 - MEM @ OKC",L,24,0,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,1,0,0,2,6,2,2017-02-03 00:00:00,OKC,AWAY
5,"FEB 01, 2017 - MEM @ DEN",W,26,8,4,9,44.4,0,1,0.0,0,0,0.0,3,4,7,1,0,0,0,4,18,2017-02-01 00:00:00,DEN,AWAY
6,"JAN 30, 2017 - MEM @ PHX",W,28,7,2,7,28.6,2,4,50.0,1,2,50.0,3,5,8,1,1,0,0,4,25,2017-01-30 00:00:00,PHX,AWAY
7,"JAN 28, 2017 - MEM @ UTA",W,26,9,3,7,42.9,1,3,33.3,2,2,100.0,3,1,4,2,0,0,0,1,6,2017-01-28 00:00:00,UTA,AWAY
8,"JAN 27, 2017 - MEM @ POR",L,22,10,2,3,66.7,0,1,0.0,6,7,85.7,2,3,5,1,0,0,1,2,-11,2017-01-27 00:00:00,POR,AWAY
9,"JAN 21, 2017 - MEM vs. HOU",L,30,7,3,6,50.0,1,1,100.0,0,0,0.0,6,3,9,2,2,0,2,2,-21,2017-01-21 00:00:00,HOU,HOME
10,"JAN 20, 2017 - MEM vs. SAC",W,33,4,2,5,40.0,0,2,0.0,0,0,0.0,2,5,7,1,0,2,3,5,7,2017-01-20 00:00:00,SAC,HOME
11,"JAN 18, 2017 - MEM @ WAS",L,34,15,6,7,85.7,2,2,100.0,1,2,50.0,2,11,13,1,1,0,0,4,2,2017-01-18 00:00:00,WAS,AWAY
12,"JAN 15, 2017 - MEM vs. CHI",L,20,14,6,8,75.0,2,3,66.7,0,0,0.0,2,3,5,0,0,0,0,4,-15,2017-01-15 00:00:00,CHI,HOME
13,"JAN 13, 2017 - MEM @ HOU",W,29,8,3,4,75.0,1,2,50.0,1,2,50.0,1,3,4,1,0,0,1,4,-8,2017-01-13 00:00:00,HOU,AWAY
14,"JAN 11, 2017 - MEM @ OKC",L,32,4,2,10,20.0,0,3,0.0,0,0,0.0,2,8,10,1,1,1,2,3,-6,2017-01-11 00:00:00,OKC,AWAY
15,"JAN 08, 2017 - MEM vs. UTA",W,32,8,3,5,60.0,1,2,50.0,1,2,50.0,1,5,6,0,1,1,1,6,10,2017-01-08 00:00:00,UTA,HOME
16,"JAN 06, 2017 - MEM @ GSW",W,20,4,1,3,33.3,1,2,50.0,1,3,33.3,1,1,2,2,1,0,1,2,-21,2017-01-06 00:00:00,GSW,AWAY
17,"JAN 03, 2017 - MEM @ LAL",L,22,3,1,4,25.0,0,2,0.0,1,1,100.0,0,6,6,0,1,0,0,1,-8,2017-01-03 00:00:00,LAL,AWAY
18,"DEC 31, 2016 - MEM @ SAC",W,38,18,7,9,77.8,4,5,80.0,0,0,0.0,3,4,7,4,1,0,0,3,14,2016-12-31 00:00:00,SAC,AWAY
19,"DEC 29, 2016 - MEM vs. OKC",W,34,17,6,7,85.7,2,2,100.0,3,5,60.0,2,2,4,2,1,1,1,4,29,2016-12-29 00:00:00,OKC,HOME
20,"DEC 27, 2016 - MEM @ BOS",L,22,8,3,5,60.0,0,0,0.0,2,2,100.0,1,5,6,1,2,2,1,2,-4,2016-12-27 00:00:00,BOS,AWAY
21,"DEC 26, 2016 - MEM @ ORL",L,30,9,3,6,50.0,2,5,40.0,1,2,50.0,0,2,2,1,0,2,2,3,-9,2016-12-26 00:00:00,ORL,AWAY
22,"DEC 23, 2016 - MEM vs. HOU",W,27,7,1,3,33.3,1,1,100.0,4,4,100.0,3,2,5,0,0,0,0,4,-11,2016-12-23 00:00:00,HOU,HOME
23,"DEC 21, 2016 - MEM @ DET",W,28,10,3,10,30.0,2,4,50.0,2,2,100.0,3,6,9,2,0,0,1,4,0,2016-12-21 00:00:00,DET,AWAY
24,"DEC 20, 2016 - MEM vs. BOS",L,31,7,2,5,40.0,0,1,0.0,3,4,75.0,4,8,12,1,2,0,1,4,-12,2016-12-20 00:00:00,BOS,HOME
25,"DEC 18, 2016 - MEM vs. UTA",L,32,10,5,11,45.5,0,3,0.0,0,0,0.0,4,7,11,0,2,1,0,4,-7,2016-12-18 00:00:00,UTA,HOME
26,"DEC 16, 2016 - MEM vs. SAC",L,21,6,2,5,40.0,0,2,0.0,2,2,100.0,1,7,8,1,0,1,0,3,-8,2016-12-16 00:00:00,SAC,HOME
27,"DEC 14, 2016 - MEM vs. CLE",W,25,3,1,5,20.0,0,1,0.0,1,2,50.0,2,5,7,2,0,0,2,3,7,2016-12-14 00:00:00,CLE,HOME
28,"DEC 13, 2016 - MEM @ CLE",L,29,2,1,10,10.0,0,1,0.0,0,0,0.0,5,3,8,2,2,0,2,2,-9,2016-12-13 00:00:00,CLE,AWAY
29,"DEC 10, 2016 - MEM vs. GSW",W,29,14,4,7,57.1,2,2,100.0,4,5,80.0,2,8,10,2,1,0,2,4,26,2016-12-10 00:00:00,GSW,HOME
30,"DEC 08, 2016 - MEM vs. POR",W,34,6,2,8,25.0,0,2,0.0,2,2,100.0,3,15,18,2,1,0,3,5,15,2016-12-08 00:00:00,POR,HOME
