,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - TOR @ MIN",L,16,4,2,2,100.0,0,0,0.0,0,0,0.0,1,3,4,1,1,0,0,1,3,2017-02-08 00:00:00,MIN,AWAY
1,"FEB 06, 2017 - TOR vs. LAC",W,9,3,1,2,50.0,0,0,0.0,1,1,100.0,1,2,3,0,0,0,1,2,1,2017-02-06 00:00:00,LAC,HOME
2,"FEB 05, 2017 - TOR @ BKN",W,7,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-5,2017-02-05 00:00:00,BKN,AWAY
3,"FEB 01, 2017 - TOR @ BOS",L,9,4,2,2,100.0,0,0,0.0,0,0,0.0,3,1,4,0,0,0,0,1,-4,2017-02-01 00:00:00,BOS,AWAY
4,"JAN 20, 2017 - TOR @ CHA",L,9,0,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,1,1,3,-12,2017-01-20 00:00:00,CHA,AWAY
5,"JAN 18, 2017 - TOR @ PHI",L,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-3,2017-01-18 00:00:00,PHI,AWAY
6,"JAN 17, 2017 - TOR @ BKN",W,15,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,1,2,5,2017-01-17 00:00:00,BKN,AWAY
7,"JAN 15, 2017 - TOR vs. NYK",W,4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,5,-14,2017-01-15 00:00:00,NYK,HOME
8,"JAN 13, 2017 - TOR vs. BKN",W,8,4,1,2,50.0,0,0,0.0,2,2,100.0,1,0,1,0,1,0,0,3,-5,2017-01-13 00:00:00,BKN,HOME
9,"JAN 10, 2017 - TOR vs. BOS",W,6,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-8,2017-01-10 00:00:00,BOS,HOME
10,"JAN 07, 2017 - TOR @ CHI",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5,2017-01-07 00:00:00,CHI,AWAY
11,"JAN 05, 2017 - TOR vs. UTA",W,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,-5,2017-01-05 00:00:00,UTA,HOME
12,"JAN 03, 2017 - TOR @ SAS",L,26,4,1,4,25.0,0,0,0.0,2,4,50.0,6,3,9,0,2,0,2,2,-8,2017-01-03 00:00:00,SAS,AWAY
