BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,25,8.6,2.5,1.1,2.0,54.9,0.0,0.1,0.0,0.3,0.4,63.6,0.5,1.1,1.6,0.4,0.5,0.2,0.4,0.8,0,0,-1.0
Home,11,8.7,1.8,0.9,2.1,43.5,0.0,0.3,0.0,0.0,0.1,0.0,0.5,0.9,1.4,0.5,0.6,0.2,0.3,0.9,0,0,0.8
Road,14,8.6,3.1,1.3,2.0,64.3,0.0,0.0,0.0,0.5,0.7,70.0,0.6,1.2,1.8,0.3,0.4,0.1,0.4,0.8,0,0,-2.4
Wins,21,8.8,2.6,1.1,2.2,52.2,0.0,0.1,0.0,0.3,0.5,63.6,0.6,1.2,1.8,0.4,0.6,0.1,0.4,0.9,0,0,-0.5
Losses,4,7.7,2.0,1.0,1.3,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.0,0.3,0.0,0.5,0,0,-3.3
November,7,6.0,1.3,0.6,1.7,33.3,0.0,0.1,0.0,0.1,0.3,50.0,0.1,0.3,0.4,0.1,0.0,0.0,0.3,0.0,0,0,-2.3
December,7,5.8,1.1,0.6,1.1,50.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,1.3,1.3,0.3,0.6,0.1,0.1,0.7,0,0,1.7
January,7,10.3,4.3,1.7,2.4,70.6,0.0,0.0,0.0,0.9,0.9,100,0.7,1.6,2.3,0.7,1.0,0.4,0.6,1.0,0,0,-1.3
February,4,15.3,4.0,2.0,3.5,57.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.3,3.0,0.5,0.3,0.0,0.5,2.3,0,0,-2.8
Pre All-Star,25,8.6,2.5,1.1,2.0,54.9,0.0,0.1,0.0,0.3,0.4,63.6,0.5,1.1,1.6,0.4,0.5,0.2,0.4,0.8,0,0,-1.0
Bench,25,8.6,2.5,1.1,2.0,54.9,0.0,0.1,0.0,0.3,0.4,63.6,0.5,1.1,1.6,0.4,0.5,0.2,0.4,0.8,0,0,-1.0
0 Days Rest,3,10.9,4.7,2.0,2.3,85.7,0.0,0.0,0.0,0.7,0.7,100,1.7,2.0,3.7,0.7,0.0,0.3,0.7,1.7,0,0,-2.0
1 Days Rest,5,6.6,0.4,0.2,1.2,16.7,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.6,0.8,0.4,0.4,0.0,0.4,0.4,0,0,-1.8
2 Days Rest,5,14.8,4.4,2.0,4.0,50.0,0.0,0.0,0.0,0.4,0.4,100,1.2,1.4,2.6,0.8,0.6,0.4,0.6,1.6,0,0,1.0
3 Days Rest,4,9.5,3.5,1.5,2.3,66.7,0.0,0.3,0.0,0.5,0.8,66.7,0.3,1.3,1.5,0.3,1.5,0.0,0.5,0.8,0,0,3.0
4 Days Rest,3,3.1,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.3,0,0,-1.0
5 Days Rest,2,6.5,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.5,0.5,0.0,1.0,0,0,-1.0
6+ Days Rest,3,5.5,2.3,1.0,1.3,75.0,0.0,0.0,0.0,0.3,0.7,50.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0,0,-7.0
