,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"JAN 21, 2017 - MEM vs. HOU",L,3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-3,2017-01-21 00:00:00,HOU,HOME
1,"JAN 20, 2017 - MEM vs. SAC",W,3,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-5,2017-01-20 00:00:00,SAC,HOME
2,"JAN 06, 2017 - MEM @ GSW",W,5,2,0,0,0.0,0,0,0.0,2,2,100.0,0,3,3,0,0,0,0,1,8,2017-01-06 00:00:00,GSW,AWAY
3,"JAN 04, 2017 - MEM @ LAC",L,12,5,1,3,33.3,1,1,100.0,2,2,100.0,2,1,3,0,0,0,0,4,-10,2017-01-04 00:00:00,LAC,AWAY
4,"JAN 03, 2017 - MEM @ LAL",L,5,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,1,2017-01-03 00:00:00,LAL,AWAY
5,"DEC 31, 2016 - MEM @ SAC",W,13,0,0,3,0.0,0,0,0.0,0,0,0.0,0,2,2,0,2,0,1,2,-2,2016-12-31 00:00:00,SAC,AWAY
6,"DEC 29, 2016 - MEM vs. OKC",W,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,9,2016-12-29 00:00:00,OKC,HOME
7,"DEC 27, 2016 - MEM @ BOS",L,7,0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,-3,2016-12-27 00:00:00,BOS,AWAY
8,"DEC 26, 2016 - MEM @ ORL",L,16,4,2,3,66.7,0,0,0.0,0,0,0.0,0,8,8,0,1,0,0,0,5,2016-12-26 00:00:00,ORL,AWAY
9,"DEC 23, 2016 - MEM vs. HOU",W,15,2,1,2,50.0,0,0,0.0,0,0,0.0,1,3,4,0,2,0,0,2,16,2016-12-23 00:00:00,HOU,HOME
10,"DEC 21, 2016 - MEM @ DET",W,11,2,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,5,4,2016-12-21 00:00:00,DET,AWAY
11,"DEC 20, 2016 - MEM vs. BOS",L,17,3,1,3,33.3,0,0,0.0,1,2,50.0,2,6,8,0,0,0,3,6,6,2016-12-20 00:00:00,BOS,HOME
12,"DEC 18, 2016 - MEM vs. UTA",L,13,7,3,7,42.9,0,1,0.0,1,1,100.0,2,1,3,0,0,0,0,2,0,2016-12-18 00:00:00,UTA,HOME
13,"DEC 16, 2016 - MEM vs. SAC",L,12,4,1,2,50.0,0,1,0.0,2,2,100.0,2,0,2,0,1,0,1,4,-5,2016-12-16 00:00:00,SAC,HOME
14,"DEC 14, 2016 - MEM vs. CLE",W,23,6,2,2,100.0,0,0,0.0,2,2,100.0,1,5,6,1,1,1,1,2,1,2016-12-14 00:00:00,CLE,HOME
15,"DEC 13, 2016 - MEM @ CLE",L,19,8,3,4,75.0,0,0,0.0,2,2,100.0,2,8,10,1,0,0,2,5,-13,2016-12-13 00:00:00,CLE,AWAY
16,"DEC 10, 2016 - MEM vs. GSW",W,17,13,5,10,50.0,1,2,50.0,2,2,100.0,3,4,7,1,1,0,0,1,7,2016-12-10 00:00:00,GSW,HOME
17,"DEC 08, 2016 - MEM vs. POR",W,13,2,1,2,50.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-9,2016-12-08 00:00:00,POR,HOME
18,"DEC 06, 2016 - MEM vs. PHI",W,10,3,1,1,100.0,1,1,100.0,0,0,0.0,0,2,2,0,0,0,0,0,-3,2016-12-06 00:00:00,PHI,HOME
19,"DEC 05, 2016 - MEM @ NOP",W,20,2,1,8,12.5,0,1,0.0,0,2,0.0,3,6,9,1,0,0,0,3,-14,2016-12-05 00:00:00,NOP,AWAY
20,"DEC 03, 2016 - MEM vs. LAL",W,20,7,1,3,33.3,1,2,50.0,4,4,100.0,0,2,2,0,0,0,0,2,6,2016-12-03 00:00:00,LAL,HOME
21,"DEC 01, 2016 - MEM vs. ORL",W,28,6,2,11,18.2,0,1,0.0,2,2,100.0,2,8,10,0,0,0,0,4,-6,2016-12-01 00:00:00,ORL,HOME
22,"NOV 30, 2016 - MEM @ TOR",L,24,5,1,5,20.0,1,2,50.0,2,2,100.0,0,4,4,1,0,0,1,2,-10,2016-11-30 00:00:00,TOR,AWAY
23,"NOV 28, 2016 - MEM vs. CHA",L,20,11,5,13,38.5,1,1,100.0,0,2,0.0,2,10,12,0,0,0,1,3,6,2016-11-28 00:00:00,CHA,HOME
24,"NOV 26, 2016 - MEM @ MIA",W,17,6,3,6,50.0,0,1,0.0,0,0,0.0,0,4,4,0,2,0,3,3,2,2016-11-26 00:00:00,MIA,AWAY
25,"NOV 25, 2016 - MEM vs. MIA",L,18,6,2,4,50.0,0,0,0.0,2,2,100.0,1,11,12,0,0,1,1,2,6,2016-11-25 00:00:00,MIA,HOME
