BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,50,13.2,4.9,2.1,4.0,53.0,0.2,0.4,42.1,0.5,0.7,66.7,0.9,2.3,3.2,0.3,0.8,0.3,0.7,2.3,0,0,-1.2
Home,27,13.8,5.0,2.2,4.2,52.2,0.1,0.4,40.0,0.4,0.7,66.7,1.1,2.3,3.4,0.4,0.7,0.3,0.6,2.4,0,0,1.2
Road,23,12.5,4.9,2.1,3.9,53.9,0.2,0.4,44.4,0.5,0.8,66.7,0.8,2.2,3.0,0.2,0.9,0.3,0.7,2.3,0,0,-4.1
Wins,30,14.3,5.3,2.3,4.4,52.7,0.2,0.4,38.5,0.6,0.9,63.0,1.1,2.6,3.7,0.5,0.7,0.4,0.8,2.4,0,0,1.6
Losses,20,11.5,4.3,1.9,3.6,53.5,0.2,0.3,50.0,0.4,0.5,77.8,0.8,1.8,2.5,0.2,0.9,0.1,0.5,2.2,0,0,-5.5
October,2,6.8,2.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,1.0,2.5,0.0,0.0,1.5,0,0,-4.0
November,14,12.5,2.4,1.1,3.3,34.8,0.0,0.1,0.0,0.1,0.1,100,0.8,1.6,2.4,0.1,0.7,0.2,0.5,2.1,0,0,-3.6
December,14,10.3,5.3,2.4,3.5,67.3,0.1,0.1,100,0.4,0.7,60.0,0.9,1.9,2.8,0.4,0.6,0.4,0.4,2.4,0,0,-0.4
January,16,16.2,6.3,2.7,5.1,52.4,0.3,0.8,38.5,0.6,0.8,76.9,1.0,2.8,3.8,0.4,0.9,0.4,1.2,2.7,0,0,-0.8
February,4,17.0,8.3,3.3,5.5,59.1,0.3,0.8,33.3,1.5,2.8,54.5,1.8,4.0,5.8,0.0,0.3,0.3,0.8,1.8,0,0,4.0
Pre All-Star,50,13.2,4.9,2.1,4.0,53.0,0.2,0.4,42.1,0.5,0.7,66.7,0.9,2.3,3.2,0.3,0.8,0.3,0.7,2.3,0,0,-1.2
Bench,50,13.2,4.9,2.1,4.0,53.0,0.2,0.4,42.1,0.5,0.7,66.7,0.9,2.3,3.2,0.3,0.8,0.3,0.7,2.3,0,0,-1.2
0 Days Rest,9,14.4,5.3,2.2,4.3,51.3,0.2,0.6,40.0,0.7,0.9,75.0,1.2,1.9,3.1,0.2,0.8,0.0,0.8,2.0,0,0,-8.0
1 Days Rest,29,14.1,5.4,2.3,4.4,52.8,0.2,0.4,38.5,0.6,0.9,68.0,1.0,2.6,3.6,0.3,0.7,0.4,0.7,2.5,0,0,1.0
2 Days Rest,8,10.3,4.3,2.0,3.1,64.0,0.1,0.1,100,0.1,0.4,33.3,0.4,1.8,2.1,0.5,0.8,0.3,0.8,2.3,0,0,-1.3
3 Days Rest,2,8.2,3.0,1.5,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0,0,-6.0
4 Days Rest,1,13.7,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,0.0,0.0,5.0,0,0,11.0
5 Days Rest,1,8.8,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,4.0,0.0,0.0,2.0,0,0,-7.0
