,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - MIL vs. LAL",L,16,3,1,1,100.0,1,1,100.0,0,0,0.0,1,0,1,1,0,1,1,5,-1,2017-02-10 00:00:00,LAL,HOME
1,"FEB 08, 2017 - MIL vs. MIA",L,14,5,2,2,100.0,0,0,0.0,1,2,50.0,0,1,1,3,1,0,0,3,2,2017-02-08 00:00:00,MIA,HOME
2,"FEB 04, 2017 - MIL @ PHX",W,19,8,2,3,66.7,2,3,66.7,2,2,100.0,1,0,1,2,1,2,1,0,15,2017-02-04 00:00:00,PHX,AWAY
3,"FEB 03, 2017 - MIL @ DEN",L,26,9,3,4,75.0,3,4,75.0,0,0,0.0,0,2,2,1,0,2,1,1,0,2017-02-03 00:00:00,DEN,AWAY
4,"FEB 01, 2017 - MIL @ UTA",L,17,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,3,1,1,0,1,6,2017-02-01 00:00:00,UTA,AWAY
5,"JAN 28, 2017 - MIL vs. BOS",L,20,3,1,6,16.7,1,4,25.0,0,0,0.0,0,1,1,2,1,0,0,2,-3,2017-01-28 00:00:00,BOS,HOME
6,"JAN 27, 2017 - MIL @ TOR",L,11,5,1,3,33.3,1,2,50.0,2,2,100.0,1,1,2,1,1,0,1,1,6,2017-01-27 00:00:00,TOR,AWAY
7,"JAN 25, 2017 - MIL vs. PHI",L,10,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,3,3,5,2017-01-25 00:00:00,PHI,HOME
8,"JAN 23, 2017 - MIL vs. HOU",W,15,8,3,5,60.0,2,3,66.7,0,0,0.0,1,0,1,2,3,0,0,0,8,2017-01-23 00:00:00,HOU,HOME
9,"JAN 20, 2017 - MIL @ ORL",L,12,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,-29,2017-01-20 00:00:00,ORL,AWAY
10,"JAN 18, 2017 - MIL @ HOU",L,11,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-8,2017-01-18 00:00:00,HOU,AWAY
11,"JAN 16, 2017 - MIL vs. PHI",L,18,5,2,5,40.0,1,4,25.0,0,0,0.0,0,0,0,0,0,1,0,3,-2,2017-01-16 00:00:00,PHI,HOME
12,"JAN 15, 2017 - MIL @ ATL",L,22,3,1,3,33.3,1,3,33.3,0,0,0.0,0,4,4,0,2,0,2,2,-21,2017-01-15 00:00:00,ATL,AWAY
13,"JAN 13, 2017 - MIL vs. MIA",W,23,6,2,5,40.0,2,4,50.0,0,0,0.0,0,1,1,3,1,0,0,1,7,2017-01-13 00:00:00,MIA,HOME
14,"JAN 10, 2017 - MIL @ SAS",W,17,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,2,1,0,0,-5,2017-01-10 00:00:00,SAS,AWAY
15,"JAN 08, 2017 - MIL vs. WAS",L,18,5,1,1,100.0,1,1,100.0,2,2,100.0,0,1,1,2,1,0,2,1,2,2017-01-08 00:00:00,WAS,HOME
16,"JAN 06, 2017 - MIL vs. NYK",L,18,1,0,0,0.0,0,0,0.0,1,1,100.0,0,2,2,5,2,0,2,5,5,2017-01-06 00:00:00,NYK,HOME
17,"JAN 04, 2017 - MIL @ NYK",W,28,8,3,5,60.0,2,4,50.0,0,0,0.0,1,2,3,0,2,0,0,1,13,2017-01-04 00:00:00,NYK,AWAY
18,"JAN 02, 2017 - MIL vs. OKC",W,16,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,3,0,0,1,1,12,2017-01-02 00:00:00,OKC,HOME
19,"DEC 31, 2016 - MIL @ CHI",W,22,4,1,3,33.3,1,2,50.0,1,2,50.0,0,0,0,2,1,0,0,2,3,2016-12-31 00:00:00,CHI,AWAY
20,"DEC 30, 2016 - MIL @ MIN",L,23,3,1,1,100.0,1,1,100.0,0,0,0.0,0,1,1,3,0,0,0,0,-13,2016-12-30 00:00:00,MIN,AWAY
