,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - UTA @ NOP",W,5,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,2017-02-08 00:00:00,NOP,AWAY
1,"FEB 06, 2017 - UTA @ ATL",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,2017-02-06 00:00:00,ATL,AWAY
2,"FEB 01, 2017 - UTA vs. MIL",W,14,6,2,5,40.0,0,0,0.0,2,2,100.0,2,2,4,0,0,1,0,1,-6,2017-02-01 00:00:00,MIL,HOME
3,"JAN 21, 2017 - UTA vs. IND",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-2,2017-01-21 00:00:00,IND,HOME
4,"JAN 14, 2017 - UTA vs. ORL",W,0,1,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,1,0,2017-01-14 00:00:00,ORL,HOME
5,"JAN 13, 2017 - UTA vs. DET",W,3,5,1,1,100.0,0,0,0.0,3,3,100.0,1,0,1,0,0,0,0,0,2,2017-01-13 00:00:00,DET,HOME
6,"DEC 29, 2016 - UTA vs. PHI",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,2016-12-29 00:00:00,PHI,HOME
7,"DEC 20, 2016 - UTA @ GSW",L,17,0,0,1,0.0,0,0,0.0,0,0,0.0,2,3,5,0,1,1,1,0,-7,2016-12-20 00:00:00,GSW,AWAY
8,"DEC 14, 2016 - UTA vs. OKC",W,4,4,2,2,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,7,2016-12-14 00:00:00,OKC,HOME
9,"DEC 10, 2016 - UTA vs. SAC",W,12,2,0,2,0.0,0,0,0.0,2,2,100.0,1,6,7,0,1,3,0,1,13,2016-12-10 00:00:00,SAC,HOME
10,"DEC 08, 2016 - UTA vs. GSW",L,6,2,1,4,25.0,0,0,0.0,0,0,0.0,3,1,4,0,0,0,0,0,-1,2016-12-08 00:00:00,GSW,HOME
11,"DEC 06, 2016 - UTA vs. PHX",W,10,2,1,2,50.0,0,0,0.0,0,0,0.0,1,1,2,0,1,1,0,2,-13,2016-12-06 00:00:00,PHX,HOME
12,"DEC 05, 2016 - UTA @ LAL",W,5,4,2,2,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,2016-12-05 00:00:00,LAL,AWAY
13,"DEC 03, 2016 - UTA vs. DEN",W,4,2,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,1,2016-12-03 00:00:00,DEN,HOME
14,"DEC 01, 2016 - UTA vs. MIA",L,13,6,2,2,100.0,0,0,0.0,2,3,66.7,0,2,2,0,0,3,0,0,-5,2016-12-01 00:00:00,MIA,HOME
15,"NOV 29, 2016 - UTA vs. HOU",W,15,4,2,3,66.7,0,0,0.0,0,0,0.0,0,4,4,0,1,1,0,3,10,2016-11-29 00:00:00,HOU,HOME
16,"NOV 28, 2016 - UTA @ MIN",W,11,4,2,3,66.7,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,1,-2,2016-11-28 00:00:00,MIN,AWAY
17,"NOV 25, 2016 - UTA vs. ATL",W,15,2,1,2,50.0,0,0,0.0,0,2,0.0,1,2,3,0,0,2,2,3,-2,2016-11-25 00:00:00,ATL,HOME
18,"NOV 23, 2016 - UTA vs. DEN",W,16,3,1,2,50.0,0,0,0.0,1,2,50.0,1,4,5,0,1,0,1,3,8,2016-11-23 00:00:00,DEN,HOME
19,"NOV 20, 2016 - UTA @ DEN",L,18,6,2,3,66.7,0,0,0.0,2,2,100.0,3,2,5,0,1,3,0,1,8,2016-11-20 00:00:00,DEN,AWAY
20,"NOV 19, 2016 - UTA @ HOU",L,10,4,1,3,33.3,0,0,0.0,2,2,100.0,2,4,6,0,0,1,0,1,5,2016-11-19 00:00:00,HOU,AWAY
21,"NOV 17, 2016 - UTA vs. CHI",L,6,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,-8,2016-11-17 00:00:00,CHI,HOME
22,"NOV 12, 2016 - UTA @ MIA",W,14,4,2,2,100.0,0,0,0.0,0,0,0.0,2,0,2,1,1,0,0,2,-11,2016-11-12 00:00:00,MIA,AWAY
23,"NOV 11, 2016 - UTA @ ORL",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,-8,2016-11-11 00:00:00,ORL,AWAY
24,"NOV 09, 2016 - UTA @ CHA",L,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-5,2016-11-09 00:00:00,CHA,AWAY
25,"NOV 07, 2016 - UTA @ PHI",W,6,4,2,2,100.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,1,-1,2016-11-07 00:00:00,PHI,AWAY
26,"NOV 04, 2016 - UTA vs. SAS",L,7,3,0,2,0.0,0,1,0.0,3,4,75.0,0,2,2,0,0,1,0,2,-1,2016-11-04 00:00:00,SAS,HOME
27,"NOV 02, 2016 - UTA vs. DAL",W,9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,1,-7,2016-11-02 00:00:00,DAL,HOME
28,"NOV 01, 2016 - UTA @ SAS",W,11,4,0,2,0.0,0,0,0.0,4,4,100.0,0,2,2,0,0,1,0,1,5,2016-11-01 00:00:00,SAS,AWAY
29,"OCT 25, 2016 - UTA @ POR",L,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,1,0,1,-11,2016-10-25 00:00:00,POR,AWAY
