,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - CHA vs. LAC",L,16,13,4,9,44.4,2,4,50.0,3,5,60.0,1,0,1,3,0,0,0,1,-14,2017-02-11 00:00:00,LAC,HOME
1,"FEB 09, 2017 - CHA vs. HOU",L,11,8,3,8,37.5,1,3,33.3,1,1,100.0,0,3,3,1,0,0,3,1,-5,2017-02-09 00:00:00,HOU,HOME
2,"FEB 07, 2017 - CHA vs. BKN",W,19,16,6,11,54.5,1,2,50.0,3,3,100.0,2,5,7,0,1,1,1,1,3,2017-02-07 00:00:00,BKN,HOME
3,"FEB 04, 2017 - CHA @ UTA",L,15,12,4,8,50.0,0,3,0.0,4,5,80.0,0,2,2,1,0,0,0,2,4,2017-02-04 00:00:00,UTA,AWAY
4,"FEB 01, 2017 - CHA @ GSW",L,24,7,3,11,27.3,0,3,0.0,1,2,50.0,0,7,7,1,0,0,1,2,10,2017-02-01 00:00:00,GSW,AWAY
5,"JAN 31, 2017 - CHA @ POR",L,6,3,1,4,25.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,0,0,2,2017-01-31 00:00:00,POR,AWAY
6,"JAN 10, 2017 - CHA @ HOU",L,28,11,4,11,36.4,1,3,33.3,2,2,100.0,0,5,5,4,1,0,0,3,-19,2017-01-10 00:00:00,HOU,AWAY
7,"JAN 07, 2017 - CHA @ SAS",L,29,13,4,12,33.3,0,3,0.0,5,6,83.3,0,8,8,3,0,1,1,1,-13,2017-01-07 00:00:00,SAS,AWAY
8,"JAN 05, 2017 - CHA @ DET",L,13,2,1,7,14.3,0,3,0.0,0,0,0.0,0,1,1,0,1,0,0,3,-26,2017-01-05 00:00:00,DET,AWAY
9,"JAN 04, 2017 - CHA vs. OKC",W,12,9,3,4,75.0,1,1,100.0,2,3,66.7,0,1,1,3,1,1,0,1,5,2017-01-04 00:00:00,OKC,HOME
