,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - UTA vs. BOS",L,30,8,3,10,30.0,0,5,0.0,2,2,100.0,0,2,2,3,3,0,1,4,4,2017-02-11 00:00:00,BOS,HOME
1,"FEB 09, 2017 - UTA @ DAL",L,41,16,6,12,50.0,4,7,57.1,0,0,0.0,1,4,5,5,1,0,2,1,7,2017-02-09 00:00:00,DAL,AWAY
2,"FEB 08, 2017 - UTA @ NOP",W,22,3,1,3,33.3,1,3,33.3,0,0,0.0,0,2,2,2,1,0,0,1,22,2017-02-08 00:00:00,NOP,AWAY
3,"FEB 06, 2017 - UTA @ ATL",W,24,6,2,2,100.0,2,2,100.0,0,0,0.0,1,3,4,2,2,0,1,4,14,2017-02-06 00:00:00,ATL,AWAY
4,"FEB 04, 2017 - UTA vs. CHA",W,30,4,1,6,16.7,1,6,16.7,1,2,50.0,0,9,9,2,0,0,3,0,5,2017-02-04 00:00:00,CHA,HOME
5,"FEB 01, 2017 - UTA vs. MIL",W,23,3,1,4,25.0,1,4,25.0,0,0,0.0,0,3,3,5,3,0,4,4,23,2017-02-01 00:00:00,MIL,HOME
6,"JAN 28, 2017 - UTA vs. MEM",L,15,5,1,1,100.0,1,1,100.0,2,2,100.0,0,1,1,1,0,0,2,2,-6,2017-01-28 00:00:00,MEM,HOME
7,"JAN 26, 2017 - UTA vs. LAL",W,26,7,2,4,50.0,1,3,33.3,2,2,100.0,1,3,4,2,3,0,1,1,16,2017-01-26 00:00:00,LAL,HOME
8,"JAN 24, 2017 - UTA @ DEN",L,20,3,1,4,25.0,1,3,33.3,0,0,0.0,0,3,3,1,1,0,0,3,-13,2017-01-24 00:00:00,DEN,AWAY
9,"JAN 23, 2017 - UTA vs. OKC",L,22,6,3,5,60.0,0,0,0.0,0,0,0.0,0,2,2,2,3,0,2,2,-6,2017-01-23 00:00:00,OKC,HOME
