BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,53,22.4,8.6,3.3,7.5,44.2,1.3,3.1,40.9,0.7,0.8,82.2,0.4,2.6,3.0,1.7,0.9,0.4,0.2,1.1,0,0,1.8
Home,27,22.7,8.1,3.0,7.2,41.5,1.3,3.2,39.5,0.9,1.0,82.1,0.5,2.7,3.1,1.8,1.0,0.3,0.2,1.1,0,0,4.5
Road,26,22.2,9.1,3.7,7.8,46.8,1.3,3.0,42.3,0.5,0.7,82.4,0.3,2.5,2.8,1.7,0.7,0.5,0.2,1.1,0,0,-0.9
Wins,33,22.3,8.0,3.1,7.3,42.9,1.2,3.1,38.8,0.6,0.7,82.6,0.5,2.7,3.2,1.8,0.9,0.2,0.2,1.2,0,0,6.0
Losses,20,22.7,9.6,3.7,7.9,46.2,1.4,3.1,44.3,0.9,1.1,81.8,0.2,2.4,2.6,1.7,0.9,0.6,0.3,1.0,0,0,-5.1
October,3,29.2,15.7,6.3,12.0,52.8,1.7,3.3,50.0,1.3,1.3,100,0.7,3.3,4.0,2.7,1.0,1.0,0.0,0.3,0,0,1.3
November,16,23.5,7.4,2.8,6.6,42.5,1.1,2.7,39.5,0.8,0.9,85.7,0.4,3.1,3.4,1.9,0.7,0.4,0.1,1.1,0,0,3.1
December,15,21.5,8.3,3.1,7.6,41.2,1.3,3.4,37.3,0.7,1.0,73.3,0.3,1.9,2.2,1.3,1.3,0.3,0.3,1.5,0,0,-2.3
January,14,19.7,6.9,2.8,6.6,42.4,0.8,2.4,32.4,0.5,0.6,87.5,0.4,2.5,2.9,1.1,0.4,0.2,0.3,1.1,0,0,2.5
February,5,25.5,14.0,5.2,10.0,52.0,3.0,5.2,57.7,0.6,0.8,75.0,1.0,2.6,3.6,3.6,1.6,0.4,0.0,0.8,0,0,8.6
Pre All-Star,53,22.4,8.6,3.3,7.5,44.2,1.3,3.1,40.9,0.7,0.8,82.2,0.4,2.6,3.0,1.7,0.9,0.4,0.2,1.1,0,0,1.8
Starters,8,29.9,14.1,5.3,10.5,50.0,2.1,4.0,53.1,1.5,1.8,85.7,0.4,3.1,3.5,2.9,1.1,0.9,0.1,1.3,0,0,2.8
Bench,45,21.1,7.6,3.0,7.0,42.7,1.1,2.9,37.9,0.6,0.7,80.6,0.4,2.5,2.9,1.5,0.8,0.3,0.2,1.1,0,0,1.7
0 Days Rest,12,24.2,8.8,3.4,8.3,41.4,1.6,3.6,44.2,0.3,0.4,80.0,0.2,3.1,3.3,2.0,0.9,0.6,0.3,1.2,0,0,2.7
1 Days Rest,29,21.0,7.3,2.8,6.8,40.6,1.1,3.0,35.6,0.8,1.0,78.6,0.4,2.2,2.6,1.5,0.7,0.3,0.1,1.2,0,0,0.4
2 Days Rest,7,23.5,9.0,3.3,7.1,46.0,1.4,3.0,47.6,1.0,1.0,100,0.7,2.7,3.4,1.6,1.1,0.0,0.0,0.9,0,0,4.7
3 Days Rest,4,23.9,11.5,5.0,9.0,55.6,1.0,2.3,44.4,0.5,0.8,66.7,0.8,3.0,3.8,2.3,1.0,0.3,0.5,0.8,0,0,5.8
5 Days Rest,1,30.5,29.0,12.0,16.0,75.0,3.0,4.0,75.0,2.0,2.0,100,0.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,0,0,-2.0
