,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - IND vs. CLE",L,2,5,2,2,100.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,0,0,1,2017-02-08 00:00:00,CLE,HOME
1,"FEB 04, 2017 - IND vs. DET",W,2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,2017-02-04 00:00:00,DET,HOME
2,"JAN 29, 2017 - IND vs. HOU",W,3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1,2017-01-29 00:00:00,HOU,HOME
3,"JAN 23, 2017 - IND vs. NYK",L,6,1,0,2,0.0,0,0,0.0,1,2,50.0,0,0,0,1,0,0,0,0,-5,2017-01-23 00:00:00,NYK,HOME
4,"JAN 12, 2017 - IND @ DEN",L,3,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,1,0,0,2,0,2,2017-01-12 00:00:00,DEN,AWAY
5,"JAN 07, 2017 - IND vs. NYK",W,1,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,2017-01-07 00:00:00,NYK,HOME
6,"JAN 05, 2017 - IND vs. BKN",W,2,0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-2,2017-01-05 00:00:00,BKN,HOME
7,"JAN 01, 2017 - IND vs. ORL",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3,2017-01-01 00:00:00,ORL,HOME
8,"DEC 17, 2016 - IND @ DET",W,3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4,2016-12-17 00:00:00,DET,AWAY
9,"DEC 05, 2016 - IND @ GSW",L,10,12,5,10,50.0,0,2,0.0,2,2,100.0,0,2,2,0,3,0,0,0,-6,2016-12-05 00:00:00,GSW,AWAY
10,"NOV 30, 2016 - IND @ POR",L,3,2,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,1,0,-5,2016-11-30 00:00:00,POR,AWAY
11,"NOV 27, 2016 - IND vs. LAC",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,2016-11-27 00:00:00,LAC,HOME
12,"NOV 25, 2016 - IND vs. BKN",W,9,2,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,4,0,0,0,0,-9,2016-11-25 00:00:00,BKN,HOME
13,"NOV 21, 2016 - IND vs. GSW",L,8,0,0,5,0.0,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,0,-4,2016-11-21 00:00:00,GSW,HOME
14,"NOV 18, 2016 - IND vs. PHX",L,3,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2016-11-18 00:00:00,PHX,HOME
15,"NOV 16, 2016 - IND vs. CLE",W,1,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2016-11-16 00:00:00,CLE,HOME
16,"NOV 14, 2016 - IND vs. ORL",W,2,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2016-11-14 00:00:00,ORL,HOME
17,"NOV 12, 2016 - IND vs. BOS",L,1,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2016-11-12 00:00:00,BOS,HOME
18,"NOV 07, 2016 - IND @ CHA",L,16,9,4,10,40.0,0,2,0.0,1,2,50.0,0,2,2,2,1,0,0,0,3,2016-11-07 00:00:00,CHA,AWAY
19,"NOV 05, 2016 - IND vs. CHI",W,3,5,2,2,100.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,0,-2,2016-11-05 00:00:00,CHI,HOME
20,"NOV 03, 2016 - IND @ MIL",L,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4,2016-11-03 00:00:00,MIL,AWAY
21,"OCT 29, 2016 - IND @ CHI",L,20,11,4,7,57.1,2,3,66.7,1,1,100.0,0,2,2,3,0,0,0,0,-5,2016-10-29 00:00:00,CHI,AWAY
22,"OCT 28, 2016 - IND @ BKN",L,13,6,2,6,33.3,1,1,100.0,1,2,50.0,0,2,2,1,0,0,0,2,-2,2016-10-28 00:00:00,BKN,AWAY
23,"OCT 26, 2016 - IND vs. DAL",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,2016-10-26 00:00:00,DAL,HOME
