BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,9,2.3,0.9,0.3,0.6,60.0,0.0,0.1,0.0,0.2,0.4,50.0,0.1,1.0,1.1,0.1,0.1,0.1,0.1,0.1,0,0,-0.2
Home,4,1.6,1.0,0.5,0.8,66.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0,0,-0.3
Road,5,2.8,0.8,0.2,0.4,50.0,0.0,0.0,0.0,0.4,0.8,50.0,0.2,1.2,1.4,0.2,0.2,0.2,0.2,0.2,0,0,-0.2
Wins,6,1.6,0.7,0.3,0.5,66.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.2,0.0,0,0,-1.3
Losses,3,3.6,1.3,0.3,0.7,50.0,0.0,0.0,0.0,0.7,1.3,50.0,0.3,1.0,1.3,0.3,0.0,0.3,0.0,0.3,0,0,2.0
October,1,4.1,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,7.0
November,6,1.8,0.3,0.2,0.3,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,0.2,0.0,0.2,0.2,0,0,-2.5
December,2,2.7,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.5,1.0,50.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0
Pre All-Star,9,2.3,0.9,0.3,0.6,60.0,0.0,0.1,0.0,0.2,0.4,50.0,0.1,1.0,1.1,0.1,0.1,0.1,0.1,0.1,0,0,-0.2
Bench,9,2.3,0.9,0.3,0.6,60.0,0.0,0.1,0.0,0.2,0.4,50.0,0.1,1.0,1.1,0.1,0.1,0.1,0.1,0.1,0,0,-0.2
1 Days Rest,2,1.9,1.0,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2 Days Rest,3,2.1,1.0,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.7,50.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0,0,1.7
4 Days Rest,2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.5,0.0,0.5,0.0,0,0,-3.5
6+ Days Rest,2,3.5,1.5,0.5,0.5,100,0.0,0.0,0.0,0.5,1.0,50.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0,0,0.0
