BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,50,36.7,23.0,8.4,18.5,45.4,1.1,3.5,31.2,5.0,6.2,81.6,0.9,3.6,4.5,10.5,4.2,2.2,0.5,2.0,32,0,4.2
Home,29,36.8,24.6,8.8,18.6,47.4,1.4,3.6,40.0,5.4,6.7,81.9,0.9,3.6,4.5,10.2,4.6,2.3,0.6,2.2,19,0,6.3
Road,21,36.6,20.8,7.9,18.4,42.6,0.6,3.2,17.6,4.5,5.5,81.0,0.8,3.7,4.4,10.8,3.6,2.0,0.4,1.6,13,0,1.3
Wins,31,36.6,22.7,8.2,18.0,45.4,1.1,3.4,33.0,5.2,6.3,82.1,0.8,3.8,4.6,10.9,4.1,2.3,0.6,1.9,22,0,10.0
Losses,19,36.9,23.4,8.8,19.4,45.4,1.0,3.5,28.4,4.8,5.9,80.5,1.0,3.2,4.2,9.7,4.3,1.9,0.4,2.1,10,0,-5.2
October,2,33.5,17.0,5.5,17.0,32.4,0.5,2.5,20.0,5.5,6.0,91.7,1.0,2.0,3.0,11.5,5.0,2.5,1.0,3.0,2,0,-3.0
November,13,35.7,23.5,8.5,18.7,45.3,1.4,3.7,37.5,5.2,6.4,80.7,0.9,3.8,4.8,9.0,4.5,1.8,0.6,2.5,7,0,0.1
December,15,37.0,24.5,8.9,18.2,49.1,1.1,3.7,30.4,5.5,6.8,81.4,0.9,3.5,4.4,10.7,4.3,2.7,0.4,1.9,11,0,3.1
January,16,36.3,21.2,8.3,18.3,45.2,0.8,2.7,27.9,3.9,4.9,80.8,0.8,3.8,4.6,10.9,3.6,1.8,0.4,1.6,8,0,9.6
February,4,42.2,25.5,8.5,21.3,40.0,1.5,5.3,28.6,7.0,8.5,82.4,0.8,3.3,4.0,12.0,4.0,2.5,1.0,1.8,4,0,4.0
Pre All-Star,50,36.7,23.0,8.4,18.5,45.4,1.1,3.5,31.2,5.0,6.2,81.6,0.9,3.6,4.5,10.5,4.2,2.2,0.5,2.0,32,0,4.2
Starters,50,36.7,23.0,8.4,18.5,45.4,1.1,3.5,31.2,5.0,6.2,81.6,0.9,3.6,4.5,10.5,4.2,2.2,0.5,2.0,32,0,4.2
0 Days Rest,8,37.7,25.9,9.4,19.6,47.8,1.4,4.1,33.3,5.8,7.0,82.1,0.6,3.9,4.5,9.1,3.1,2.4,0.4,2.3,3,0,4.9
1 Days Rest,30,37.2,22.6,8.2,18.6,43.9,1.1,3.5,31.4,5.1,6.3,81.1,0.9,3.6,4.6,10.5,4.2,2.1,0.6,2.0,21,0,3.8
2 Days Rest,9,36.1,22.1,8.9,17.8,50.0,0.9,2.9,30.8,3.4,4.2,81.6,0.9,3.1,4.0,12.0,5.1,1.9,0.3,1.8,6,0,6.0
3 Days Rest,1,38.7,26.0,10.0,18.0,55.6,1.0,4.0,25.0,5.0,6.0,83.3,0.0,7.0,7.0,10.0,4.0,3.0,0.0,2.0,1,0,11.0
4 Days Rest,1,23.9,27.0,8.0,19.0,42.1,1.0,3.0,33.3,10.0,12.0,83.3,0.0,4.0,4.0,6.0,2.0,1.0,0.0,2.0,0,0,1.0
5 Days Rest,1,30.3,12.0,3.0,15.0,20.0,0.0,2.0,0.0,6.0,7.0,85.7,2.0,1.0,3.0,10.0,5.0,4.0,1.0,2.0,1,0,-9.0
