BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,52,16.8,4.3,1.7,3.7,45.1,0.6,1.8,34.7,0.3,0.4,81.0,0.8,2.7,3.5,0.9,0.6,0.4,0.3,1.7,0,0,0.1
Home,26,18.0,4.5,1.8,3.7,47.4,0.7,1.8,37.0,0.3,0.5,75.0,0.9,3.1,4.0,1.3,0.7,0.5,0.3,1.6,0,0,0.5
Road,26,15.7,4.1,1.6,3.7,42.7,0.6,1.9,32.7,0.3,0.3,88.9,0.8,2.2,3.0,0.5,0.5,0.3,0.2,1.8,0,0,-0.4
Wins,34,17.8,3.9,1.5,3.6,41.5,0.6,2.0,32.4,0.3,0.4,76.9,0.9,3.0,3.8,1.2,0.8,0.4,0.3,1.9,0,0,2.2
Losses,18,15.0,5.0,2.0,3.9,51.4,0.6,1.5,40.7,0.4,0.4,87.5,0.8,2.1,2.8,0.3,0.4,0.5,0.2,1.4,0,0,-3.9
October,3,15.7,3.7,1.0,4.0,25.0,0.7,2.3,28.6,1.0,1.3,75.0,0.0,1.3,1.3,1.3,1.0,1.3,0.0,2.0,0,0,-1.7
November,15,17.6,5.2,2.1,3.8,56.1,0.7,1.3,50.0,0.3,0.3,80.0,0.9,2.7,3.6,0.5,0.4,0.5,0.3,1.7,0,0,-2.2
December,16,16.3,4.4,1.7,4.1,40.9,0.8,2.3,32.4,0.3,0.3,80.0,1.0,2.6,3.6,1.1,0.4,0.4,0.1,1.6,0,0,2.6
January,13,18.1,4.2,1.6,3.2,51.2,0.5,1.5,35.0,0.4,0.5,83.3,1.0,3.0,4.0,1.1,1.2,0.2,0.4,1.8,0,0,1.6
February,5,13.5,2.2,0.8,3.4,23.5,0.4,2.2,18.2,0.2,0.2,100,0.2,2.4,2.6,0.8,0.4,0.2,0.2,1.6,0,0,-4.4
Pre All-Star,52,16.8,4.3,1.7,3.7,45.1,0.6,1.8,34.7,0.3,0.4,81.0,0.8,2.7,3.5,0.9,0.6,0.4,0.3,1.7,0,0,0.1
Starters,5,22.7,4.6,1.6,4.0,40.0,1.0,2.4,41.7,0.4,0.4,100,2.0,4.4,6.4,1.6,1.6,0.4,0.8,2.4,0,0,8.0
Bench,47,16.2,4.3,1.7,3.7,45.7,0.6,1.8,33.7,0.3,0.4,78.9,0.7,2.5,3.2,0.8,0.5,0.4,0.2,1.6,0,0,-0.8
0 Days Rest,12,16.8,4.1,1.6,3.7,43.2,0.8,1.7,45.0,0.2,0.4,40.0,1.1,3.3,4.3,1.1,1.0,0.1,0.5,2.1,0,0,3.1
1 Days Rest,28,17.2,4.3,1.7,3.7,45.6,0.6,2.0,32.7,0.3,0.3,87.5,0.8,2.8,3.6,0.9,0.5,0.5,0.1,1.6,0,0,0.4
2 Days Rest,8,15.1,4.8,1.8,3.4,51.9,0.8,1.8,42.9,0.5,0.5,100,0.6,1.1,1.8,0.6,0.8,0.4,0.3,1.3,0,0,-4.5
3 Days Rest,2,17.7,3.0,1.0,3.0,33.3,0.0,0.0,0.0,1.0,1.0,100,0.5,3.0,3.5,1.0,0.5,0.5,0.0,3.0,0,0,-5.0
5 Days Rest,1,17.8,8.0,4.0,5.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,1.0,2.0,0,0,-1.0
6+ Days Rest,1,18.8,4.0,1.0,8.0,12.5,0.0,5.0,0.0,2.0,2.0,100,0.0,1.0,1.0,3.0,1.0,4.0,0.0,1.0,0,0,2.0
