BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,17,13.6,6.2,2.1,5.6,36.8,0.9,2.6,33.3,1.2,1.7,72.4,0.1,1.2,1.3,1.5,1.2,0.5,0.0,1.2,0,0,-4.9
Home,10,12.3,5.1,1.7,4.7,36.2,0.6,2.2,27.3,1.1,1.5,73.3,0.0,1.1,1.1,1.3,1.1,0.3,0.0,1.0,0,0,-6.1
Road,7,15.5,7.9,2.6,6.9,37.5,1.3,3.3,39.1,1.4,2.0,71.4,0.1,1.4,1.6,1.9,1.4,0.7,0.0,1.6,0,0,-3.1
Wins,4,6.5,1.0,0.5,2.0,25.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.3,0.5,0.3,0.0,0.5,0,0,-3.3
Losses,13,15.8,7.8,2.5,6.7,37.9,1.2,3.2,35.7,1.6,2.2,72.4,0.1,1.5,1.5,1.6,1.5,0.5,0.0,1.5,0,0,-5.4
November,7,16.4,9.4,2.7,6.3,43.2,1.3,3.6,36.0,2.7,3.4,79.2,0.1,1.7,1.9,1.9,2.1,0.6,0.0,1.4,0,0,-6.0
December,10,11.6,4.0,1.6,5.1,31.4,0.6,2.0,30.0,0.2,0.5,40.0,0.0,0.9,0.9,1.3,0.6,0.4,0.0,1.1,0,0,-4.1
Pre All-Star,17,13.6,6.2,2.1,5.6,36.8,0.9,2.6,33.3,1.2,1.7,72.4,0.1,1.2,1.3,1.5,1.2,0.5,0.0,1.2,0,0,-4.9
Bench,17,13.6,6.2,2.1,5.6,36.8,0.9,2.6,33.3,1.2,1.7,72.4,0.1,1.2,1.3,1.5,1.2,0.5,0.0,1.2,0,0,-4.9
0 Days Rest,3,21.4,13.3,4.7,11.3,41.2,2.3,5.0,46.7,1.7,2.7,62.5,0.0,3.0,3.0,2.3,2.7,1.3,0.0,2.7,0,0,0.3
1 Days Rest,9,14.0,5.8,1.9,5.3,35.4,0.8,2.4,31.8,1.2,1.4,84.6,0.1,0.8,0.9,1.3,0.8,0.3,0.0,0.8,0,0,-8.6
2 Days Rest,2,9.3,1.5,0.5,3.5,14.3,0.5,2.5,20.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,1.0,0.0,0.0,1.0,0,0,-6.5
3 Days Rest,1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,3.0
6+ Days Rest,2,10.0,5.5,1.5,3.0,50.0,0.0,1.5,0.0,2.5,4.0,62.5,0.0,2.0,2.0,1.5,2.0,0.5,0.0,1.5,0,0,1.5
