,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - LAL @ MIL",W,21,11,4,9,44.4,3,6,50.0,0,0,0.0,0,0,0,4,1,0,1,4,-2,2017-02-10 00:00:00,MIL,AWAY
1,"FEB 08, 2017 - LAL @ DET",L,22,12,3,10,30.0,0,3,0.0,6,7,85.7,0,1,1,0,2,0,3,3,-22,2017-02-08 00:00:00,DET,AWAY
2,"FEB 06, 2017 - LAL @ NYK",W,29,12,5,13,38.5,0,2,0.0,2,2,100.0,1,6,7,2,0,0,1,4,6,2017-02-06 00:00:00,NYK,AWAY
3,"FEB 03, 2017 - LAL @ BOS",L,22,2,1,7,14.3,0,3,0.0,0,0,0.0,1,0,1,1,3,1,1,1,-4,2017-02-03 00:00:00,BOS,AWAY
4,"FEB 02, 2017 - LAL @ WAS",L,29,20,9,13,69.2,2,6,33.3,0,0,0.0,0,2,2,1,0,0,0,1,-4,2017-02-02 00:00:00,WAS,AWAY
5,"JAN 31, 2017 - LAL vs. DEN",W,21,6,3,7,42.9,0,1,0.0,0,0,0.0,0,3,3,2,1,0,3,1,-15,2017-01-31 00:00:00,DEN,HOME
6,"JAN 26, 2017 - LAL @ UTA",L,36,16,8,18,44.4,0,2,0.0,0,0,0.0,0,5,5,4,1,0,3,3,-2,2017-01-26 00:00:00,UTA,AWAY
7,"JAN 25, 2017 - LAL @ POR",L,35,22,8,15,53.3,2,4,50.0,4,4,100.0,1,2,3,2,1,0,1,0,-1,2017-01-25 00:00:00,POR,AWAY
8,"JAN 22, 2017 - LAL @ DAL",L,25,10,5,13,38.5,0,2,0.0,0,0,0.0,0,3,3,0,0,0,2,0,-36,2017-01-22 00:00:00,DAL,AWAY
9,"JAN 20, 2017 - LAL vs. IND",W,33,12,5,12,41.7,1,4,25.0,1,1,100.0,1,4,5,3,5,0,7,0,6,2017-01-20 00:00:00,IND,HOME
10,"JAN 17, 2017 - LAL vs. DEN",L,36,19,7,16,43.8,2,5,40.0,3,3,100.0,0,0,0,3,2,0,1,5,9,2017-01-17 00:00:00,DEN,HOME
11,"JAN 15, 2017 - LAL vs. DET",L,24,16,7,12,58.3,0,2,0.0,2,2,100.0,0,2,2,2,0,0,2,3,-7,2017-01-15 00:00:00,DET,HOME
12,"JAN 14, 2017 - LAL @ LAC",L,28,21,8,14,57.1,3,4,75.0,2,2,100.0,1,3,4,3,0,0,2,3,-12,2017-01-14 00:00:00,LAC,AWAY
13,"JAN 12, 2017 - LAL @ SAS",L,24,14,6,11,54.5,0,2,0.0,2,4,50.0,0,1,1,3,0,0,0,3,-11,2017-01-12 00:00:00,SAS,AWAY
14,"JAN 10, 2017 - LAL vs. POR",L,23,9,3,9,33.3,2,5,40.0,1,1,100.0,0,1,1,1,2,0,0,2,-12,2017-01-10 00:00:00,POR,HOME
15,"JAN 08, 2017 - LAL vs. ORL",W,29,9,3,9,33.3,1,5,20.0,2,2,100.0,0,4,4,4,1,0,0,0,12,2017-01-08 00:00:00,ORL,HOME
16,"JAN 06, 2017 - LAL vs. MIA",W,10,4,2,4,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-7,2017-01-06 00:00:00,MIA,HOME
17,"JAN 05, 2017 - LAL @ POR",L,32,21,8,14,57.1,4,7,57.1,1,2,50.0,1,2,3,1,2,0,0,2,5,2017-01-05 00:00:00,POR,AWAY
18,"JAN 03, 2017 - LAL vs. MEM",W,18,16,6,9,66.7,3,6,50.0,1,3,33.3,3,4,7,3,0,0,1,3,5,2017-01-03 00:00:00,MEM,HOME
19,"JAN 01, 2017 - LAL vs. TOR",L,17,2,1,5,20.0,0,2,0.0,0,1,0.0,0,1,1,1,0,0,1,0,-12,2017-01-01 00:00:00,TOR,HOME
20,"DEC 29, 2016 - LAL vs. DAL",L,30,15,7,11,63.6,1,3,33.3,0,2,0.0,0,1,1,0,3,0,2,2,-6,2016-12-29 00:00:00,DAL,HOME
21,"DEC 27, 2016 - LAL vs. UTA",L,26,12,6,10,60.0,0,1,0.0,0,0,0.0,3,2,5,3,1,1,3,2,3,2016-12-27 00:00:00,UTA,HOME
22,"DEC 25, 2016 - LAL vs. LAC",W,20,5,2,9,22.2,0,4,0.0,1,2,50.0,1,0,1,0,1,0,1,2,-9,2016-12-25 00:00:00,LAC,HOME
23,"DEC 23, 2016 - LAL @ ORL",L,27,18,7,14,50.0,4,8,50.0,0,0,0.0,1,4,5,2,0,0,5,1,-19,2016-12-23 00:00:00,ORL,AWAY
24,"DEC 22, 2016 - LAL @ MIA",L,25,4,2,10,20.0,0,3,0.0,0,0,0.0,0,2,2,3,2,0,1,0,-9,2016-12-22 00:00:00,MIA,AWAY
25,"DEC 20, 2016 - LAL @ CHA",L,31,25,9,13,69.2,7,9,77.8,0,0,0.0,0,3,3,5,1,1,1,2,6,2016-12-20 00:00:00,CHA,AWAY
26,"DEC 17, 2016 - LAL @ CLE",L,31,20,7,12,58.3,4,7,57.1,2,2,100.0,2,3,5,1,0,0,2,3,-10,2016-12-17 00:00:00,CLE,AWAY
27,"DEC 16, 2016 - LAL @ PHI",W,26,10,4,9,44.4,2,4,50.0,0,0,0.0,0,3,3,2,0,0,2,1,-9,2016-12-16 00:00:00,PHI,AWAY
28,"DEC 14, 2016 - LAL @ BKN",L,19,12,6,12,50.0,0,2,0.0,0,0,0.0,1,3,4,1,1,0,3,2,-6,2016-12-14 00:00:00,BKN,AWAY
29,"DEC 12, 2016 - LAL @ SAC",L,22,15,4,11,36.4,1,2,50.0,6,6,100.0,1,1,2,4,1,0,1,2,-13,2016-12-12 00:00:00,SAC,AWAY
30,"DEC 11, 2016 - LAL vs. NYK",L,32,14,6,10,60.0,0,1,0.0,2,3,66.7,2,2,4,4,0,0,0,1,1,2016-12-11 00:00:00,NYK,HOME
31,"DEC 09, 2016 - LAL vs. PHX",L,34,14,6,17,35.3,0,5,0.0,2,3,66.7,1,1,2,3,0,0,4,4,-14,2016-12-09 00:00:00,PHX,HOME
32,"DEC 07, 2016 - LAL @ HOU",L,35,7,3,13,23.1,1,5,20.0,0,0,0.0,0,2,2,2,0,0,1,0,-26,2016-12-07 00:00:00,HOU,AWAY
33,"DEC 05, 2016 - LAL vs. UTA",L,38,17,7,13,53.8,1,2,50.0,2,2,100.0,1,4,5,0,0,0,3,1,12,2016-12-05 00:00:00,UTA,HOME
34,"DEC 03, 2016 - LAL @ MEM",L,28,8,4,16,25.0,0,2,0.0,0,0,0.0,3,1,4,2,0,0,2,3,-5,2016-12-03 00:00:00,MEM,AWAY
35,"DEC 02, 2016 - LAL @ TOR",L,31,14,4,15,26.7,3,9,33.3,3,3,100.0,1,0,1,1,2,0,1,2,-18,2016-12-02 00:00:00,TOR,AWAY
36,"NOV 30, 2016 - LAL @ CHI",W,34,18,9,18,50.0,0,1,0.0,0,0,0.0,0,4,4,3,1,0,3,2,13,2016-11-30 00:00:00,CHI,AWAY
37,"NOV 29, 2016 - LAL @ NOP",L,29,9,4,14,28.6,1,7,14.3,0,0,0.0,0,3,3,2,1,0,2,1,-9,2016-11-29 00:00:00,NOP,AWAY
38,"NOV 27, 2016 - LAL vs. ATL",W,32,18,7,17,41.2,1,4,25.0,3,4,75.0,1,3,4,5,2,0,0,0,22,2016-11-27 00:00:00,ATL,HOME
39,"NOV 25, 2016 - LAL vs. GSW",L,38,20,6,15,40.0,4,9,44.4,4,5,80.0,0,2,2,0,5,0,3,1,-28,2016-11-25 00:00:00,GSW,HOME
40,"NOV 23, 2016 - LAL @ GSW",L,29,16,7,16,43.8,0,2,0.0,2,3,66.7,1,2,3,2,1,0,1,2,-20,2016-11-23 00:00:00,GSW,AWAY
41,"NOV 22, 2016 - LAL vs. OKC",W,26,18,7,14,50.0,0,4,0.0,4,4,100.0,0,3,3,4,4,0,1,1,6,2016-11-22 00:00:00,OKC,HOME
