BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,5,7.9,2.0,0.8,2.2,36.4,0.0,0.0,0.0,0.4,0.4,100,1.4,1.2,2.6,0.0,0.6,0.2,0.0,1.8,0,0,1.2
Home,3,4.9,1.3,0.7,1.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,1.3,0.0,0.7,0.0,0.0,1.3,0,0,-1.7
Road,2,12.4,3.0,1.0,3.5,28.6,0.0,0.0,0.0,1.0,1.0,100,2.0,2.5,4.5,0.0,0.5,0.5,0.0,2.5,0,0,5.5
Wins,2,5.0,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,2.0,0.0,1.0,0.0,0.0,1.5,0,0,-3.0
Losses,3,9.9,2.0,0.7,2.3,28.6,0.0,0.0,0.0,0.7,0.7,100,1.3,1.7,3.0,0.0,0.3,0.3,0.0,2.0,0,0,4.0
November,2,5.4,3.0,1.0,1.5,66.7,0.0,0.0,0.0,1.0,1.0,100,1.5,1.5,3.0,0.0,1.0,0.0,0.0,1.5,0,0,3.0
December,3,9.6,1.3,0.7,2.7,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0,2.3,0.0,0.3,0.3,0.0,2.0,0,0,0.0
Pre All-Star,5,7.9,2.0,0.8,2.2,36.4,0.0,0.0,0.0,0.4,0.4,100,1.4,1.2,2.6,0.0,0.6,0.2,0.0,1.8,0,0,1.2
Bench,5,7.9,2.0,0.8,2.2,36.4,0.0,0.0,0.0,0.4,0.4,100,1.4,1.2,2.6,0.0,0.6,0.2,0.0,1.8,0,0,1.2
0 Days Rest,1,5.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,-8.0
3 Days Rest,1,6.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0
6+ Days Rest,3,9.3,2.7,1.3,3.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.3,3.0,0.0,1.0,0.3,0.0,3.0,0,0,3.3
