BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,24,12.2,3.3,1.3,3.2,41.6,0.5,1.4,35.3,0.2,0.2,100,0.3,1.4,1.8,2.1,1.1,0.3,0.0,0.9,0,0,-5.5
Home,9,13.0,4.4,1.8,3.3,53.3,0.8,1.7,46.7,0.1,0.1,100,0.4,1.1,1.6,2.8,1.0,0.6,0.1,1.6,0,0,-4.0
Road,15,11.7,2.7,1.1,3.1,34.0,0.3,1.3,26.3,0.2,0.2,100,0.3,1.6,1.9,1.7,1.1,0.1,0.0,0.5,0,0,-6.5
Wins,6,13.2,6.3,2.5,3.8,65.2,1.0,1.8,54.5,0.3,0.3,100,0.3,1.5,1.8,2.5,0.8,0.7,0.0,1.3,0,0,-2.0
Losses,18,11.8,2.3,0.9,3.0,31.5,0.3,1.3,26.1,0.1,0.1,100,0.3,1.4,1.7,2.0,1.2,0.2,0.1,0.8,0,0,-6.7
October,1,4.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-12.0
November,11,15.0,5.5,2.2,4.0,54.5,0.8,1.8,45.0,0.4,0.4,100,0.5,1.5,1.9,3.0,1.7,0.5,0.1,1.3,0,0,-8.1
December,2,13.0,2.5,1.0,4.5,22.2,0.5,1.5,33.3,0.0,0.0,0.0,0.5,4.5,5.0,1.5,1.0,0.0,0.0,0.5,0,0,-4.0
January,9,10.1,1.6,0.7,2.6,26.1,0.2,1.1,20.0,0.0,0.0,0.0,0.2,0.9,1.1,1.4,0.4,0.1,0.0,0.8,0,0,-3.4
February,1,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,7.0
Pre All-Star,24,12.2,3.3,1.3,3.2,41.6,0.5,1.4,35.3,0.2,0.2,100,0.3,1.4,1.8,2.1,1.1,0.3,0.0,0.9,0,0,-5.5
Starters,11,16.6,4.9,2.0,4.7,42.3,0.7,1.8,40.0,0.2,0.2,100,0.5,2.0,2.5,3.3,1.5,0.4,0.1,1.6,0,0,-9.1
Bench,13,8.4,2.0,0.8,1.9,40.0,0.3,1.1,28.6,0.2,0.2,100,0.2,0.9,1.2,1.2,0.7,0.2,0.0,0.3,0,0,-2.5
0 Days Rest,5,13.4,2.8,1.2,3.6,33.3,0.2,1.0,20.0,0.2,0.2,100,0.6,2.0,2.6,2.0,1.6,0.0,0.0,0.8,0,0,-10.2
1 Days Rest,8,15.2,4.9,2.0,4.4,45.7,0.5,1.8,28.6,0.4,0.4,100,0.3,1.4,1.6,2.8,1.4,0.4,0.1,1.0,0,0,-7.4
2 Days Rest,3,13.9,2.3,1.0,3.7,27.3,0.3,1.7,20.0,0.0,0.0,0.0,0.3,1.0,1.3,3.3,0.7,0.3,0.0,1.7,0,0,-3.7
3 Days Rest,3,9.3,5.0,1.7,2.0,83.3,1.7,2.0,83.3,0.0,0.0,0.0,0.0,2.3,2.3,1.3,0.7,0.7,0.0,1.0,0,0,1.7
4 Days Rest,1,13.4,5.0,2.0,5.0,40.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0,0,-12.0
6+ Days Rest,4,5.2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.8,1.0,0.5,0.8,0.3,0.0,0.0,0,0,-1.3
