BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,28,31.3,11.2,4.4,11.1,39.4,1.6,5.1,31.3,0.9,1.2,73.5,0.5,2.8,3.3,2.8,1.5,1.0,0.5,2.6,0,0,-2.6
Home,14,33.5,12.9,5.0,12.3,40.7,1.9,5.6,33.3,1.1,1.4,78.9,0.5,2.8,3.3,2.9,1.4,0.8,0.5,2.8,0,0,-1.6
Road,14,29.0,9.5,3.7,9.9,37.7,1.4,4.7,28.8,0.7,1.1,66.7,0.5,2.9,3.4,2.6,1.6,1.1,0.5,2.5,0,0,-3.7
Wins,7,32.3,11.9,4.4,10.4,42.5,2.6,5.9,43.9,0.4,0.7,60.0,0.6,4.4,5.0,2.7,1.7,0.7,0.3,1.4,0,0,9.6
Losses,21,30.9,11.0,4.3,11.3,38.4,1.3,4.9,26.2,1.0,1.4,75.9,0.5,2.3,2.8,2.8,1.4,1.0,0.6,3.0,0,0,-6.7
November,13,28.1,10.9,4.2,10.5,39.4,1.9,5.3,36.2,0.7,1.0,69.2,0.6,2.5,3.1,1.8,1.2,0.8,0.5,2.6,0,0,-2.0
December,11,33.5,12.0,4.7,11.5,40.9,1.4,4.9,27.8,1.2,1.4,86.7,0.5,3.2,3.7,3.4,1.5,0.9,0.5,2.7,0,0,-2.5
January,4,35.5,10.0,4.0,11.5,34.8,1.3,5.3,23.8,0.8,1.5,50.0,0.0,3.0,3.0,4.3,2.5,1.5,0.5,2.5,0,0,-5.0
Pre All-Star,28,31.3,11.2,4.4,11.1,39.4,1.6,5.1,31.3,0.9,1.2,73.5,0.5,2.8,3.3,2.8,1.5,1.0,0.5,2.6,0,0,-2.6
Starters,20,33.3,12.0,4.7,11.9,39.1,1.7,5.4,30.8,1.0,1.4,74.1,0.5,3.1,3.5,3.3,1.6,1.1,0.6,2.7,0,0,-4.2
Bench,8,26.1,9.4,3.6,9.0,40.3,1.5,4.6,32.4,0.6,0.9,71.4,0.6,2.3,2.9,1.5,1.3,0.8,0.3,2.5,0,0,1.3
0 Days Rest,5,34.4,13.8,5.4,12.4,43.5,1.6,5.2,30.8,1.4,1.4,100,0.8,3.6,4.4,4.4,2.6,1.8,1.0,2.8,0,0,0.6
1 Days Rest,18,31.9,10.5,4.0,10.8,36.9,1.7,5.2,32.3,0.8,1.3,65.2,0.4,2.8,3.2,2.7,1.4,0.8,0.4,2.5,0,0,-4.4
2 Days Rest,2,26.8,11.5,4.5,10.5,42.9,2.5,5.5,45.5,0.0,0.0,0.0,1.0,1.5,2.5,0.0,0.5,0.0,0.5,3.0,0,0,6.0
3 Days Rest,1,37.5,22.0,9.0,16.0,56.3,2.0,6.0,33.3,2.0,2.0,100,0.0,5.0,5.0,3.0,0.0,1.0,0.0,4.0,0,0,-7.0
6+ Days Rest,2,18.8,5.5,2.5,8.0,31.3,0.0,4.0,0.0,0.5,1.0,50.0,0.5,1.5,2.0,2.0,1.5,1.0,0.0,2.5,0,0,-1.0
