,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - NOP @ MIN",W,38,25,10,14,71.4,1,2,50.0,4,4,100.0,2,4,6,12,5,0,9,3,15,2017-02-10 00:00:00,MIN,AWAY
1,"FEB 08, 2017 - NOP vs. UTA",L,31,15,7,12,58.3,1,4,25.0,0,3,0.0,1,5,6,2,1,0,4,2,-29,2017-02-08 00:00:00,UTA,HOME
2,"FEB 06, 2017 - NOP vs. PHX",W,37,30,11,22,50.0,3,7,42.9,5,6,83.3,1,8,9,7,1,3,4,4,13,2017-02-06 00:00:00,PHX,HOME
3,"FEB 04, 2017 - NOP @ WAS",L,36,13,5,17,29.4,0,3,0.0,3,4,75.0,2,8,10,8,0,0,6,4,-12,2017-02-04 00:00:00,WAS,AWAY
4,"FEB 01, 2017 - NOP @ DET",L,35,22,10,17,58.8,0,3,0.0,2,3,66.7,1,2,3,11,2,1,4,1,-6,2017-02-01 00:00:00,DET,AWAY
5,"JAN 31, 2017 - NOP @ TOR",L,41,30,13,21,61.9,3,5,60.0,1,2,50.0,1,1,2,3,2,2,3,3,-10,2017-01-31 00:00:00,TOR,AWAY
6,"JAN 29, 2017 - NOP vs. WAS",L,39,26,11,19,57.9,4,7,57.1,0,0,0.0,2,2,4,11,1,0,2,0,-5,2017-01-29 00:00:00,WAS,HOME
7,"JAN 27, 2017 - NOP vs. SAS",W,38,23,10,17,58.8,3,6,50.0,0,1,0.0,0,4,4,11,2,3,5,1,15,2017-01-27 00:00:00,SAS,HOME
8,"JAN 25, 2017 - NOP vs. OKC",L,32,14,6,11,54.5,2,4,50.0,0,0,0.0,1,1,2,8,4,1,4,2,-16,2017-01-25 00:00:00,OKC,HOME
9,"JAN 23, 2017 - NOP vs. CLE",W,39,33,12,19,63.2,4,7,57.1,5,5,100.0,0,6,6,10,3,2,3,5,-5,2017-01-23 00:00:00,CLE,HOME
10,"JAN 20, 2017 - NOP vs. BKN",L,28,12,4,12,33.3,1,2,50.0,3,4,75.0,1,2,3,8,1,0,3,2,-7,2017-01-20 00:00:00,BKN,HOME
11,"JAN 18, 2017 - NOP vs. ORL",W,26,14,6,13,46.2,2,4,50.0,0,0,0.0,1,3,4,5,5,2,2,1,6,2017-01-18 00:00:00,ORL,HOME
12,"JAN 16, 2017 - NOP @ IND",L,26,11,4,9,44.4,2,3,66.7,1,2,50.0,1,1,2,6,1,0,5,3,2,2017-01-16 00:00:00,IND,AWAY
13,"JAN 14, 2017 - NOP @ CHI",L,29,1,0,7,0.0,0,4,0.0,1,2,50.0,0,3,3,12,0,0,2,2,-3,2017-01-14 00:00:00,CHI,AWAY
14,"JAN 12, 2017 - NOP @ BKN",W,31,21,7,15,46.7,4,6,66.7,3,4,75.0,1,4,5,4,2,0,4,3,13,2017-01-12 00:00:00,BKN,AWAY
15,"JAN 09, 2017 - NOP @ NYK",W,25,9,3,8,37.5,1,3,33.3,2,3,66.7,0,4,4,7,1,0,2,1,23,2017-01-09 00:00:00,NYK,AWAY
16,"JAN 07, 2017 - NOP @ BOS",L,29,13,5,10,50.0,1,4,25.0,2,2,100.0,0,1,1,4,2,1,3,3,-9,2017-01-07 00:00:00,BOS,AWAY
17,"JAN 05, 2017 - NOP vs. ATL",L,35,18,5,13,38.5,4,6,66.7,4,4,100.0,0,2,2,5,1,0,4,2,-9,2017-01-05 00:00:00,ATL,HOME
18,"JAN 02, 2017 - NOP @ CLE",L,35,11,4,11,36.4,2,3,66.7,1,2,50.0,0,4,4,13,3,0,4,1,8,2017-01-02 00:00:00,CLE,AWAY
19,"DEC 30, 2016 - NOP vs. NYK",W,35,12,5,10,50.0,0,1,0.0,2,2,100.0,0,4,4,11,1,2,1,1,15,2016-12-30 00:00:00,NYK,HOME
20,"DEC 28, 2016 - NOP vs. LAC",W,34,11,5,12,41.7,0,1,0.0,1,2,50.0,0,4,4,9,2,0,3,3,1,2016-12-28 00:00:00,LAC,HOME
21,"DEC 26, 2016 - NOP vs. DAL",W,36,7,2,11,18.2,0,1,0.0,3,4,75.0,0,3,3,11,1,0,1,2,12,2016-12-26 00:00:00,DAL,HOME
22,"DEC 23, 2016 - NOP vs. MIA",W,27,22,9,17,52.9,1,2,50.0,3,5,60.0,0,2,2,6,2,0,1,3,-2,2016-12-23 00:00:00,MIA,HOME
23,"DEC 21, 2016 - NOP vs. OKC",L,35,23,9,15,60.0,2,3,66.7,3,4,75.0,1,3,4,10,1,0,3,3,3,2016-12-21 00:00:00,OKC,HOME
24,"DEC 20, 2016 - NOP @ PHI",W,30,12,4,13,30.8,1,4,25.0,3,4,75.0,1,3,4,9,0,0,1,1,6,2016-12-20 00:00:00,PHI,AWAY
25,"DEC 18, 2016 - NOP @ SAS",L,24,5,2,8,25.0,1,2,50.0,0,0,0.0,0,2,2,6,1,1,2,2,-26,2016-12-18 00:00:00,SAS,AWAY
26,"DEC 16, 2016 - NOP @ HOU",L,35,11,5,15,33.3,1,7,14.3,0,0,0.0,1,4,5,1,0,1,2,1,-9,2016-12-16 00:00:00,HOU,AWAY
27,"DEC 15, 2016 - NOP vs. IND",W,36,16,7,12,58.3,0,1,0.0,2,3,66.7,2,5,7,14,0,0,2,4,13,2016-12-15 00:00:00,IND,HOME
28,"DEC 13, 2016 - NOP vs. GSW",L,30,10,3,12,25.0,1,5,20.0,3,6,50.0,2,5,7,6,4,1,3,3,-12,2016-12-13 00:00:00,GSW,HOME
29,"DEC 11, 2016 - NOP @ PHX",W,40,23,7,18,38.9,2,8,25.0,7,9,77.8,2,1,3,3,2,0,2,5,-11,2016-12-11 00:00:00,PHX,AWAY
30,"DEC 04, 2016 - NOP @ OKC",L,36,10,4,12,33.3,0,5,0.0,2,2,100.0,1,4,5,6,2,0,3,4,-14,2016-12-04 00:00:00,OKC,AWAY
31,"DEC 02, 2016 - NOP vs. LAC",L,28,9,4,12,33.3,1,3,33.3,0,0,0.0,1,3,4,4,1,0,1,2,-23,2016-12-02 00:00:00,LAC,HOME
32,"NOV 29, 2016 - NOP vs. LAL",W,29,22,8,15,53.3,4,7,57.1,2,3,66.7,0,2,2,5,1,0,2,1,19,2016-11-29 00:00:00,LAL,HOME
33,"NOV 27, 2016 - NOP @ DAL",L,31,17,7,13,53.8,3,4,75.0,0,0,0.0,1,3,4,6,0,0,4,3,-7,2016-11-27 00:00:00,DAL,AWAY
34,"NOV 25, 2016 - NOP @ POR",L,29,16,6,13,46.2,2,4,50.0,2,4,50.0,0,4,4,5,0,1,5,4,0,2016-11-25 00:00:00,POR,AWAY
35,"NOV 23, 2016 - NOP vs. MIN",W,22,7,2,8,25.0,0,2,0.0,3,4,75.0,0,1,1,8,1,1,2,4,1,2016-11-23 00:00:00,MIN,HOME
36,"NOV 22, 2016 - NOP @ ATL",W,27,15,7,15,46.7,0,3,0.0,1,1,100.0,0,4,4,4,2,1,3,1,13,2016-11-22 00:00:00,ATL,AWAY
37,"NOV 19, 2016 - NOP vs. CHA",W,30,22,9,17,52.9,3,7,42.9,1,2,50.0,0,2,2,9,1,0,3,4,12,2016-11-19 00:00:00,CHA,HOME
38,"NOV 18, 2016 - NOP vs. POR",W,23,21,8,14,57.1,1,2,50.0,4,7,57.1,0,2,2,7,1,1,1,2,5,2016-11-18 00:00:00,POR,HOME
