BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,46,19.7,7.0,2.8,6.1,45.4,0.9,3.1,30.1,0.5,0.7,71.0,1.2,3.3,4.5,0.8,0.7,0.5,0.8,1.5,1,0,-5.3
Home,26,18.7,5.9,2.4,5.7,42.6,0.7,3.0,24.1,0.3,0.6,60.0,1.2,3.0,4.2,0.9,0.8,0.3,0.9,1.4,0,0,-6.8
Road,20,21.2,8.4,3.3,6.7,48.5,1.2,3.2,37.5,0.7,0.8,81.3,1.3,3.7,5.0,0.8,0.7,0.8,0.6,1.6,1,0,-3.4
Wins,8,22.1,6.0,2.3,4.5,50.0,0.9,2.6,33.3,0.6,1.0,62.5,0.6,3.5,4.1,0.9,1.0,0.3,0.9,1.5,0,0,-1.8
Losses,38,19.3,7.2,2.9,6.5,44.7,0.9,3.2,29.5,0.4,0.6,73.9,1.3,3.2,4.6,0.8,0.7,0.6,0.7,1.5,1,0,-6.0
October,4,25.1,8.3,3.0,7.5,40.0,1.5,4.5,33.3,0.8,1.0,75.0,2.8,4.0,6.8,1.0,0.8,1.0,1.0,2.5,1,0,-4.3
November,13,22.1,7.7,2.8,5.5,52.1,1.4,3.2,43.9,0.6,0.9,66.7,0.6,3.2,3.8,0.8,0.5,0.5,0.4,1.5,0,0,-6.2
December,10,17.2,3.4,1.4,5.2,26.9,0.3,2.8,10.7,0.3,0.4,75.0,1.0,3.2,4.2,1.0,1.2,0.6,0.6,1.2,0,0,-3.9
January,15,18.3,8.3,3.6,7.1,50.5,0.9,2.9,29.5,0.3,0.3,80.0,1.3,3.3,4.7,0.6,0.6,0.3,0.9,1.5,0,0,-6.5
February,4,18.8,7.3,2.8,5.5,50.0,0.8,3.0,25.0,1.0,1.5,66.7,1.8,2.8,4.5,1.3,0.5,0.5,1.5,1.3,0,0,-2.5
Pre All-Star,46,19.7,7.0,2.8,6.1,45.4,0.9,3.1,30.1,0.5,0.7,71.0,1.2,3.3,4.5,0.8,0.7,0.5,0.8,1.5,1,0,-5.3
Starters,6,22.5,7.7,3.3,7.2,46.5,0.7,2.7,25.0,0.3,0.3,100,1.0,3.2,4.2,0.5,0.7,0.7,1.2,1.8,0,0,-14.3
Bench,40,19.3,6.9,2.7,6.0,45.2,1.0,3.2,30.7,0.5,0.7,69.0,1.3,3.3,4.6,0.9,0.7,0.5,0.7,1.4,1,0,-3.9
0 Days Rest,8,20.2,9.5,3.6,7.8,46.8,1.5,3.9,38.7,0.8,1.0,75.0,1.1,3.4,4.5,0.6,0.9,0.9,0.8,1.6,0,0,-7.1
1 Days Rest,26,19.1,5.9,2.5,6.0,40.8,0.6,3.0,20.8,0.3,0.5,75.0,1.2,2.9,4.1,1.0,0.7,0.5,0.7,1.5,0,0,-6.7
2 Days Rest,8,19.9,6.4,2.4,4.3,55.9,1.1,2.4,47.4,0.5,0.8,66.7,0.6,3.3,3.9,0.1,0.5,0.4,0.9,1.0,0,0,0.3
3 Days Rest,2,21.3,8.5,3.5,5.5,63.6,1.5,3.5,42.9,0.0,0.0,0.0,1.0,5.0,6.0,0.5,1.0,0.5,1.0,2.0,0,0,-9.5
5 Days Rest,1,25.3,19.0,7.0,12.0,58.3,3.0,6.0,50.0,2.0,3.0,66.7,6.0,4.0,10.0,2.0,1.0,0.0,0.0,4.0,1,0,0.0
6+ Days Rest,1,23.4,5.0,2.0,6.0,33.3,0.0,3.0,0.0,1.0,2.0,50.0,2.0,9.0,11.0,4.0,1.0,0.0,1.0,1.0,0,0,6.0
