,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - BKN vs. MIA",L,18,6,2,6,33.3,1,2,50.0,1,1,100.0,2,1,3,0,0,3,0,0,-9,2017-02-10 00:00:00,MIA,HOME
1,"FEB 08, 2017 - BKN vs. WAS",L,16,3,1,5,20.0,1,4,25.0,0,2,0.0,1,1,2,2,0,1,1,3,-4,2017-02-08 00:00:00,WAS,HOME
2,"FEB 07, 2017 - BKN @ CHA",L,21,9,3,6,50.0,1,4,25.0,2,2,100.0,2,5,7,2,1,1,0,1,12,2017-02-07 00:00:00,CHA,AWAY
3,"FEB 05, 2017 - BKN vs. TOR",L,19,8,4,7,57.1,0,3,0.0,0,0,0.0,2,4,6,1,1,2,0,1,-9,2017-02-05 00:00:00,TOR,HOME
4,"FEB 01, 2017 - BKN vs. NYK",L,19,9,3,4,75.0,1,1,100.0,2,2,100.0,2,1,3,0,0,2,1,0,-9,2017-02-01 00:00:00,NYK,HOME
5,"JAN 30, 2017 - BKN @ MIA",L,17,9,4,5,80.0,1,2,50.0,0,0,0.0,1,2,3,0,0,0,0,2,1,2017-01-30 00:00:00,MIA,AWAY
6,"JAN 28, 2017 - BKN @ MIN",L,20,9,4,7,57.1,1,2,50.0,0,0,0.0,1,6,7,0,0,1,1,2,-6,2017-01-28 00:00:00,MIN,AWAY
7,"JAN 27, 2017 - BKN @ CLE",L,23,12,6,11,54.5,0,1,0.0,0,0,0.0,1,4,5,0,1,1,0,1,-22,2017-01-27 00:00:00,CLE,AWAY
8,"JAN 25, 2017 - BKN vs. MIA",L,9,0,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,1,0,0,2,5,-12,2017-01-25 00:00:00,MIA,HOME
9,"JAN 23, 2017 - BKN vs. SAS",L,16,2,1,3,33.3,0,2,0.0,0,0,0.0,1,3,4,0,0,2,0,1,-12,2017-01-23 00:00:00,SAS,HOME
10,"JAN 20, 2017 - BKN @ NOP",W,24,6,3,6,50.0,0,2,0.0,0,0,0.0,1,4,5,0,0,0,0,0,0,2017-01-20 00:00:00,NOP,AWAY
11,"JAN 17, 2017 - BKN vs. TOR",L,13,9,4,8,50.0,1,4,25.0,0,0,0.0,2,3,5,1,0,0,1,0,-5,2017-01-17 00:00:00,TOR,HOME
12,"JAN 15, 2017 - BKN vs. HOU",L,18,11,5,7,71.4,1,2,50.0,0,0,0.0,1,2,3,2,0,3,0,3,-29,2017-01-15 00:00:00,HOU,HOME
13,"JAN 13, 2017 - BKN @ TOR",L,14,11,4,8,50.0,1,4,25.0,2,2,100.0,0,2,2,2,1,0,0,0,-8,2017-01-13 00:00:00,TOR,AWAY
