BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,47,33.5,25.5,8.4,17.3,48.6,2.0,5.1,39.9,6.7,7.4,90.5,1.2,4.6,5.9,3.3,2.1,1.7,0.8,1.5,6,0,6.2
Home,23,32.9,24.9,8.2,16.9,48.6,2.3,4.8,47.7,6.1,6.8,89.8,1.1,4.7,5.8,2.9,1.7,1.6,1.0,1.2,2,0,6.2
Road,24,34.1,26.0,8.5,17.6,48.6,1.8,5.3,33.1,7.2,7.9,91.1,1.3,4.5,5.9,3.8,2.4,1.8,0.6,1.8,4,0,6.2
Wins,36,33.5,25.5,8.6,17.2,49.8,2.0,5.2,39.2,6.4,7.1,90.2,1.1,4.7,5.8,3.6,1.9,1.8,0.7,1.5,6,0,10.3
Losses,11,33.7,25.3,7.8,17.5,44.8,2.0,4.7,42.3,7.6,8.4,91.3,1.6,4.5,6.1,2.6,2.5,1.4,0.9,1.7,0,0,-7.2
October,4,31.2,28.0,8.8,17.5,50.0,1.0,3.8,26.7,9.5,10.0,95.0,0.8,2.8,3.5,4.3,1.8,3.3,0.3,2.5,0,0,10.8
November,15,34.6,23.4,7.6,17.4,43.7,2.2,5.5,40.2,6.0,6.7,89.1,1.3,5.5,6.7,2.7,1.9,1.9,0.5,1.3,4,0,0.5
December,12,32.8,24.3,8.2,16.2,50.5,1.8,4.3,43.1,6.2,6.5,94.9,1.5,4.5,6.0,3.3,2.2,1.8,0.7,1.3,2,0,7.9
January,13,34.1,28.6,9.5,18.3,52.1,2.5,5.8,42.7,7.1,8.0,88.5,0.8,4.4,5.2,3.5,2.1,1.2,1.2,1.8,0,0,8.1
February,3,31.3,23.3,7.7,16.0,47.9,1.3,5.0,26.7,6.7,8.0,83.3,2.0,4.7,6.7,5.0,2.7,1.3,1.3,1.0,0,0,13.3
Pre All-Star,47,33.5,25.5,8.4,17.3,48.6,2.0,5.1,39.9,6.7,7.4,90.5,1.2,4.6,5.9,3.3,2.1,1.7,0.8,1.5,6,0,6.2
Starters,47,33.5,25.5,8.4,17.3,48.6,2.0,5.1,39.9,6.7,7.4,90.5,1.2,4.6,5.9,3.3,2.1,1.7,0.8,1.5,6,0,6.2
0 Days Rest,8,32.1,22.9,7.0,14.6,47.9,1.5,4.4,34.3,7.4,8.4,88.1,0.5,3.5,4.0,3.0,2.1,2.0,0.3,1.5,1,0,7.3
1 Days Rest,26,34.2,26.1,8.9,17.9,49.6,2.4,5.6,43.2,5.9,6.7,89.0,1.2,5.2,6.3,3.7,2.2,1.8,0.9,1.5,4,0,7.5
2 Days Rest,7,32.4,24.6,8.4,16.9,50.0,1.3,3.4,37.5,6.4,7.1,90.0,1.7,5.0,6.7,2.1,1.1,1.3,1.0,1.7,1,0,2.6
3 Days Rest,4,36.1,31.8,9.8,20.5,47.6,2.0,5.3,38.1,10.3,10.3,100,1.8,3.5,5.3,3.8,2.5,2.0,0.8,1.3,0,0,6.0
5 Days Rest,1,30.4,23.0,6.0,16.0,37.5,2.0,6.0,33.3,9.0,9.0,100,1.0,5.0,6.0,6.0,4.0,1.0,0.0,2.0,0,0,2.0
6+ Days Rest,1,28.1,13.0,3.0,12.0,25.0,1.0,6.0,16.7,6.0,7.0,85.7,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,0,0,-7.0
