BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,50,20.9,6.4,2.4,5.6,42.0,0.8,2.6,30.5,0.9,1.2,76.7,0.8,2.7,3.5,0.6,0.7,0.8,0.2,2.6,1,0,-0.1
Home,27,21.5,7.2,2.6,5.7,45.2,0.9,2.7,31.9,1.1,1.4,81.6,0.7,2.9,3.6,0.7,0.7,0.8,0.2,2.7,1,0,2.6
Road,23,20.3,5.6,2.1,5.5,38.1,0.7,2.6,28.8,0.7,1.0,68.2,0.8,2.5,3.3,0.6,0.6,0.8,0.2,2.4,0,0,-3.2
Wins,29,23.6,7.4,2.7,6.2,43.0,0.9,3.2,29.3,1.1,1.5,76.7,0.8,3.0,3.7,0.8,0.8,0.8,0.2,2.9,1,0,2.8
Losses,21,17.2,5.1,2.0,4.9,40.2,0.6,1.9,33.3,0.6,0.8,76.5,0.8,2.3,3.1,0.4,0.5,0.8,0.1,2.1,0,0,-4.0
October,2,18.4,5.0,1.5,5.0,30.0,0.5,3.0,16.7,1.5,2.5,60.0,0.5,1.0,1.5,1.0,1.0,0.5,0.0,0.5,0,0,-7.0
November,14,14.8,4.9,1.7,3.9,44.4,0.6,1.6,36.4,0.9,1.1,75.0,0.6,2.2,2.9,0.4,0.4,0.5,0.1,1.8,1,0,-2.1
December,14,22.2,6.9,2.6,6.2,41.4,0.6,2.7,23.7,1.1,1.3,83.3,0.9,3.6,4.4,0.8,0.9,0.9,0.1,2.7,0,0,-2.1
January,16,24.1,7.7,2.9,6.5,44.2,1.2,3.2,37.3,0.8,0.9,80.0,0.7,2.8,3.4,0.8,0.6,0.9,0.3,3.1,0,0,3.0
February,4,26.8,6.3,2.3,6.5,34.6,0.8,3.5,21.4,1.0,1.5,66.7,1.3,2.0,3.3,0.0,0.8,1.3,0.3,3.8,0,0,5.3
Pre All-Star,50,20.9,6.4,2.4,5.6,42.0,0.8,2.6,30.5,0.9,1.2,76.7,0.8,2.7,3.5,0.6,0.7,0.8,0.2,2.6,1,0,-0.1
Starters,2,36.6,7.5,3.5,8.5,41.2,0.5,3.5,14.3,0.0,1.5,0.0,0.5,4.0,4.5,0.5,1.0,1.5,0.0,3.0,0,0,0.5
Bench,48,20.3,6.4,2.3,5.5,42.0,0.8,2.6,31.5,1.0,1.2,80.7,0.8,2.6,3.4,0.6,0.6,0.8,0.2,2.6,1,0,-0.1
0 Days Rest,8,18.6,5.5,1.9,4.5,41.7,1.3,2.9,43.5,0.5,0.6,80.0,0.1,2.5,2.6,0.5,0.4,0.3,0.3,2.6,0,0,-2.4
1 Days Rest,29,23.1,7.8,2.9,6.1,46.6,0.8,2.7,29.9,1.2,1.6,78.3,0.9,3.2,4.2,0.7,0.8,0.9,0.2,2.8,1,0,2.7
2 Days Rest,10,18.7,4.6,1.8,5.6,32.1,0.6,2.5,24.0,0.4,0.5,80.0,0.8,1.9,2.7,0.7,0.7,1.0,0.2,2.3,0,0,-3.6
3 Days Rest,2,9.2,1.0,0.5,2.5,20.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.5,0.0,1.0,0,0,-7.5
5 Days Rest,1,22.2,5.0,1.0,6.0,16.7,1.0,4.0,25.0,2.0,4.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,-10.0
