,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - DEN @ ATL",L,10,1,0,2,0.0,0,0,0.0,1,2,50.0,1,1,2,1,0,0,0,1,-3,2017-02-08 00:00:00,ATL,AWAY
1,"FEB 04, 2017 - DEN @ SAS",L,14,4,2,3,66.7,0,0,0.0,0,2,0.0,4,0,4,0,0,0,0,4,-7,2017-02-04 00:00:00,SAS,AWAY
2,"FEB 03, 2017 - DEN vs. MIL",W,25,19,6,8,75.0,0,0,0.0,7,12,58.3,6,5,11,1,0,1,1,1,4,2017-02-03 00:00:00,MIL,HOME
3,"FEB 01, 2017 - DEN vs. MEM",L,28,11,5,6,83.3,0,0,0.0,1,1,100.0,5,6,11,1,1,0,3,5,-8,2017-02-01 00:00:00,MEM,HOME
4,"JAN 31, 2017 - DEN @ LAL",L,28,14,5,12,41.7,0,0,0.0,4,6,66.7,6,11,17,1,2,0,1,3,-11,2017-01-31 00:00:00,LAL,AWAY
5,"JAN 28, 2017 - DEN @ PHX",W,37,21,6,9,66.7,0,0,0.0,9,11,81.8,3,11,14,2,2,2,0,3,21,2017-01-28 00:00:00,PHX,AWAY
6,"JAN 26, 2017 - DEN vs. PHX",W,21,15,5,8,62.5,0,0,0.0,5,5,100.0,4,2,6,0,1,0,1,1,2,2017-01-26 00:00:00,PHX,HOME
7,"JAN 24, 2017 - DEN vs. UTA",W,28,11,4,8,50.0,0,0,0.0,3,6,50.0,2,5,7,1,0,0,0,1,3,2017-01-24 00:00:00,UTA,HOME
8,"JAN 22, 2017 - DEN @ MIN",L,14,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,2017-01-22 00:00:00,MIN,AWAY
9,"JAN 21, 2017 - DEN vs. LAC",W,24,13,5,7,71.4,0,0,0.0,3,4,75.0,3,4,7,2,0,0,0,2,10,2017-01-21 00:00:00,LAC,HOME
10,"JAN 19, 2017 - DEN @ SAS",L,25,5,2,7,28.6,0,0,0.0,1,2,50.0,3,6,9,1,0,0,2,1,-18,2017-01-19 00:00:00,SAS,AWAY
11,"JAN 17, 2017 - DEN @ LAL",W,30,20,9,10,90.0,0,0,0.0,2,4,50.0,1,6,7,2,1,0,1,1,11,2017-01-17 00:00:00,LAL,AWAY
12,"JAN 16, 2017 - DEN vs. ORL",W,33,20,10,12,83.3,0,1,0.0,0,0,0.0,1,4,5,2,1,1,0,2,22,2017-01-16 00:00:00,ORL,HOME
13,"JAN 12, 2017 - DEN vs. IND",W,16,15,6,8,75.0,0,0,0.0,3,3,100.0,4,5,9,0,1,1,2,2,0,2017-01-12 00:00:00,IND,HOME
14,"JAN 07, 2017 - DEN @ OKC",L,19,4,2,5,40.0,0,0,0.0,0,0,0.0,4,6,10,1,0,0,1,3,-3,2017-01-07 00:00:00,OKC,AWAY
15,"DEC 30, 2016 - DEN vs. PHI",L,12,6,1,3,33.3,0,0,0.0,4,4,100.0,2,4,6,0,1,0,0,2,-6,2016-12-30 00:00:00,PHI,HOME
16,"DEC 28, 2016 - DEN vs. MIN",W,16,6,3,4,75.0,0,0,0.0,0,2,0.0,2,3,5,2,0,0,0,1,1,2016-12-28 00:00:00,MIN,HOME
17,"DEC 26, 2016 - DEN @ LAC",W,19,8,3,7,42.9,0,0,0.0,2,2,100.0,5,5,10,1,1,1,0,2,-17,2016-12-26 00:00:00,LAC,AWAY
18,"DEC 23, 2016 - DEN vs. ATL",L,21,4,2,5,40.0,0,0,0.0,0,0,0.0,0,4,4,1,0,1,1,2,-3,2016-12-23 00:00:00,ATL,HOME
19,"DEC 20, 2016 - DEN @ LAC",L,27,15,5,9,55.6,0,1,0.0,5,6,83.3,4,7,11,1,1,0,0,1,4,2016-12-20 00:00:00,LAC,AWAY
20,"DEC 19, 2016 - DEN vs. DAL",W,10,0,0,1,0.0,0,0,0.0,0,2,0.0,0,3,3,0,0,0,2,4,-10,2016-12-19 00:00:00,DAL,HOME
21,"DEC 17, 2016 - DEN vs. NYK",W,29,25,10,11,90.9,0,0,0.0,5,10,50.0,5,2,7,2,0,3,2,4,16,2016-12-17 00:00:00,NYK,HOME
22,"DEC 15, 2016 - DEN vs. POR",W,26,11,3,5,60.0,0,0,0.0,5,6,83.3,2,7,9,0,1,2,2,4,-1,2016-12-15 00:00:00,POR,HOME
23,"DEC 12, 2016 - DEN @ DAL",L,8,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-2,2016-12-12 00:00:00,DAL,AWAY
24,"DEC 10, 2016 - DEN @ ORL",W,24,19,9,10,90.0,0,0,0.0,1,3,33.3,3,7,10,1,0,0,2,2,2,2016-12-10 00:00:00,ORL,AWAY
25,"DEC 07, 2016 - DEN @ BKN",L,12,4,1,2,50.0,0,0,0.0,2,2,100.0,3,2,5,0,0,0,0,2,-5,2016-12-07 00:00:00,BKN,AWAY
26,"DEC 05, 2016 - DEN @ PHI",W,13,2,0,1,0.0,0,0,0.0,2,2,100.0,0,2,2,0,0,1,1,3,-7,2016-12-05 00:00:00,PHI,AWAY
27,"DEC 03, 2016 - DEN @ UTA",L,29,10,4,8,50.0,0,0,0.0,2,3,66.7,2,4,6,0,0,1,1,1,6,2016-12-03 00:00:00,UTA,AWAY
28,"DEC 02, 2016 - DEN vs. HOU",L,23,14,6,15,40.0,0,0,0.0,2,2,100.0,9,2,11,1,0,0,1,2,-13,2016-12-02 00:00:00,HOU,HOME
29,"NOV 30, 2016 - DEN vs. MIA",L,27,10,4,8,50.0,0,0,0.0,2,4,50.0,3,5,8,3,1,3,2,2,-15,2016-11-30 00:00:00,MIA,HOME
30,"NOV 27, 2016 - DEN @ PHX",W,28,14,4,8,50.0,0,0,0.0,6,7,85.7,2,7,9,1,1,0,1,3,11,2016-11-27 00:00:00,PHX,AWAY
31,"NOV 25, 2016 - DEN vs. OKC",L,24,12,6,8,75.0,0,0,0.0,0,0,0.0,3,5,8,1,1,2,2,2,-8,2016-11-25 00:00:00,OKC,HOME
32,"NOV 23, 2016 - DEN @ UTA",L,22,8,3,7,42.9,0,0,0.0,2,2,100.0,5,5,10,0,1,0,0,4,-21,2016-11-23 00:00:00,UTA,AWAY
33,"NOV 22, 2016 - DEN vs. CHI",W,15,5,2,4,50.0,0,0,0.0,1,2,50.0,1,3,4,1,2,0,0,3,-10,2016-11-22 00:00:00,CHI,HOME
34,"NOV 20, 2016 - DEN vs. UTA",W,25,5,2,6,33.3,0,0,0.0,1,3,33.3,2,4,6,0,1,0,0,0,7,2016-11-20 00:00:00,UTA,HOME
35,"NOV 18, 2016 - DEN vs. TOR",L,24,7,3,4,75.0,0,0,0.0,1,1,100.0,1,10,11,2,2,2,2,3,-3,2016-11-18 00:00:00,TOR,HOME
36,"NOV 16, 2016 - DEN vs. PHX",W,26,20,8,12,66.7,0,0,0.0,4,5,80.0,6,9,15,0,4,1,4,5,18,2016-11-16 00:00:00,PHX,HOME
37,"NOV 13, 2016 - DEN @ POR",L,28,18,5,10,50.0,0,0,0.0,8,9,88.9,8,6,14,1,1,3,1,2,-5,2016-11-13 00:00:00,POR,AWAY
38,"NOV 12, 2016 - DEN vs. DET",L,21,8,4,9,44.4,0,1,0.0,0,2,0.0,5,3,8,1,0,2,1,1,-14,2016-11-12 00:00:00,DET,HOME
39,"NOV 10, 2016 - DEN vs. GSW",L,30,8,4,9,44.4,0,0,0.0,0,0,0.0,6,5,11,1,2,0,1,1,-10,2016-11-10 00:00:00,GSW,HOME
40,"NOV 08, 2016 - DEN @ MEM",L,28,5,2,4,50.0,0,1,0.0,1,2,50.0,2,9,11,1,0,1,0,2,1,2016-11-08 00:00:00,MEM,AWAY
41,"NOV 06, 2016 - DEN @ BOS",W,24,12,2,4,50.0,0,0,0.0,8,12,66.7,5,6,11,1,1,1,2,3,7,2016-11-06 00:00:00,BOS,AWAY
42,"NOV 05, 2016 - DEN @ DET",L,16,4,1,8,12.5,0,0,0.0,2,2,100.0,5,1,6,1,0,0,0,2,-9,2016-11-05 00:00:00,DET,AWAY
43,"NOV 03, 2016 - DEN @ MIN",W,19,8,4,4,100.0,0,0,0.0,0,0,0.0,1,4,5,1,1,1,2,2,-9,2016-11-03 00:00:00,MIN,AWAY
44,"OCT 31, 2016 - DEN @ TOR",L,15,6,1,3,33.3,0,0,0.0,4,4,100.0,1,4,5,0,0,1,0,0,2,2016-10-31 00:00:00,TOR,AWAY
45,"OCT 29, 2016 - DEN vs. POR",L,30,7,2,4,50.0,0,0,0.0,3,4,75.0,3,6,9,2,2,2,2,3,-5,2016-10-29 00:00:00,POR,HOME
46,"OCT 26, 2016 - DEN @ NOP",W,28,9,3,9,33.3,0,1,0.0,3,6,50.0,6,8,14,1,2,2,3,1,2,2016-10-26 00:00:00,NOP,AWAY
