,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - SAC vs. ATL",W,18,2,1,4,25.0,0,0,0.0,0,0,0.0,1,3,4,1,2,0,2,2,-5,2017-02-10 00:00:00,ATL,HOME
1,"FEB 08, 2017 - SAC vs. BOS",W,27,6,3,8,37.5,0,0,0.0,0,0,0.0,3,8,11,3,1,0,1,2,-2,2017-02-08 00:00:00,BOS,HOME
2,"FEB 06, 2017 - SAC vs. CHI",L,21,10,5,5,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,3,1,4,-22,2017-02-06 00:00:00,CHI,HOME
3,"FEB 04, 2017 - SAC vs. GSW",W,13,2,1,1,100.0,0,0,0.0,0,0,0.0,0,5,5,1,0,0,0,1,-1,2017-02-04 00:00:00,GSW,HOME
4,"FEB 03, 2017 - SAC vs. PHX",L,16,9,4,6,66.7,0,0,0.0,1,1,100.0,1,4,5,0,0,0,0,1,2,2017-02-03 00:00:00,PHX,HOME
5,"JAN 31, 2017 - SAC @ HOU",L,17,12,6,7,85.7,0,0,0.0,0,1,0.0,2,2,4,0,1,1,0,4,-13,2017-01-31 00:00:00,HOU,AWAY
6,"JAN 30, 2017 - SAC @ PHI",L,17,6,3,4,75.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,8,2017-01-30 00:00:00,PHI,AWAY
7,"JAN 28, 2017 - SAC @ CHA",W,12,3,1,3,33.3,0,0,0.0,1,2,50.0,0,3,3,1,0,1,0,4,-5,2017-01-28 00:00:00,CHA,AWAY
8,"JAN 27, 2017 - SAC @ IND",L,28,9,4,6,66.7,0,0,0.0,1,4,25.0,2,10,12,0,0,0,1,3,12,2017-01-27 00:00:00,IND,AWAY
9,"JAN 25, 2017 - SAC @ CLE",W,18,4,1,2,50.0,0,0,0.0,2,2,100.0,2,4,6,1,0,0,0,2,-6,2017-01-25 00:00:00,CLE,AWAY
10,"JAN 23, 2017 - SAC @ DET",W,12,6,3,5,60.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,3,-4,2017-01-23 00:00:00,DET,AWAY
11,"JAN 21, 2017 - SAC @ CHI",L,25,7,3,4,75.0,0,0,0.0,1,1,100.0,1,5,6,1,1,1,0,3,3,2017-01-21 00:00:00,CHI,AWAY
12,"JAN 20, 2017 - SAC @ MEM",L,24,8,3,5,60.0,0,0,0.0,2,2,100.0,0,2,2,0,2,2,1,3,-14,2017-01-20 00:00:00,MEM,AWAY
13,"JAN 18, 2017 - SAC vs. IND",L,24,11,5,8,62.5,0,0,0.0,1,2,50.0,1,3,4,0,1,0,2,0,5,2017-01-18 00:00:00,IND,HOME
14,"JAN 15, 2017 - SAC vs. OKC",L,16,6,3,6,50.0,0,0,0.0,0,0,0.0,1,0,1,1,2,1,2,5,-9,2017-01-15 00:00:00,OKC,HOME
15,"JAN 13, 2017 - SAC vs. CLE",L,6,2,1,3,33.3,0,0,0.0,0,0,0.0,2,3,5,0,0,0,1,1,-7,2017-01-13 00:00:00,CLE,HOME
16,"JAN 10, 2017 - SAC vs. DET",W,22,12,5,7,71.4,0,0,0.0,2,2,100.0,1,7,8,0,0,1,1,0,5,2017-01-10 00:00:00,DET,HOME
17,"JAN 08, 2017 - SAC vs. GSW",L,16,2,1,3,33.3,0,0,0.0,0,0,0.0,1,6,7,2,1,0,2,2,5,2017-01-08 00:00:00,GSW,HOME
18,"JAN 06, 2017 - SAC vs. LAC",L,12,7,3,4,75.0,0,0,0.0,1,2,50.0,1,2,3,0,0,1,0,3,-13,2017-01-06 00:00:00,LAC,HOME
19,"JAN 04, 2017 - SAC vs. MIA",L,15,6,2,2,100.0,0,0,0.0,2,2,100.0,1,3,4,2,1,1,1,1,12,2017-01-04 00:00:00,MIA,HOME
20,"JAN 03, 2017 - SAC @ DEN",W,29,18,8,9,88.9,0,0,0.0,2,3,66.7,1,4,5,1,2,0,1,3,0,2017-01-03 00:00:00,DEN,AWAY
21,"DEC 31, 2016 - SAC vs. MEM",L,20,0,0,4,0.0,0,0,0.0,0,0,0.0,2,6,8,0,0,2,1,0,-13,2016-12-31 00:00:00,MEM,HOME
22,"DEC 28, 2016 - SAC @ POR",L,23,6,3,3,100.0,0,0,0.0,0,0,0.0,3,7,10,0,0,1,1,1,-13,2016-12-28 00:00:00,POR,AWAY
23,"DEC 26, 2016 - SAC vs. PHI",W,15,6,3,3,100.0,0,0,0.0,0,2,0.0,0,3,3,1,2,0,0,5,20,2016-12-26 00:00:00,PHI,HOME
24,"DEC 23, 2016 - SAC @ MIN",W,21,12,6,8,75.0,0,0,0.0,0,0,0.0,2,2,4,0,1,0,0,3,1,2016-12-23 00:00:00,MIN,AWAY
25,"DEC 21, 2016 - SAC @ UTA",W,12,2,1,1,100.0,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,2,-12,2016-12-21 00:00:00,UTA,AWAY
26,"DEC 20, 2016 - SAC vs. POR",W,14,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-2,2016-12-20 00:00:00,POR,HOME
27,"DEC 18, 2016 - SAC @ DAL",L,23,6,3,3,100.0,0,0,0.0,0,0,0.0,2,7,9,0,2,0,3,4,-8,2016-12-18 00:00:00,DAL,AWAY
28,"DEC 16, 2016 - SAC @ MEM",W,30,16,7,11,63.6,0,0,0.0,2,6,33.3,7,6,13,2,0,3,1,5,-1,2016-12-16 00:00:00,MEM,AWAY
29,"DEC 14, 2016 - SAC @ HOU",L,25,10,5,11,45.5,0,0,0.0,0,0,0.0,5,2,7,1,0,2,1,3,-25,2016-12-14 00:00:00,HOU,AWAY
30,"DEC 12, 2016 - SAC vs. LAL",W,32,10,5,7,71.4,0,0,0.0,0,0,0.0,4,3,7,0,3,1,0,1,18,2016-12-12 00:00:00,LAL,HOME
31,"DEC 10, 2016 - SAC @ UTA",L,13,4,2,4,50.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,1,-6,2016-12-10 00:00:00,UTA,AWAY
32,"DEC 09, 2016 - SAC vs. NYK",L,14,4,2,2,100.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,3,-3,2016-12-09 00:00:00,NYK,HOME
33,"DEC 07, 2016 - SAC @ DAL",W,17,8,4,4,100.0,0,0,0.0,0,0,0.0,1,3,4,0,1,0,0,2,31,2016-12-07 00:00:00,DAL,AWAY
34,"DEC 04, 2016 - SAC @ NYK",L,19,2,1,7,14.3,0,0,0.0,0,0,0.0,5,6,11,0,0,1,0,2,-9,2016-12-04 00:00:00,NYK,AWAY
35,"DEC 02, 2016 - SAC @ BOS",L,9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,0,-8,2016-12-02 00:00:00,BOS,AWAY
36,"NOV 28, 2016 - SAC @ WAS",L,25,4,1,3,33.3,0,0,0.0,2,2,100.0,4,3,7,0,1,0,1,1,-11,2016-11-28 00:00:00,WAS,AWAY
37,"NOV 27, 2016 - SAC @ BKN",W,26,6,3,5,60.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,2,3,19,2016-11-27 00:00:00,BKN,AWAY
38,"NOV 25, 2016 - SAC vs. HOU",L,18,10,5,5,100.0,0,0,0.0,0,0,0.0,2,3,5,0,0,1,1,3,2,2016-11-25 00:00:00,HOU,HOME
39,"NOV 23, 2016 - SAC vs. OKC",W,17,9,4,7,57.1,0,0,0.0,1,1,100.0,4,6,10,0,1,0,0,4,7,2016-11-23 00:00:00,OKC,HOME
40,"NOV 20, 2016 - SAC vs. TOR",W,26,8,3,6,50.0,0,0,0.0,2,5,40.0,0,6,6,0,1,3,1,1,18,2016-11-20 00:00:00,TOR,HOME
41,"NOV 18, 2016 - SAC vs. LAC",L,9,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-10,2016-11-18 00:00:00,LAC,HOME
42,"NOV 16, 2016 - SAC vs. SAS",L,15,1,0,4,0.0,0,0,0.0,1,2,50.0,1,4,5,1,0,0,0,1,-14,2016-11-16 00:00:00,SAS,HOME
43,"NOV 11, 2016 - SAC @ POR",L,19,10,4,7,57.1,0,0,0.0,2,4,50.0,3,3,6,0,0,0,1,3,-3,2016-11-11 00:00:00,POR,AWAY
44,"NOV 10, 2016 - SAC vs. LAL",L,19,4,2,2,100.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,1,2,4,2016-11-10 00:00:00,LAL,HOME
45,"NOV 08, 2016 - SAC vs. NOP",W,23,6,3,7,42.9,0,0,0.0,0,0,0.0,2,5,7,0,0,0,1,3,1,2016-11-08 00:00:00,NOP,HOME
46,"NOV 06, 2016 - SAC @ TOR",W,25,13,6,8,75.0,0,0,0.0,1,2,50.0,2,4,6,0,0,1,0,2,-3,2016-11-06 00:00:00,TOR,AWAY
