BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,46,33.0,18.6,6.8,15.1,45.0,1.9,5.0,38.0,3.1,3.9,77.9,1.7,5.4,7.2,1.3,1.8,0.7,1.9,3.9,9,0,-1.3
Home,23,33.1,18.3,6.8,14.7,46.4,2.0,5.1,38.5,2.7,3.4,77.2,1.7,5.4,7.1,1.3,2.0,0.7,2.1,3.5,4,0,1.0
Road,23,32.9,18.9,6.8,15.5,43.7,1.8,4.9,37.5,3.5,4.4,78.4,1.8,5.4,7.3,1.3,1.5,0.8,1.8,4.3,5,0,-3.7
Wins,20,33.7,20.4,7.5,15.5,48.4,2.3,5.6,41.4,3.1,4.2,74.7,1.9,6.4,8.3,1.4,1.8,0.4,2.1,3.9,7,0,6.7
Losses,26,32.4,17.2,6.3,14.8,42.3,1.6,4.5,34.7,3.0,3.8,80.6,1.7,4.7,6.3,1.3,1.8,1.0,1.8,3.9,2,0,-7.5
October,2,34.6,18.5,6.0,12.0,50.0,2.0,4.5,44.4,4.5,7.0,64.3,2.0,4.0,6.0,1.0,1.0,0.5,1.5,5.0,0,0,-3.5
November,16,33.8,21.8,8.1,16.6,49.1,2.4,5.9,40.0,3.1,3.8,82.0,1.8,5.5,7.3,1.4,1.4,0.8,1.5,3.6,2,0,-1.3
December,14,35.9,18.5,6.6,16.4,40.2,1.9,4.6,40.0,3.5,4.4,79.0,1.9,6.9,8.8,1.4,2.2,0.9,2.5,3.6,6,0,0.9
January,10,29.0,13.9,5.4,11.9,45.4,1.2,4.1,29.3,1.9,2.1,90.5,1.1,3.2,4.3,1.2,2.0,0.5,2.0,4.5,0,0,-5.6
February,4,28.8,17.8,6.3,14.5,43.1,1.8,4.8,36.8,3.5,5.8,60.9,2.5,6.3,8.8,1.3,1.8,0.8,1.8,4.3,1,0,2.3
Pre All-Star,46,33.0,18.6,6.8,15.1,45.0,1.9,5.0,38.0,3.1,3.9,77.9,1.7,5.4,7.2,1.3,1.8,0.7,1.9,3.9,9,0,-1.3
Starters,45,33.1,18.6,6.8,15.2,44.9,1.9,5.0,38.5,3.1,4.0,77.5,1.7,5.5,7.2,1.3,1.8,0.7,2.0,3.9,9,0,-1.4
Bench,1,29.0,15.0,6.0,11.0,54.5,0.0,3.0,0.0,3.0,3.0,100,3.0,2.0,5.0,2.0,1.0,1.0,0.0,3.0,0,0,-1.0
0 Days Rest,6,32.7,15.5,5.5,13.0,42.3,2.0,4.8,41.4,2.5,3.0,83.3,1.2,4.2,5.3,1.2,1.8,1.0,1.7,4.3,0,0,-9.8
1 Days Rest,27,33.4,19.1,7.1,16.0,44.5,1.7,4.8,34.6,3.2,3.9,83.7,1.9,5.3,7.2,1.4,1.7,0.7,1.9,3.8,6,0,-0.2
2 Days Rest,9,32.5,18.8,6.8,15.2,44.5,2.6,6.0,42.6,2.7,4.2,63.2,1.7,7.3,9.0,1.1,2.4,0.8,2.3,3.6,3,0,1.7
3 Days Rest,1,36.4,21.0,7.0,11.0,63.6,1.0,4.0,25.0,6.0,8.0,75.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,5.0,0,0,14.0
4 Days Rest,1,32.8,16.0,5.0,13.0,38.5,3.0,5.0,60.0,3.0,6.0,50.0,4.0,3.0,7.0,0.0,2.0,1.0,2.0,5.0,0,0,-21.0
6+ Days Rest,2,29.4,19.5,7.5,12.5,60.0,1.5,3.5,42.9,3.0,3.5,85.7,1.5,4.0,5.5,1.0,1.0,0.5,1.5,4.5,0,0,-3.0
