,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - SAS @ DET",W,1,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1,2017-02-10 00:00:00,DET,AWAY
1,"FEB 08, 2017 - SAS @ PHI",W,6,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,2,-4,2017-02-08 00:00:00,PHI,AWAY
2,"FEB 06, 2017 - SAS @ MEM",L,22,9,4,8,50.0,0,0,0.0,1,4,25.0,2,3,5,0,1,0,1,0,-4,2017-02-06 00:00:00,MEM,AWAY
3,"FEB 04, 2017 - SAS vs. DEN",W,12,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,5,1,1,0,0,6,2017-02-04 00:00:00,DEN,HOME
4,"FEB 02, 2017 - SAS vs. PHI",W,24,4,1,3,33.3,0,0,0.0,2,2,100.0,0,5,5,3,3,1,3,1,15,2017-02-02 00:00:00,PHI,HOME
5,"JAN 31, 2017 - SAS vs. OKC",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,-4,2017-01-31 00:00:00,OKC,HOME
6,"JAN 29, 2017 - SAS vs. DAL",L,14,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,2,4,2017-01-29 00:00:00,DAL,HOME
7,"JAN 27, 2017 - SAS @ NOP",L,18,4,0,2,0.0,0,1,0.0,4,4,100.0,0,2,2,1,1,1,2,0,-18,2017-01-27 00:00:00,NOP,AWAY
8,"JAN 24, 2017 - SAS @ TOR",W,32,8,2,6,33.3,0,0,0.0,4,4,100.0,2,5,7,4,0,1,1,1,-2,2017-01-24 00:00:00,TOR,AWAY
9,"JAN 23, 2017 - SAS @ BKN",W,35,14,6,10,60.0,1,1,100.0,1,2,50.0,0,3,3,3,1,2,0,0,16,2017-01-23 00:00:00,BKN,AWAY
10,"JAN 21, 2017 - SAS @ CLE",W,18,2,1,3,33.3,0,2,0.0,0,0,0.0,0,4,4,2,4,2,0,2,19,2017-01-21 00:00:00,CLE,AWAY
11,"JAN 19, 2017 - SAS vs. DEN",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2017-01-19 00:00:00,DEN,HOME
12,"JAN 17, 2017 - SAS vs. MIN",W,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-4,2017-01-17 00:00:00,MIN,HOME
13,"JAN 14, 2017 - SAS @ PHX",L,9,3,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,1,0,0,0,10,2017-01-14 00:00:00,PHX,AWAY
14,"JAN 12, 2017 - SAS vs. LAL",W,16,7,2,3,66.7,1,1,100.0,2,2,100.0,0,2,2,0,0,0,1,1,14,2017-01-12 00:00:00,LAL,HOME
