,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - CLE vs. DEN",W,27,14,6,9,66.7,2,3,66.7,0,0,0.0,0,5,5,1,1,0,1,3,2,2017-02-11 00:00:00,DEN,HOME
1,"FEB 09, 2017 - CLE @ OKC",L,26,8,3,3,100.0,2,2,100.0,0,0,0.0,0,1,1,0,1,1,2,2,-7,2017-02-09 00:00:00,OKC,AWAY
2,"FEB 08, 2017 - CLE @ IND",W,26,29,10,12,83.3,8,9,88.9,1,1,100.0,0,5,5,0,0,0,1,2,14,2017-02-08 00:00:00,IND,AWAY
3,"FEB 06, 2017 - CLE @ WAS",W,30,13,4,9,44.4,4,8,50.0,1,1,100.0,1,2,3,2,0,0,4,4,-3,2017-02-06 00:00:00,WAS,AWAY
4,"FEB 04, 2017 - CLE @ NYK",W,31,11,3,9,33.3,2,5,40.0,3,3,100.0,0,4,4,1,0,0,0,1,2,2017-02-04 00:00:00,NYK,AWAY
5,"FEB 01, 2017 - CLE vs. MIN",W,24,20,8,11,72.7,4,7,57.1,0,0,0.0,0,1,1,2,0,1,0,2,14,2017-02-01 00:00:00,MIN,HOME
6,"JAN 30, 2017 - CLE @ DAL",L,26,4,1,2,50.0,1,2,50.0,1,2,50.0,1,2,3,1,0,0,2,3,-2,2017-01-30 00:00:00,DAL,AWAY
7,"JAN 29, 2017 - CLE vs. OKC",W,16,3,1,7,14.3,1,6,16.7,0,0,0.0,0,1,1,0,0,0,0,0,-2,2017-01-29 00:00:00,OKC,HOME
8,"JAN 27, 2017 - CLE vs. BKN",W,22,14,5,11,45.5,3,6,50.0,1,1,100.0,1,1,2,0,0,0,1,0,-1,2017-01-27 00:00:00,BKN,HOME
9,"JAN 25, 2017 - CLE vs. SAC",L,34,12,4,9,44.4,4,7,57.1,0,0,0.0,1,0,1,3,0,1,1,2,-17,2017-01-25 00:00:00,SAC,HOME
10,"JAN 23, 2017 - CLE @ NOP",L,26,5,2,4,50.0,1,2,50.0,0,0,0.0,0,4,4,0,0,0,0,0,8,2017-01-23 00:00:00,NOP,AWAY
11,"JAN 21, 2017 - CLE vs. SAS",L,22,6,2,3,66.7,2,3,66.7,0,0,0.0,1,1,2,0,0,0,0,0,-20,2017-01-21 00:00:00,SAS,HOME
12,"JAN 19, 2017 - CLE vs. PHX",W,25,9,3,10,30.0,3,9,33.3,0,0,0.0,0,5,5,0,2,0,2,1,17,2017-01-19 00:00:00,PHX,HOME
13,"JAN 16, 2017 - CLE @ GSW",L,27,11,4,10,40.0,3,8,37.5,0,0,0.0,0,2,2,0,0,0,0,2,-12,2017-01-16 00:00:00,GSW,AWAY
14,"JAN 13, 2017 - CLE @ SAC",W,25,18,7,10,70.0,4,6,66.7,0,0,0.0,1,4,5,2,2,0,0,2,-1,2017-01-13 00:00:00,SAC,AWAY
15,"JAN 11, 2017 - CLE @ POR",L,25,2,1,5,20.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,1,3,-13,2017-01-11 00:00:00,POR,AWAY
16,"JAN 10, 2017 - CLE @ UTA",L,18,2,1,5,20.0,0,2,0.0,0,0,0.0,0,3,3,0,0,0,1,1,-11,2017-01-10 00:00:00,UTA,AWAY
17,"JAN 04, 2017 - ATL @ ORL",W,17,2,1,5,20.0,0,2,0.0,0,0,0.0,0,3,3,7,1,1,0,0,-5,2017-01-04 00:00:00,ORL,AWAY
18,"JAN 01, 2017 - ATL vs. SAS",W,39,14,5,12,41.7,4,9,44.4,0,0,0.0,0,8,8,4,1,1,0,0,13,2017-01-01 00:00:00,SAS,HOME
19,"DEC 30, 2016 - ATL vs. DET",W,29,22,7,13,53.8,3,8,37.5,5,6,83.3,0,3,3,2,0,0,1,0,4,2016-12-30 00:00:00,DET,HOME
20,"DEC 28, 2016 - ATL vs. NYK",W,25,13,4,10,40.0,3,5,60.0,2,2,100.0,0,5,5,1,0,0,1,0,0,2016-12-28 00:00:00,NYK,HOME
21,"DEC 26, 2016 - ATL @ MIN",L,23,6,2,7,28.6,2,6,33.3,0,0,0.0,0,3,3,1,0,0,0,1,-24,2016-12-26 00:00:00,MIN,AWAY
22,"DEC 21, 2016 - ATL vs. MIN",L,33,10,4,10,40.0,2,6,33.3,0,0,0.0,0,5,5,3,0,4,4,1,-13,2016-12-21 00:00:00,MIN,HOME
23,"DEC 19, 2016 - ATL @ OKC",W,35,8,3,6,50.0,2,4,50.0,0,0,0.0,0,2,2,6,0,0,0,4,5,2016-12-19 00:00:00,OKC,AWAY
24,"DEC 17, 2016 - ATL vs. CHA",L,20,7,3,8,37.5,1,5,20.0,0,0,0.0,0,4,4,2,0,0,0,0,-14,2016-12-17 00:00:00,CHA,HOME
25,"DEC 16, 2016 - ATL @ TOR",W,23,19,6,10,60.0,6,10,60.0,1,1,100.0,0,3,3,1,0,0,1,2,4,2016-12-16 00:00:00,TOR,AWAY
26,"DEC 13, 2016 - ATL vs. ORL",L,27,12,4,6,66.7,4,5,80.0,0,0,0.0,0,1,1,0,0,0,0,1,-23,2016-12-13 00:00:00,ORL,HOME
27,"DEC 09, 2016 - ATL @ MIL",W,33,7,2,6,33.3,1,5,20.0,2,2,100.0,0,3,3,5,1,0,0,3,0,2016-12-09 00:00:00,MIL,AWAY
28,"DEC 07, 2016 - ATL vs. MIA",W,34,9,3,9,33.3,2,6,33.3,1,1,100.0,0,3,3,5,0,0,1,3,8,2016-12-07 00:00:00,MIA,HOME
