BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,52,15.1,6.3,2.8,5.3,52.7,0.0,0.2,12.5,0.7,1.0,74.0,2.1,3.5,5.6,1.2,0.9,0.4,1.2,2.1,6,0,-1.4
Home,27,15.9,7.4,3.2,5.8,54.8,0.0,0.1,33.3,1.0,1.1,87.1,2.1,3.6,5.7,1.1,0.9,0.3,1.4,2.0,3,0,-2.4
Road,25,14.2,5.2,2.4,4.8,50.0,0.0,0.2,0.0,0.4,0.8,52.6,2.0,3.4,5.4,1.3,0.9,0.5,1.0,2.3,3,0,-0.4
Wins,21,16.5,7.2,3.1,5.6,56.4,0.0,0.1,50.0,0.9,1.2,69.2,2.5,4.0,6.5,1.6,0.8,0.5,1.6,2.2,3,0,0.7
Losses,31,14.2,5.8,2.6,5.2,50.0,0.0,0.2,0.0,0.6,0.8,79.2,1.7,3.2,4.9,1.0,1.0,0.4,1.0,2.1,3,0,-2.9
October,2,17.1,6.5,2.0,4.0,50.0,0.0,1.0,0.0,2.5,3.5,71.4,1.5,4.0,5.5,1.5,1.0,0.0,1.0,3.5,0,0,-5.5
November,16,12.3,4.2,1.9,3.6,51.7,0.0,0.1,0.0,0.4,0.6,70.0,1.4,2.3,3.6,0.9,0.8,0.3,1.1,1.7,0,0,-2.7
December,13,18.0,8.8,4.1,6.8,59.6,0.0,0.2,0.0,0.7,1.1,64.3,2.9,4.8,7.8,1.2,1.3,0.5,1.4,2.7,3,0,1.9
January,17,15.2,5.9,2.7,5.6,47.9,0.1,0.1,50.0,0.4,0.5,77.8,2.2,4.0,6.2,1.4,0.8,0.5,1.4,2.1,3,0,-0.5
February,4,15.0,8.8,3.3,6.5,50.0,0.0,0.0,0.0,2.3,2.5,90.0,1.8,1.8,3.5,1.5,0.5,0.8,0.8,1.5,0,0,-9.5
Pre All-Star,52,15.1,6.3,2.8,5.3,52.7,0.0,0.2,12.5,0.7,1.0,74.0,2.1,3.5,5.6,1.2,0.9,0.4,1.2,2.1,6,0,-1.4
Starters,8,20.3,9.8,4.3,6.9,61.8,0.0,0.0,0.0,1.3,1.4,90.9,2.8,3.8,6.5,1.5,1.1,0.6,1.0,2.6,1,0,-1.6
Bench,44,14.1,5.7,2.5,5.0,50.5,0.0,0.2,12.5,0.6,0.9,69.2,1.9,3.5,5.4,1.2,0.9,0.4,1.3,2.0,5,0,-1.4
0 Days Rest,10,13.4,6.5,3.1,5.0,62.0,0.0,0.0,0.0,0.3,0.3,100,1.6,3.1,4.7,1.7,1.1,0.2,1.3,1.2,1,0,0.5
1 Days Rest,29,15.7,6.3,2.7,5.4,50.0,0.0,0.2,20.0,0.8,1.0,76.7,2.4,3.5,5.9,1.1,0.8,0.6,1.3,2.2,4,0,-1.6
2 Days Rest,10,13.4,4.8,2.3,4.5,51.1,0.0,0.0,0.0,0.2,0.4,50.0,1.4,3.3,4.7,0.8,1.1,0.3,1.1,2.4,0,0,-2.5
3 Days Rest,2,23.3,16.5,6.0,10.5,57.1,0.0,0.5,0.0,4.5,6.5,69.2,3.5,6.5,10.0,2.0,1.0,0.5,0.0,4.5,1,0,0.5
4 Days Rest,1,15.4,2.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,2.0,3.0,0,0,-10.0
