,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - SAS @ DET",W,32,19,8,18,44.4,0,0,0.0,3,4,75.0,3,8,11,0,1,2,5,4,3,2017-02-10 00:00:00,DET,AWAY
1,"FEB 08, 2017 - SAS @ PHI",W,36,15,5,10,50.0,0,1,0.0,5,6,83.3,2,8,10,0,0,2,2,2,10,2017-02-08 00:00:00,PHI,AWAY
2,"FEB 06, 2017 - SAS @ MEM",L,34,13,4,19,21.1,0,1,0.0,5,7,71.4,5,5,10,1,0,2,3,5,-24,2017-02-06 00:00:00,MEM,AWAY
3,"FEB 04, 2017 - SAS vs. DEN",W,28,12,4,10,40.0,0,0,0.0,4,4,100.0,0,5,5,2,1,3,1,2,17,2017-02-04 00:00:00,DEN,HOME
4,"JAN 31, 2017 - SAS vs. OKC",W,28,25,8,15,53.3,1,2,50.0,8,9,88.9,1,5,6,0,0,3,3,4,4,2017-01-31 00:00:00,OKC,HOME
5,"JAN 29, 2017 - SAS vs. DAL",L,34,16,5,14,35.7,0,0,0.0,6,9,66.7,1,5,6,4,0,0,2,1,-13,2017-01-29 00:00:00,DAL,HOME
6,"JAN 27, 2017 - SAS @ NOP",L,32,14,6,20,30.0,0,2,0.0,2,4,50.0,4,10,14,0,0,0,0,1,-6,2017-01-27 00:00:00,NOP,AWAY
7,"JAN 24, 2017 - SAS @ TOR",W,32,21,6,14,42.9,0,0,0.0,9,11,81.8,0,7,7,2,1,0,1,4,0,2017-01-24 00:00:00,TOR,AWAY
8,"JAN 23, 2017 - SAS @ BKN",W,27,16,8,19,42.1,0,1,0.0,0,0,0.0,4,5,9,5,2,2,1,2,2,2017-01-23 00:00:00,BKN,AWAY
9,"JAN 21, 2017 - SAS @ CLE",W,42,16,7,14,50.0,0,0,0.0,2,4,50.0,4,8,12,6,0,2,1,2,-2,2017-01-21 00:00:00,CLE,AWAY
10,"JAN 19, 2017 - SAS vs. DEN",W,29,10,4,9,44.4,0,0,0.0,2,2,100.0,1,2,3,6,0,1,1,5,8,2017-01-19 00:00:00,DEN,HOME
11,"JAN 17, 2017 - SAS vs. MIN",W,36,29,12,20,60.0,0,1,0.0,5,6,83.3,1,3,4,3,0,2,1,3,-4,2017-01-17 00:00:00,MIN,HOME
12,"JAN 14, 2017 - SAS @ PHX",L,34,13,6,14,42.9,1,1,100.0,0,0,0.0,2,2,4,2,0,0,0,1,-6,2017-01-14 00:00:00,PHX,AWAY
13,"JAN 12, 2017 - SAS vs. LAL",W,24,13,5,11,45.5,1,1,100.0,2,2,100.0,2,2,4,0,0,1,0,0,21,2017-01-12 00:00:00,LAL,HOME
14,"JAN 07, 2017 - SAS vs. CHA",W,34,15,5,9,55.6,0,1,0.0,5,6,83.3,5,6,11,3,0,1,0,2,3,2017-01-07 00:00:00,CHA,HOME
15,"JAN 05, 2017 - SAS @ DEN",W,33,28,11,18,61.1,1,1,100.0,5,6,83.3,1,3,4,1,1,1,1,2,13,2017-01-05 00:00:00,DEN,AWAY
16,"JAN 03, 2017 - SAS vs. TOR",W,30,23,11,16,68.8,1,1,100.0,0,0,0.0,0,7,7,6,0,1,1,3,35,2017-01-03 00:00:00,TOR,HOME
17,"JAN 01, 2017 - SAS @ ATL",L,43,27,12,17,70.6,1,1,100.0,2,2,100.0,3,10,13,2,0,3,2,0,18,2017-01-01 00:00:00,ATL,AWAY
18,"DEC 30, 2016 - SAS vs. POR",W,29,8,2,3,66.7,0,0,0.0,4,4,100.0,1,5,6,1,0,1,3,3,9,2016-12-30 00:00:00,POR,HOME
19,"DEC 28, 2016 - SAS vs. PHX",W,33,27,10,12,83.3,0,0,0.0,7,9,77.8,3,5,8,2,1,1,0,2,14,2016-12-28 00:00:00,PHX,HOME
20,"DEC 25, 2016 - SAS vs. CHI",W,38,33,15,20,75.0,0,0,0.0,3,6,50.0,3,6,9,1,0,0,1,4,14,2016-12-25 00:00:00,CHI,HOME
21,"DEC 23, 2016 - SAS @ POR",W,37,18,7,18,38.9,0,0,0.0,4,4,100.0,6,8,14,6,3,0,0,0,22,2016-12-23 00:00:00,POR,AWAY
22,"DEC 22, 2016 - SAS @ LAC",L,23,10,5,13,38.5,0,1,0.0,0,0,0.0,2,2,4,1,0,1,1,4,-9,2016-12-22 00:00:00,LAC,AWAY
23,"DEC 20, 2016 - SAS @ HOU",W,36,17,6,15,40.0,0,0,0.0,5,6,83.3,5,5,10,5,0,1,0,2,-8,2016-12-20 00:00:00,HOU,AWAY
24,"DEC 18, 2016 - SAS vs. NOP",W,26,22,6,15,40.0,0,1,0.0,10,10,100.0,1,5,6,3,1,0,3,3,19,2016-12-18 00:00:00,NOP,HOME
25,"DEC 15, 2016 - SAS @ PHX",W,27,14,6,11,54.5,0,0,0.0,2,2,100.0,3,4,7,2,0,1,5,4,11,2016-12-15 00:00:00,PHX,AWAY
26,"DEC 10, 2016 - SAS vs. BKN",W,22,12,6,10,60.0,0,0,0.0,0,0,0.0,4,5,9,3,0,1,1,2,17,2016-12-10 00:00:00,BKN,HOME
27,"DEC 08, 2016 - SAS @ CHI",L,31,10,5,15,33.3,0,1,0.0,0,0,0.0,3,3,6,1,1,4,2,1,-19,2016-12-08 00:00:00,CHI,AWAY
28,"DEC 06, 2016 - SAS @ MIN",W,30,6,3,8,37.5,0,1,0.0,0,0,0.0,0,2,2,0,3,0,3,3,8,2016-12-06 00:00:00,MIN,AWAY
29,"DEC 05, 2016 - SAS @ MIL",W,36,18,7,14,50.0,1,1,100.0,3,4,75.0,3,6,9,5,1,1,0,3,13,2016-12-05 00:00:00,MIL,AWAY
30,"DEC 02, 2016 - SAS vs. WAS",W,37,19,8,14,57.1,0,0,0.0,3,6,50.0,2,3,5,1,0,1,2,4,-10,2016-12-02 00:00:00,WAS,HOME
31,"NOV 30, 2016 - SAS @ DAL",W,32,5,2,9,22.2,0,0,0.0,1,2,50.0,2,6,8,3,0,0,2,2,0,2016-11-30 00:00:00,DAL,AWAY
32,"NOV 29, 2016 - SAS vs. ORL",L,31,16,7,12,58.3,1,1,100.0,1,2,50.0,1,5,6,3,0,1,1,1,-16,2016-11-29 00:00:00,ORL,HOME
33,"NOV 26, 2016 - SAS @ WAS",W,34,24,9,17,52.9,1,3,33.3,5,6,83.3,2,5,7,0,1,0,1,2,6,2016-11-26 00:00:00,WAS,AWAY
34,"NOV 25, 2016 - SAS @ BOS",W,32,10,4,12,33.3,0,0,0.0,2,4,50.0,3,1,4,4,0,1,0,2,7,2016-11-25 00:00:00,BOS,AWAY
35,"NOV 23, 2016 - SAS @ CHA",W,37,23,8,17,47.1,0,2,0.0,7,8,87.5,3,4,7,2,1,2,1,1,9,2016-11-23 00:00:00,CHA,AWAY
