BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,30,17.6,4.8,1.8,4.7,37.9,0.7,1.6,42.9,0.6,0.7,85.0,0.5,1.4,1.9,0.5,0.5,0.5,0.1,1.7,0,0,-4.2
Home,13,17.1,5.5,2.1,5.1,40.9,0.8,1.6,47.6,0.6,0.8,72.7,0.7,1.3,2.0,0.6,0.5,0.5,0.0,2.2,0,0,-5.2
Road,17,17.9,4.2,1.5,4.4,35.1,0.6,1.6,39.3,0.5,0.5,100,0.4,1.4,1.8,0.5,0.5,0.5,0.2,1.4,0,0,-3.5
Wins,10,15.9,5.7,2.3,4.7,48.9,0.8,1.6,50.0,0.3,0.4,75.0,0.5,1.2,1.7,0.3,0.8,0.5,0.0,1.6,0,0,-2.2
Losses,20,18.4,4.4,1.5,4.7,32.3,0.7,1.7,39.4,0.7,0.8,87.5,0.5,1.5,2.0,0.7,0.4,0.5,0.2,1.8,0,0,-5.3
October,2,17.6,4.0,2.0,4.5,44.4,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.5,2.0,0.5,0.5,1.0,0.0,1.5,0,0,-10.0
November,6,17.4,3.8,1.7,4.7,35.7,0.5,1.2,42.9,0.0,0.0,0.0,0.3,2.2,2.5,0.3,0.7,0.5,0.2,1.5,0,0,-4.7
December,14,15.9,5.0,1.6,4.4,37.1,0.8,2.0,39.3,0.9,1.0,92.9,0.3,1.0,1.3,0.3,0.4,0.3,0.1,1.3,0,0,-4.3
January,8,20.5,5.4,2.0,5.1,39.0,0.9,1.6,53.8,0.5,0.8,66.7,1.0,1.4,2.4,1.1,0.6,0.6,0.0,2.6,0,0,-2.4
Pre All-Star,30,17.6,4.8,1.8,4.7,37.9,0.7,1.6,42.9,0.6,0.7,85.0,0.5,1.4,1.9,0.5,0.5,0.5,0.1,1.7,0,0,-4.2
Starters,6,24.1,6.2,2.3,7.3,31.8,0.7,2.2,30.8,0.8,1.0,83.3,0.8,0.8,1.7,1.0,0.7,0.7,0.2,2.5,0,0,-5.5
Bench,24,15.9,4.5,1.6,4.0,40.6,0.7,1.5,47.2,0.5,0.6,85.7,0.4,1.5,1.9,0.4,0.5,0.4,0.1,1.5,0,0,-3.9
0 Days Rest,6,18.3,4.3,1.5,5.2,29.0,0.7,2.0,33.3,0.7,0.7,100,0.7,0.8,1.5,0.8,0.7,0.0,0.0,1.8,0,0,-7.2
1 Days Rest,14,20.3,6.4,2.2,5.4,40.8,1.1,2.1,50.0,0.9,1.1,80.0,0.6,1.7,2.3,0.5,0.6,0.7,0.2,1.8,0,0,-2.8
2 Days Rest,5,11.3,2.0,1.0,2.8,35.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,0.4,0.2,0.0,1.2,0,0,-3.8
3 Days Rest,2,23.9,5.5,2.5,5.0,50.0,0.5,1.0,50.0,0.0,0.0,0.0,0.5,2.0,2.5,0.5,0.0,0.5,0.0,2.5,0,0,-9.0
4 Days Rest,2,12.8,2.5,1.0,3.5,28.6,0.0,0.5,0.0,0.5,0.5,100,1.0,0.5,1.5,1.0,0.5,1.0,0.0,2.0,0,0,-3.5
6+ Days Rest,1,3.1,3.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,-1.0
