BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,35,12.7,5.3,2.0,4.3,47.7,0.5,1.4,35.4,0.7,1.1,67.6,1.4,2.4,3.9,0.9,1.0,0.4,0.1,1.7,1,0,-2.0
Home,16,11.6,3.5,1.4,3.5,39.3,0.1,1.0,12.5,0.6,0.9,66.7,1.5,2.4,3.9,0.9,0.9,0.6,0.1,1.6,0,0,-2.1
Road,19,13.7,6.7,2.6,4.9,52.7,0.8,1.7,46.9,0.8,1.2,68.2,1.4,2.5,3.8,1.0,1.0,0.2,0.1,1.8,1,0,-2.0
Wins,7,12.1,6.1,2.7,4.7,57.6,0.4,1.1,37.5,0.3,0.7,40.0,1.4,2.6,4.0,1.0,0.7,0.3,0.3,1.7,0,0,1.1
Losses,28,12.9,5.0,1.9,4.1,44.8,0.5,1.4,35.0,0.8,1.1,71.9,1.4,2.4,3.8,0.9,1.0,0.4,0.1,1.8,1,0,-2.8
October,4,17.6,7.5,3.0,6.0,50.0,0.8,2.5,30.0,0.8,1.0,75.0,2.8,2.8,5.5,2.3,1.3,0.8,0.0,2.8,0,0,-1.8
November,12,12.9,4.1,1.6,3.6,44.2,0.2,1.1,15.4,0.8,1.4,52.9,0.9,2.7,3.6,0.7,1.3,0.5,0.1,1.7,0,0,-6.0
December,10,10.9,6.2,2.5,4.8,52.1,0.6,0.9,66.7,0.6,0.7,85.7,1.8,1.9,3.7,0.7,0.6,0.0,0.3,1.3,1,0,-0.8
January,8,12.5,5.3,1.9,3.9,48.4,0.8,1.9,40.0,0.8,0.9,85.7,1.1,2.5,3.6,1.1,0.9,0.5,0.0,1.6,0,0,1.0
February,1,11.5,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,4.0,0,0,8.0
Pre All-Star,35,12.7,5.3,2.0,4.3,47.7,0.5,1.4,35.4,0.7,1.1,67.6,1.4,2.4,3.9,0.9,1.0,0.4,0.1,1.7,1,0,-2.0
Starters,1,18.0,9.0,4.0,10.0,40.0,1.0,3.0,33.3,0.0,0.0,0.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0,0,-7.0
Bench,34,12.6,5.1,2.0,4.1,48.2,0.5,1.3,35.6,0.7,1.1,67.6,1.4,2.5,3.8,1.0,1.0,0.4,0.1,1.7,1,0,-1.9
0 Days Rest,5,12.8,6.4,2.4,4.2,57.1,0.6,1.0,60.0,1.0,1.8,55.6,2.0,3.0,5.0,1.2,0.8,0.4,0.0,1.8,0,0,-0.8
1 Days Rest,17,11.2,4.1,1.7,3.7,46.0,0.3,1.0,29.4,0.4,0.5,66.7,1.2,2.0,3.2,0.7,0.8,0.4,0.2,1.5,0,0,-4.0
2 Days Rest,4,9.6,2.5,1.0,2.3,44.4,0.5,1.0,50.0,0.0,0.0,0.0,0.5,2.5,3.0,0.3,1.5,0.3,0.3,0.3,0,0,1.0
3 Days Rest,2,21.2,8.5,3.0,5.5,54.5,1.0,3.0,33.3,1.5,2.0,75.0,2.5,4.0,6.5,3.0,2.0,1.0,0.0,3.5,0,0,6.0
4 Days Rest,3,12.5,8.3,3.0,6.0,50.0,0.7,2.0,33.3,1.7,2.0,83.3,2.3,1.7,4.0,0.7,0.3,0.3,0.0,1.7,0,0,-6.3
5 Days Rest,2,16.5,4.5,1.5,5.5,27.3,0.5,3.0,16.7,1.0,2.0,50.0,0.5,2.0,2.5,1.5,1.5,0.5,0.0,3.5,0,0,-5.5
6+ Days Rest,2,20.3,11.0,4.0,8.0,50.0,1.0,2.0,50.0,2.0,2.5,80.0,2.5,4.5,7.0,1.5,1.5,0.0,0.0,3.0,1,0,7.5
