,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 03, 2017 - BKN vs. IND",L,11,1,0,3,0.0,0,1,0.0,1,2,50.0,1,3,4,0,1,0,1,4,8,2017-02-03 00:00:00,IND,HOME
1,"JAN 28, 2017 - BKN @ MIN",L,5,1,0,0,0.0,0,0,0.0,1,2,50.0,0,2,2,1,0,0,0,1,-3,2017-01-28 00:00:00,MIN,AWAY
2,"JAN 27, 2017 - BKN @ CLE",L,25,8,2,5,40.0,2,5,40.0,2,2,100.0,2,5,7,4,2,0,3,4,14,2017-01-27 00:00:00,CLE,AWAY
3,"JAN 23, 2017 - BKN vs. SAS",L,8,0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,-5,2017-01-23 00:00:00,SAS,HOME
4,"JAN 20, 2017 - BKN @ NOP",W,8,14,6,8,75.0,1,2,50.0,1,1,100.0,2,1,3,0,0,0,0,2,-2,2017-01-20 00:00:00,NOP,AWAY
5,"JAN 15, 2017 - BKN vs. HOU",L,8,7,2,3,66.7,1,2,50.0,2,2,100.0,0,4,4,0,1,0,1,2,6,2017-01-15 00:00:00,HOU,HOME
6,"JAN 13, 2017 - BKN @ TOR",L,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,0,1,2017-01-13 00:00:00,TOR,AWAY
7,"JAN 10, 2017 - BKN vs. ATL",L,16,5,2,6,33.3,1,2,50.0,0,0,0.0,4,3,7,1,1,0,0,1,-9,2017-01-10 00:00:00,ATL,HOME
8,"JAN 05, 2017 - BKN @ IND",L,25,7,3,7,42.9,1,3,33.3,0,0,0.0,1,2,3,2,0,0,1,3,6,2017-01-05 00:00:00,IND,AWAY
9,"DEC 23, 2016 - BKN @ CLE",L,15,8,3,5,60.0,1,1,100.0,1,1,100.0,2,3,5,1,0,0,0,1,-4,2016-12-23 00:00:00,CLE,AWAY
10,"DEC 22, 2016 - BKN vs. GSW",L,3,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,-2,2016-12-22 00:00:00,GSW,HOME
11,"DEC 20, 2016 - BKN @ TOR",L,18,9,4,10,40.0,1,3,33.3,0,0,0.0,4,1,5,0,0,0,1,2,-7,2016-12-20 00:00:00,TOR,AWAY
12,"DEC 18, 2016 - BKN @ PHI",L,12,4,2,4,50.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,2,-10,2016-12-18 00:00:00,PHI,AWAY
13,"DEC 16, 2016 - BKN @ ORL",L,12,11,4,7,57.1,3,3,100.0,0,0,0.0,0,0,0,2,0,0,2,3,4,2016-12-16 00:00:00,ORL,AWAY
14,"DEC 14, 2016 - BKN vs. LAL",W,12,2,1,4,25.0,0,0,0.0,0,0,0.0,3,2,5,3,0,1,0,0,6,2016-12-14 00:00:00,LAL,HOME
15,"DEC 12, 2016 - BKN @ HOU",L,5,2,1,3,33.3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-4,2016-12-12 00:00:00,HOU,AWAY
16,"DEC 10, 2016 - BKN @ SAS",L,16,15,5,9,55.6,1,1,100.0,4,5,80.0,4,7,11,1,0,0,2,3,9,2016-12-10 00:00:00,SAS,AWAY
17,"DEC 03, 2016 - BKN @ MIL",L,11,7,3,4,75.0,0,1,0.0,1,1,100.0,2,1,3,0,0,1,0,1,-2,2016-12-03 00:00:00,MIL,AWAY
18,"DEC 01, 2016 - BKN vs. MIL",L,7,2,1,1,100.0,0,0,0.0,0,0,0.0,3,1,4,0,0,1,0,1,2,2016-12-01 00:00:00,MIL,HOME
19,"NOV 29, 2016 - BKN vs. LAC",W,6,2,1,2,50.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,0,1,-5,2016-11-29 00:00:00,LAC,HOME
20,"NOV 27, 2016 - BKN vs. SAC",L,12,6,2,6,33.3,0,1,0.0,2,2,100.0,1,0,1,0,2,0,1,3,-14,2016-11-27 00:00:00,SAC,HOME
21,"NOV 25, 2016 - BKN @ IND",L,11,1,0,1,0.0,0,1,0.0,1,2,50.0,1,2,3,0,0,0,0,0,-4,2016-11-25 00:00:00,IND,AWAY
22,"NOV 23, 2016 - BKN vs. BOS",L,12,0,0,2,0.0,0,1,0.0,0,0,0.0,2,2,4,0,1,0,3,0,5,2016-11-23 00:00:00,BOS,HOME
23,"NOV 20, 2016 - BKN vs. POR",L,14,6,1,4,25.0,0,2,0.0,4,5,80.0,1,1,2,1,0,0,1,2,-8,2016-11-20 00:00:00,POR,HOME
