BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,51,27.1,8.0,3.1,7.8,39.0,1.0,3.1,31.8,0.9,1.2,72.1,1.2,4.3,5.5,1.4,0.8,0.9,0.4,1.1,5,0,-3.6
Home,23,28.4,7.6,3.0,7.7,38.6,1.0,2.9,32.8,0.7,1.2,63.0,1.4,4.3,5.7,1.5,0.7,0.7,0.2,1.3,2,0,0.0
Road,28,26.1,8.3,3.1,8.0,39.3,1.0,3.2,31.1,1.0,1.2,79.4,1.0,4.4,5.4,1.3,0.8,1.0,0.5,0.9,3,0,-6.7
Wins,17,25.4,7.6,2.7,7.6,35.4,0.8,2.9,28.0,1.4,2.0,67.6,1.4,4.8,6.1,1.5,0.9,0.8,0.4,0.9,3,0,5.6
Losses,34,27.9,8.1,3.2,7.9,40.7,1.1,3.1,33.6,0.6,0.8,77.8,1.1,4.1,5.2,1.4,0.7,0.9,0.4,1.2,2,0,-8.3
October,3,28.2,6.3,2.7,8.0,33.3,1.0,3.7,27.3,0.0,0.0,0.0,1.7,4.7,6.3,1.3,1.0,1.3,0.7,1.0,1,0,-2.7
November,17,23.1,6.6,2.4,7.1,33.1,0.7,2.3,30.8,1.2,1.7,72.4,1.1,4.1,5.2,1.4,0.8,0.6,0.1,1.1,1,0,-4.6
December,16,31.4,10.3,4.1,9.1,45.5,1.3,3.6,35.1,0.8,1.2,63.2,1.2,5.1,6.3,1.7,0.8,1.6,0.6,1.3,2,0,-5.2
January,11,27.8,7.3,3.0,7.5,39.8,0.9,3.0,30.3,0.4,0.5,66.7,1.3,3.7,5.0,1.3,0.8,0.5,0.5,0.9,1,0,1.6
February,4,24.3,7.5,2.3,6.8,33.3,1.3,4.3,29.4,1.8,1.8,100,1.0,3.5,4.5,0.5,0.5,0.3,0.5,1.0,0,0,-8.8
Pre All-Star,51,27.1,8.0,3.1,7.8,39.0,1.0,3.1,31.8,0.9,1.2,72.1,1.2,4.3,5.5,1.4,0.8,0.9,0.4,1.1,5,0,-3.6
Starters,49,27.3,8.1,3.1,7.9,39.6,1.0,3.0,32.9,0.8,1.1,69.6,1.2,4.4,5.6,1.4,0.8,0.9,0.4,1.1,5,0,-3.4
Bench,2,22.5,5.0,1.0,5.5,18.2,0.5,4.0,12.5,2.5,2.5,100,0.0,3.0,3.0,0.5,0.0,0.5,0.5,1.5,0,0,-9.0
0 Days Rest,10,26.9,11.3,4.0,9.0,44.4,1.3,2.8,46.4,2.0,2.5,80.0,1.5,5.0,6.5,1.5,1.3,1.1,0.3,0.9,2,0,-5.3
1 Days Rest,31,26.4,6.9,2.7,7.4,36.8,0.9,3.0,29.8,0.6,1.0,61.3,1.1,4.1,5.2,1.4,0.6,0.9,0.2,1.1,2,0,-5.6
2 Days Rest,7,30.6,7.9,3.1,8.1,38.6,0.9,3.6,24.0,0.7,0.7,100,1.3,5.1,6.4,1.4,0.7,0.6,0.7,2.0,1,0,5.0
4 Days Rest,1,30.6,7.0,3.0,9.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,1.0,2.0,0.0,0,0,19.0
6+ Days Rest,2,23.9,8.0,3.5,8.0,43.8,1.0,3.5,28.6,0.0,0.0,0.0,1.0,2.5,3.5,0.5,0.5,0.5,1.0,0.0,0,0,-6.5
