,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - DEN @ CLE",L,3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2017-02-11 00:00:00,CLE,AWAY
1,"FEB 08, 2017 - DEN @ ATL",L,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2017-02-08 00:00:00,ATL,AWAY
2,"FEB 06, 2017 - DEN vs. DAL",W,2,4,2,3,66.7,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,1,2017-02-06 00:00:00,DAL,HOME
3,"FEB 04, 2017 - DEN @ SAS",L,9,5,2,3,66.7,1,1,100.0,0,0,0.0,0,0,0,1,0,0,1,0,0,2017-02-04 00:00:00,SAS,AWAY
4,"FEB 01, 2017 - DEN vs. MEM",L,6,7,2,2,100.0,1,1,100.0,2,2,100.0,0,0,0,1,1,0,1,0,0,2017-02-01 00:00:00,MEM,HOME
5,"JAN 21, 2017 - DEN vs. LAC",W,3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,2017-01-21 00:00:00,LAC,HOME
6,"JAN 12, 2017 - DEN vs. IND",W,3,4,2,2,100.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,2017-01-12 00:00:00,IND,HOME
7,"JAN 03, 2017 - DEN vs. SAC",L,1,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5,2017-01-03 00:00:00,SAC,HOME
8,"DEC 02, 2016 - DEN vs. HOU",L,4,5,2,3,66.7,1,2,50.0,0,0,0.0,0,0,0,0,1,0,0,0,4,2016-12-02 00:00:00,HOU,HOME
9,"NOV 27, 2016 - DEN @ PHX",W,6,3,1,5,20.0,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,0,13,2016-11-27 00:00:00,PHX,AWAY
10,"NOV 25, 2016 - DEN vs. OKC",L,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2016-11-25 00:00:00,OKC,HOME
11,"NOV 23, 2016 - DEN @ UTA",L,12,5,1,5,20.0,0,2,0.0,3,4,75.0,0,1,1,1,1,0,0,2,-2,2016-11-23 00:00:00,UTA,AWAY
12,"NOV 20, 2016 - DEN vs. UTA",W,2,1,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,0,0,0,1,-4,2016-11-20 00:00:00,UTA,HOME
13,"NOV 16, 2016 - DEN vs. PHX",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,2016-11-16 00:00:00,PHX,HOME
14,"NOV 13, 2016 - DEN @ POR",L,6,0,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,8,2016-11-13 00:00:00,POR,AWAY
15,"NOV 10, 2016 - DEN vs. GSW",L,15,12,5,10,50.0,2,5,40.0,0,0,0.0,0,2,2,1,0,0,0,0,5,2016-11-10 00:00:00,GSW,HOME
16,"NOV 06, 2016 - DEN @ BOS",W,2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-5,2016-11-06 00:00:00,BOS,AWAY
17,"NOV 05, 2016 - DEN @ DET",L,5,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,7,2016-11-05 00:00:00,DET,AWAY
