BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,45,18.7,8.1,2.6,6.6,39.1,1.4,3.4,41.8,1.5,1.8,81.7,0.3,2.0,2.4,2.5,1.4,1.2,0.3,1.7,0,0,4.0
Home,24,18.3,8.6,2.6,6.1,43.2,1.5,3.3,45.6,1.9,2.3,83.3,0.5,2.1,2.6,2.5,1.5,1.1,0.3,1.5,0,0,4.0
Road,21,19.2,7.5,2.6,7.3,35.3,1.3,3.5,37.8,1.0,1.3,78.6,0.2,1.9,2.1,2.5,1.3,1.2,0.3,1.8,0,0,4.0
Wins,34,18.5,8.0,2.7,6.5,41.4,1.5,3.4,43.9,1.1,1.4,77.1,0.3,2.1,2.4,2.5,1.4,1.2,0.4,1.8,0,0,6.0
Losses,11,19.5,8.5,2.3,7.0,32.5,1.3,3.5,35.9,2.7,3.1,88.2,0.5,1.8,2.3,2.6,1.5,1.1,0.1,1.4,0,0,-2.2
October,3,22.6,7.3,3.0,9.0,33.3,1.3,4.3,30.8,0.0,0.0,0.0,0.7,4.0,4.7,3.0,2.0,1.0,0.3,2.0,0,0,14.0
November,13,18.6,7.8,2.4,6.1,39.2,1.2,3.0,41.0,1.8,2.0,88.5,0.5,1.9,2.4,2.2,1.4,1.0,0.2,1.6,0,0,-1.3
December,11,19.2,8.5,2.7,6.9,39.5,1.5,3.5,43.6,1.5,1.8,85.0,0.4,2.2,2.5,2.9,1.5,1.7,0.5,1.5,0,0,7.6
January,14,19.1,8.1,2.6,6.9,37.5,1.4,3.5,40.8,1.5,2.1,72.4,0.2,1.8,2.0,2.6,1.1,1.0,0.2,1.9,0,0,5.0
February,4,13.6,8.8,2.8,5.3,52.4,1.8,3.3,53.8,1.5,1.8,85.7,0.0,1.3,1.3,1.8,1.8,0.8,0.0,1.5,0,0,0.3
Pre All-Star,45,18.7,8.1,2.6,6.6,39.1,1.4,3.4,41.8,1.5,1.8,81.7,0.3,2.0,2.4,2.5,1.4,1.2,0.3,1.7,0,0,4.0
Bench,45,18.7,8.1,2.6,6.6,39.1,1.4,3.4,41.8,1.5,1.8,81.7,0.3,2.0,2.4,2.5,1.4,1.2,0.3,1.7,0,0,4.0
0 Days Rest,3,14.6,7.0,2.3,5.3,43.8,1.0,2.0,50.0,1.3,1.3,100,0.0,2.3,2.3,2.3,0.7,0.7,0.3,1.7,0,0,-2.3
1 Days Rest,25,18.2,8.1,2.5,6.2,40.3,1.6,3.5,44.8,1.6,2.0,78.0,0.2,2.0,2.2,2.6,1.4,1.0,0.2,1.7,0,0,5.0
2 Days Rest,12,19.9,8.0,2.8,7.5,36.7,1.3,3.3,37.5,1.3,1.5,83.3,0.5,1.8,2.3,2.3,1.5,1.6,0.5,1.4,0,0,3.3
3 Days Rest,3,21.6,11.0,3.3,8.3,40.0,1.3,3.7,36.4,3.0,3.3,90.0,1.3,1.7,3.0,3.3,2.0,1.7,0.0,2.0,0,0,-0.3
4 Days Rest,1,19.9,3.0,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,0,0,1.0
6+ Days Rest,1,20.9,10.0,4.0,10.0,40.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,1.0,0.0,1.0,0,0,22.0
