,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - DET vs. SAS",L,29,10,4,10,40.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,-15,2017-02-10 00:00:00,SAS,HOME
1,"FEB 08, 2017 - DET vs. LAL",W,28,14,6,14,42.9,1,3,33.3,1,2,50.0,2,4,6,3,1,0,0,0,13,2017-02-08 00:00:00,LAL,HOME
2,"FEB 06, 2017 - DET vs. PHI",W,39,19,9,16,56.3,0,3,0.0,1,1,100.0,3,5,8,3,1,0,2,0,33,2017-02-06 00:00:00,PHI,HOME
3,"FEB 04, 2017 - DET @ IND",L,34,19,5,11,45.5,3,3,100.0,6,6,100.0,1,5,6,4,1,1,1,1,-17,2017-02-04 00:00:00,IND,AWAY
4,"FEB 03, 2017 - DET vs. MIN",W,38,36,12,19,63.2,5,9,55.6,7,11,63.6,2,4,6,2,1,0,2,1,14,2017-02-03 00:00:00,MIN,HOME
5,"FEB 01, 2017 - DET vs. NOP",W,34,7,3,9,33.3,1,4,25.0,0,0,0.0,1,3,4,4,0,0,1,1,-3,2017-02-01 00:00:00,NOP,HOME
6,"JAN 30, 2017 - DET @ BOS",L,35,13,6,16,37.5,1,7,14.3,0,0,0.0,1,4,5,0,0,0,1,3,10,2017-01-30 00:00:00,BOS,AWAY
7,"JAN 28, 2017 - DET @ MIA",L,36,14,7,11,63.6,0,2,0.0,0,1,0.0,0,2,2,2,1,0,2,2,-3,2017-01-28 00:00:00,MIA,AWAY
8,"JAN 23, 2017 - DET vs. SAC",L,38,13,5,11,45.5,1,3,33.3,2,2,100.0,0,3,3,1,0,0,0,0,-3,2017-01-23 00:00:00,SAC,HOME
9,"JAN 21, 2017 - DET vs. WAS",W,38,25,7,17,41.2,3,6,50.0,8,9,88.9,6,5,11,3,1,0,1,3,9,2017-01-21 00:00:00,WAS,HOME
10,"JAN 18, 2017 - DET vs. ATL",W,36,14,5,13,38.5,1,6,16.7,3,4,75.0,1,9,10,7,0,0,0,3,30,2017-01-18 00:00:00,ATL,HOME
11,"JAN 15, 2017 - DET @ LAL",W,43,23,9,18,50.0,4,8,50.0,1,2,50.0,2,7,9,1,0,1,1,1,-1,2017-01-15 00:00:00,LAL,AWAY
12,"JAN 13, 2017 - DET @ UTA",L,30,11,3,15,20.0,1,4,25.0,4,4,100.0,0,5,5,1,0,0,2,4,-22,2017-01-13 00:00:00,UTA,AWAY
13,"JAN 12, 2017 - DET @ GSW",L,34,21,9,17,52.9,1,6,16.7,2,2,100.0,1,4,5,3,1,0,2,1,-10,2017-01-12 00:00:00,GSW,AWAY
14,"JAN 10, 2017 - DET @ SAC",L,31,9,4,11,36.4,1,4,25.0,0,0,0.0,1,2,3,1,2,0,2,5,-10,2017-01-10 00:00:00,SAC,AWAY
15,"JAN 08, 2017 - DET @ POR",W,46,10,5,17,29.4,0,4,0.0,0,0,0.0,1,4,5,5,1,0,0,2,11,2017-01-08 00:00:00,POR,AWAY
16,"JAN 05, 2017 - DET vs. CHA",W,36,20,5,15,33.3,3,6,50.0,7,8,87.5,3,8,11,3,0,1,0,3,9,2017-01-05 00:00:00,CHA,HOME
17,"JAN 03, 2017 - DET vs. IND",L,29,14,6,14,42.9,2,7,28.6,0,0,0.0,1,0,1,4,0,1,1,3,-5,2017-01-03 00:00:00,IND,HOME
18,"JAN 01, 2017 - DET @ MIA",W,31,11,4,9,44.4,2,3,66.7,1,2,50.0,0,1,1,1,0,0,1,3,-5,2017-01-01 00:00:00,MIA,AWAY
19,"DEC 28, 2016 - DET vs. MIL",L,23,11,3,10,30.0,2,6,33.3,3,4,75.0,1,1,2,3,0,0,0,3,-22,2016-12-28 00:00:00,MIL,HOME
20,"DEC 26, 2016 - DET vs. CLE",W,36,15,6,15,40.0,3,6,50.0,0,0,0.0,0,4,4,2,3,0,1,2,8,2016-12-26 00:00:00,CLE,HOME
21,"DEC 23, 2016 - DET vs. GSW",L,20,2,1,7,14.3,0,3,0.0,0,0,0.0,0,3,3,3,3,0,0,4,-4,2016-12-23 00:00:00,GSW,HOME
22,"DEC 21, 2016 - DET vs. MEM",L,39,12,1,11,9.1,0,7,0.0,10,14,71.4,0,5,5,0,0,0,2,2,4,2016-12-21 00:00:00,MEM,HOME
23,"DEC 19, 2016 - DET @ CHI",L,24,6,2,9,22.2,0,4,0.0,2,2,100.0,1,0,1,1,0,0,2,1,-29,2016-12-19 00:00:00,CHI,AWAY
24,"DEC 17, 2016 - DET vs. IND",L,34,9,4,7,57.1,1,3,33.3,0,0,0.0,0,1,1,1,1,0,1,3,-9,2016-12-17 00:00:00,IND,HOME
25,"DEC 16, 2016 - DET @ WAS",L,24,2,1,8,12.5,0,3,0.0,0,0,0.0,0,3,3,1,1,0,1,0,-14,2016-12-16 00:00:00,WAS,AWAY
26,"DEC 14, 2016 - DET @ DAL",W,37,12,4,10,40.0,2,5,40.0,2,2,100.0,0,6,6,2,2,0,4,1,6,2016-12-14 00:00:00,DAL,AWAY
27,"DEC 11, 2016 - DET vs. PHI",L,37,28,10,16,62.5,4,7,57.1,4,5,80.0,1,1,2,1,0,1,1,1,-11,2016-12-11 00:00:00,PHI,HOME
28,"DEC 09, 2016 - DET @ MIN",W,35,15,6,12,50.0,3,6,50.0,0,0,0.0,0,7,7,1,0,0,1,2,25,2016-12-09 00:00:00,MIN,AWAY
29,"DEC 07, 2016 - DET @ CHA",L,34,7,3,10,30.0,1,3,33.3,0,0,0.0,2,8,10,2,0,1,1,1,-11,2016-12-07 00:00:00,CHA,AWAY
30,"DEC 06, 2016 - DET vs. CHI",W,26,13,5,9,55.6,3,5,60.0,0,0,0.0,0,1,1,0,0,0,2,2,3,2016-12-06 00:00:00,CHI,HOME
31,"DEC 04, 2016 - DET vs. ORL",L,35,21,7,12,58.3,5,9,55.6,2,2,100.0,0,5,5,1,2,0,0,1,-1,2016-12-04 00:00:00,ORL,HOME
32,"DEC 02, 2016 - DET @ ATL",W,29,12,5,12,41.7,2,3,66.7,0,0,0.0,0,4,4,2,0,0,1,0,27,2016-12-02 00:00:00,ATL,AWAY
