,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - WAS vs. IND",W,31,26,11,18,61.1,3,6,50.0,1,2,50.0,2,8,10,3,1,0,0,1,16,2017-02-10 00:00:00,IND,HOME
1,"FEB 06, 2017 - WAS vs. CLE",L,30,15,6,12,50.0,0,2,0.0,3,4,75.0,1,5,6,2,1,0,2,6,0,2017-02-06 00:00:00,CLE,HOME
2,"FEB 04, 2017 - WAS vs. NOP",W,38,18,6,16,37.5,2,6,33.3,4,4,100.0,0,4,4,0,1,0,2,5,18,2017-02-04 00:00:00,NOP,HOME
3,"FEB 02, 2017 - WAS vs. LAL",W,35,12,3,14,21.4,0,5,0.0,6,8,75.0,2,9,11,2,3,2,2,4,5,2017-02-02 00:00:00,LAL,HOME
4,"JAN 31, 2017 - WAS vs. NYK",W,34,24,9,14,64.3,2,5,40.0,4,4,100.0,2,8,10,2,0,0,2,3,13,2017-01-31 00:00:00,NYK,HOME
5,"JAN 29, 2017 - WAS @ NOP",W,37,21,9,20,45.0,3,3,100.0,0,0,0.0,3,5,8,1,0,0,0,3,22,2017-01-29 00:00:00,NOP,AWAY
6,"JAN 27, 2017 - WAS @ ATL",W,25,15,4,11,36.4,2,4,50.0,5,6,83.3,5,4,9,1,2,1,5,4,20,2017-01-27 00:00:00,ATL,AWAY
7,"JAN 24, 2017 - WAS vs. BOS",W,34,19,6,14,42.9,1,4,25.0,6,7,85.7,2,9,11,4,0,2,2,2,4,2017-01-24 00:00:00,BOS,HOME
8,"JAN 23, 2017 - WAS @ CHA",W,41,23,8,13,61.5,2,4,50.0,5,5,100.0,0,8,8,2,0,0,2,5,8,2017-01-23 00:00:00,CHA,AWAY
9,"JAN 21, 2017 - WAS @ DET",L,38,19,7,17,41.2,2,5,40.0,3,4,75.0,4,5,9,2,2,1,3,5,8,2017-01-21 00:00:00,DET,AWAY
10,"JAN 19, 2017 - WAS @ NYK",W,35,14,6,11,54.5,2,3,66.7,0,0,0.0,2,4,6,4,0,2,3,1,-12,2017-01-19 00:00:00,NYK,AWAY
11,"JAN 18, 2017 - WAS vs. MEM",W,34,17,6,16,37.5,0,5,0.0,5,5,100.0,3,9,12,2,1,1,1,5,13,2017-01-18 00:00:00,MEM,HOME
