BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,18,4.5,1.0,0.3,1.6,21.4,0.1,0.9,12.5,0.2,0.4,50.0,0.2,0.3,0.5,0.3,0.2,0.2,0.1,0.7,0,0,-3.7
Home,7,3.7,0.6,0.3,1.3,22.2,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.1,0.0,0.0,1.3,0,0,-4.3
Road,11,5.1,1.3,0.4,1.7,21.1,0.2,1.3,14.3,0.4,0.7,50.0,0.1,0.5,0.6,0.3,0.2,0.3,0.2,0.4,0,0,-3.4
Wins,4,1.9,0.5,0.3,1.0,25.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.5,0,0,-0.8
Losses,14,5.3,1.1,0.4,1.7,20.8,0.1,1.0,14.3,0.3,0.4,66.7,0.2,0.4,0.6,0.4,0.1,0.2,0.1,0.5,0,0,-4.6
October,2,3.1,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,0,0,-1.5
November,5,6.9,2.0,0.6,2.2,27.3,0.4,1.6,25.0,0.4,0.8,50.0,0.2,0.8,1.0,0.6,0.2,0.4,0.0,1.0,0,0,-2.8
December,6,5.0,1.0,0.3,1.3,25.0,0.0,0.5,0.0,0.3,0.3,100,0.3,0.0,0.3,0.2,0.2,0.0,0.3,0.3,0,0,-7.7
January,4,2.1,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.3,0.0,0.0,0.8,0,0,-0.3
February,1,2.0,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.0
Pre All-Star,18,4.5,1.0,0.3,1.6,21.4,0.1,0.9,12.5,0.2,0.4,50.0,0.2,0.3,0.5,0.3,0.2,0.2,0.1,0.7,0,0,-3.7
Starters,1,11.7,4.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0,0,-26.0
Bench,17,4.1,0.8,0.2,1.4,17.4,0.1,0.9,12.5,0.2,0.5,50.0,0.1,0.4,0.5,0.2,0.2,0.2,0.1,0.6,0,0,-2.4
0 Days Rest,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
1 Days Rest,3,4.3,1.3,0.0,0.3,0.0,0.0,0.3,0.0,1.3,2.0,66.7,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0,0,0.0
2 Days Rest,2,8.7,2.0,1.0,3.0,33.3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0,0,-16.5
3 Days Rest,4,5.2,0.5,0.3,2.5,10.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.3,0.3,0.8,0.0,0.3,0,0,-0.3
4 Days Rest,1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-5.0
5 Days Rest,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-1.0
6+ Days Rest,6,4.4,1.3,0.5,1.8,27.3,0.3,1.3,25.0,0.0,0.3,0.0,0.2,0.2,0.3,0.3,0.0,0.0,0.0,1.7,0,0,-4.5
