,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - MIL @ IND",W,26,7,3,8,37.5,1,1,100.0,0,0,0.0,3,3,6,3,0,0,2,1,4,2017-02-11 00:00:00,IND,AWAY
1,"FEB 10, 2017 - MIL vs. LAL",L,23,15,6,9,66.7,1,3,33.3,2,3,66.7,1,4,5,2,0,1,3,3,0,2017-02-10 00:00:00,LAL,HOME
2,"FEB 08, 2017 - MIL vs. MIA",L,12,11,4,6,66.7,0,0,0.0,3,7,42.9,0,3,3,0,0,0,2,0,0,2017-02-08 00:00:00,MIA,HOME
3,"FEB 04, 2017 - MIL @ PHX",W,7,6,3,4,75.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-5,2017-02-04 00:00:00,PHX,AWAY
4,"FEB 03, 2017 - MIL @ DEN",L,14,8,3,7,42.9,0,1,0.0,2,4,50.0,1,2,3,0,0,1,1,2,11,2017-02-03 00:00:00,DEN,AWAY
5,"FEB 01, 2017 - MIL @ UTA",L,17,8,2,7,28.6,1,4,25.0,3,6,50.0,1,2,3,0,0,2,2,1,10,2017-02-01 00:00:00,UTA,AWAY
6,"JAN 28, 2017 - MIL vs. BOS",L,22,17,7,10,70.0,1,1,100.0,2,2,100.0,0,8,8,1,0,0,2,2,-6,2017-01-28 00:00:00,BOS,HOME
7,"JAN 27, 2017 - MIL @ TOR",L,7,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,0,-15,2017-01-27 00:00:00,TOR,AWAY
8,"JAN 21, 2017 - MIL @ MIA",L,10,5,2,4,50.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,1,0,-9,2017-01-21 00:00:00,MIA,AWAY
9,"JAN 20, 2017 - MIL @ ORL",L,7,2,1,4,25.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,-10,2017-01-20 00:00:00,ORL,AWAY
10,"JAN 18, 2017 - MIL @ HOU",L,24,14,6,14,42.9,2,3,66.7,0,0,0.0,3,5,8,2,0,2,1,1,-13,2017-01-18 00:00:00,HOU,AWAY
11,"JAN 16, 2017 - MIL vs. PHI",L,26,7,2,5,40.0,0,0,0.0,3,4,75.0,2,4,6,2,0,0,2,3,-5,2017-01-16 00:00:00,PHI,HOME
12,"JAN 15, 2017 - MIL @ ATL",L,18,11,3,7,42.9,0,1,0.0,5,6,83.3,1,2,3,1,2,0,1,2,-9,2017-01-15 00:00:00,ATL,AWAY
13,"JAN 13, 2017 - MIL vs. MIA",W,21,11,5,5,100.0,0,0,0.0,1,1,100.0,0,7,7,2,1,1,2,3,7,2017-01-13 00:00:00,MIA,HOME
14,"JAN 10, 2017 - MIL @ SAS",W,34,28,11,18,61.1,1,1,100.0,5,6,83.3,1,4,5,4,2,3,4,2,18,2017-01-10 00:00:00,SAS,AWAY
15,"JAN 08, 2017 - MIL vs. WAS",L,16,18,6,9,66.7,1,1,100.0,5,5,100.0,0,1,1,0,1,0,1,1,-6,2017-01-08 00:00:00,WAS,HOME
16,"JAN 06, 2017 - MIL vs. NYK",L,12,3,1,4,25.0,0,1,0.0,1,1,100.0,0,0,0,2,0,0,2,2,-3,2017-01-06 00:00:00,NYK,HOME
17,"JAN 04, 2017 - MIL @ NYK",W,10,7,2,3,66.7,1,1,100.0,2,2,100.0,0,0,0,0,0,1,1,3,-2,2017-01-04 00:00:00,NYK,AWAY
18,"JAN 02, 2017 - MIL vs. OKC",W,10,2,1,2,50.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,2,2017-01-02 00:00:00,OKC,HOME
19,"DEC 30, 2016 - MIL @ MIN",L,20,12,5,10,50.0,0,1,0.0,2,2,100.0,0,5,5,3,0,0,1,3,-9,2016-12-30 00:00:00,MIN,AWAY
20,"DEC 28, 2016 - MIL @ DET",W,22,7,3,8,37.5,0,0,0.0,1,2,50.0,0,3,3,3,1,2,0,0,8,2016-12-28 00:00:00,DET,AWAY
21,"DEC 26, 2016 - MIL @ WAS",L,18,8,4,12,33.3,0,1,0.0,0,0,0.0,1,3,4,1,2,0,0,4,0,2016-12-26 00:00:00,WAS,AWAY
22,"DEC 12, 2016 - MIL @ TOR",L,16,2,1,5,20.0,0,1,0.0,0,0,0.0,2,2,4,2,0,0,2,0,-14,2016-12-12 00:00:00,TOR,AWAY
23,"DEC 10, 2016 - MIL @ WAS",L,5,2,1,3,33.3,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,0,-1,2016-12-10 00:00:00,WAS,AWAY
24,"DEC 09, 2016 - MIL vs. ATL",L,23,14,6,7,85.7,1,1,100.0,1,1,100.0,2,4,6,2,0,3,0,6,2,2016-12-09 00:00:00,ATL,HOME
25,"DEC 07, 2016 - MIL vs. POR",W,22,12,5,7,71.4,1,1,100.0,1,2,50.0,0,8,8,0,1,0,2,2,14,2016-12-07 00:00:00,POR,HOME
26,"DEC 05, 2016 - MIL vs. SAS",L,14,8,3,3,100.0,0,0,0.0,2,2,100.0,0,1,1,0,0,1,2,1,-1,2016-12-05 00:00:00,SAS,HOME
27,"DEC 03, 2016 - MIL vs. BKN",W,18,5,2,5,40.0,0,0,0.0,1,2,50.0,0,3,3,1,0,1,2,4,-8,2016-12-03 00:00:00,BKN,HOME
28,"DEC 01, 2016 - MIL @ BKN",W,17,5,1,4,25.0,0,0,0.0,3,4,75.0,2,5,7,1,1,0,2,0,5,2016-12-01 00:00:00,BKN,AWAY
29,"NOV 29, 2016 - MIL vs. CLE",W,26,17,7,10,70.0,1,1,100.0,2,2,100.0,1,1,2,2,2,0,2,3,23,2016-11-29 00:00:00,CLE,HOME
30,"NOV 27, 2016 - MIL @ ORL",W,17,13,6,9,66.7,0,0,0.0,1,1,100.0,1,5,6,1,0,0,2,0,5,2016-11-27 00:00:00,ORL,AWAY
31,"NOV 25, 2016 - MIL vs. TOR",L,16,2,1,7,14.3,0,1,0.0,0,0,0.0,0,8,8,2,0,1,1,3,-4,2016-11-25 00:00:00,TOR,HOME
32,"NOV 21, 2016 - MIL vs. ORL",W,20,14,7,14,50.0,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,2,5,2016-11-21 00:00:00,ORL,HOME
33,"NOV 19, 2016 - MIL vs. GSW",L,20,9,4,9,44.4,1,1,100.0,0,2,0.0,2,1,3,0,0,0,0,1,3,2016-11-19 00:00:00,GSW,HOME
34,"NOV 17, 2016 - MIL @ MIA",L,16,13,5,11,45.5,0,0,0.0,3,5,60.0,4,6,10,0,0,0,2,2,6,2016-11-17 00:00:00,MIA,AWAY
35,"NOV 16, 2016 - MIL @ ATL",L,4,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,-8,2016-11-16 00:00:00,ATL,AWAY
36,"NOV 12, 2016 - MIL vs. MEM",W,19,19,6,8,75.0,1,1,100.0,6,7,85.7,1,3,4,1,1,0,1,1,6,2016-11-12 00:00:00,MEM,HOME
37,"NOV 10, 2016 - MIL vs. NOP",L,12,9,3,6,50.0,1,1,100.0,2,2,100.0,0,4,4,2,0,0,0,1,6,2016-11-10 00:00:00,NOP,HOME
38,"NOV 06, 2016 - MIL @ DAL",L,10,7,3,4,75.0,1,1,100.0,0,0,0.0,0,3,3,0,1,0,0,2,8,2016-11-06 00:00:00,DAL,AWAY
39,"NOV 05, 2016 - MIL vs. SAC",W,16,10,5,10,50.0,0,1,0.0,0,0,0.0,1,3,4,0,1,0,0,0,-7,2016-11-05 00:00:00,SAC,HOME
40,"NOV 03, 2016 - MIL vs. IND",W,13,4,2,6,33.3,0,1,0.0,0,0,0.0,0,2,2,1,0,1,2,3,8,2016-11-03 00:00:00,IND,HOME
41,"NOV 01, 2016 - MIL @ NOP",W,13,12,5,9,55.6,0,1,0.0,2,2,100.0,0,1,1,0,0,0,1,1,-5,2016-11-01 00:00:00,NOP,AWAY
42,"OCT 30, 2016 - MIL @ DET",L,16,7,3,5,60.0,0,2,0.0,1,2,50.0,0,1,1,2,2,0,2,3,-8,2016-10-30 00:00:00,DET,AWAY
43,"OCT 29, 2016 - MIL vs. BKN",W,9,4,2,2,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-16,2016-10-29 00:00:00,BKN,HOME
44,"OCT 26, 2016 - MIL vs. CHA",L,19,2,1,5,20.0,0,0,0.0,0,2,0.0,1,1,2,1,1,0,0,1,2,2016-10-26 00:00:00,CHA,HOME
