BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,43,32.5,19.1,6.3,14.2,44.1,2.3,5.7,40.7,4.2,4.9,86.2,0.5,3.1,3.6,6.2,2.3,1.3,0.3,1.7,5,0,3.1
Home,20,32.2,17.8,5.9,14.3,41.1,2.2,5.5,39.1,4.0,4.6,86.8,0.5,2.5,2.9,6.3,2.1,1.5,0.5,1.9,2,0,3.0
Road,23,32.8,20.2,6.7,14.2,46.8,2.5,5.9,41.9,4.4,5.2,85.7,0.6,3.7,4.2,6.1,2.4,1.2,0.2,1.6,3,0,3.2
Wins,25,33.5,20.1,6.8,14.3,47.2,2.6,5.5,47.1,4.0,4.6,87.7,0.4,3.5,3.9,6.3,2.2,1.4,0.3,1.8,2,0,8.5
Losses,18,31.1,17.7,5.6,14.1,39.8,1.9,6.0,32.4,4.5,5.3,84.4,0.7,2.5,3.2,6.1,2.4,1.2,0.3,1.6,3,0,-4.4
October,3,30.3,19.7,6.7,14.0,47.6,2.3,3.7,63.6,4.0,4.7,85.7,1.0,2.0,3.0,6.7,3.7,0.0,0.3,3.0,1,0,-3.7
November,14,32.6,19.1,5.9,13.7,43.2,2.5,5.6,44.3,4.7,5.2,90.4,0.3,3.4,3.6,5.5,2.0,1.7,0.6,1.4,1,0,6.1
December,7,28.8,16.1,5.3,12.1,43.5,1.9,5.4,34.2,3.7,4.9,76.5,0.6,3.1,3.7,4.9,1.9,1.1,0.3,1.6,0,0,-7.1
January,14,34.8,20.8,7.2,16.2,44.5,2.6,6.7,39.4,3.7,4.3,86.7,0.7,3.5,4.2,7.6,2.4,1.2,0.1,2.1,3,0,4.9
February,5,32.8,18.2,5.8,13.2,43.9,1.6,4.8,33.3,5.0,5.8,86.2,0.2,1.8,2.0,5.8,2.4,1.6,0.2,1.2,0,0,7.8
Pre All-Star,43,32.5,19.1,6.3,14.2,44.1,2.3,5.7,40.7,4.2,4.9,86.2,0.5,3.1,3.6,6.2,2.3,1.3,0.3,1.7,5,0,3.1
Starters,42,32.8,19.2,6.3,14.2,44.4,2.4,5.8,40.9,4.2,4.9,85.9,0.5,3.1,3.6,6.3,2.3,1.3,0.3,1.7,5,0,3.1
Bench,1,22.9,16.0,5.0,15.0,33.3,1.0,4.0,25.0,5.0,5.0,100,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,0,0,3.0
0 Days Rest,8,33.1,17.8,5.6,14.3,39.5,2.0,5.5,36.4,4.5,4.9,92.3,0.9,3.1,4.0,6.8,1.9,0.6,0.3,2.1,2,0,4.5
1 Days Rest,24,33.1,20.3,6.8,15.0,45.6,2.7,6.4,42.2,4.0,4.7,84.1,0.3,3.4,3.7,6.8,2.2,1.8,0.4,1.7,3,0,5.8
2 Days Rest,6,31.3,18.5,6.0,13.3,45.0,1.7,4.3,38.5,4.8,5.5,87.9,0.8,1.8,2.7,4.7,3.3,0.7,0.0,1.5,0,0,-6.7
3 Days Rest,2,33.0,13.0,3.5,13.0,26.9,1.0,5.0,20.0,5.0,5.0,100,0.5,3.0,3.5,4.0,2.0,1.0,0.0,1.0,0,0,4.0
4 Days Rest,1,29.3,22.0,8.0,11.0,72.7,3.0,4.0,75.0,3.0,5.0,60.0,3.0,5.0,8.0,3.0,2.0,0.0,1.0,0.0,0,0,-5.0
6+ Days Rest,2,29.1,16.0,5.0,10.5,47.6,2.0,4.0,50.0,4.0,5.0,80.0,0.0,2.0,2.0,5.0,2.5,1.0,1.0,3.0,0,0,-2.0
