,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - ATL @ SAC",L,12,8,3,5,60.0,2,3,66.7,0,0,0.0,0,1,1,0,0,0,0,1,-1,2017-02-10 00:00:00,SAC,AWAY
1,"FEB 08, 2017 - ATL vs. DEN",W,8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-3,2017-02-08 00:00:00,DEN,HOME
2,"FEB 06, 2017 - ATL vs. UTA",L,16,3,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,2,0,0,0,3,-7,2017-02-06 00:00:00,UTA,HOME
3,"FEB 04, 2017 - ATL vs. ORL",W,16,5,2,6,33.3,1,4,25.0,0,0,0.0,0,3,3,1,0,0,4,2,-3,2017-02-04 00:00:00,ORL,HOME
4,"FEB 02, 2017 - ATL @ HOU",W,22,7,2,4,50.0,2,4,50.0,1,2,50.0,0,1,1,2,1,0,0,2,-7,2017-02-02 00:00:00,HOU,AWAY
5,"FEB 01, 2017 - ATL @ MIA",L,20,11,3,7,42.9,1,5,20.0,4,4,100.0,2,4,6,0,0,0,1,0,-7,2017-02-01 00:00:00,MIA,AWAY
6,"JAN 29, 2017 - ATL vs. NYK",W,22,12,5,6,83.3,2,3,66.7,0,0,0.0,0,3,3,1,0,1,0,0,21,2017-01-29 00:00:00,NYK,HOME
7,"JAN 27, 2017 - ATL vs. WAS",L,21,7,3,8,37.5,1,5,20.0,0,0,0.0,1,2,3,3,1,0,1,1,-5,2017-01-27 00:00:00,WAS,HOME
8,"JAN 25, 2017 - ATL @ CHI",W,7,3,1,3,33.3,1,2,50.0,0,0,0.0,1,0,1,0,0,0,1,1,-10,2017-01-25 00:00:00,CHI,AWAY
9,"JAN 23, 2017 - ATL vs. LAC",L,17,5,2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,1,0,0,0,2,-7,2017-01-23 00:00:00,LAC,HOME
10,"JAN 21, 2017 - ATL vs. PHI",W,18,4,2,5,40.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,1,12,2017-01-21 00:00:00,PHI,HOME
11,"JAN 20, 2017 - ATL vs. CHI",W,15,6,2,5,40.0,2,4,50.0,0,0,0.0,0,0,0,1,1,0,0,1,-5,2017-01-20 00:00:00,CHI,HOME
12,"JAN 18, 2017 - ATL @ DET",L,21,2,1,4,25.0,0,2,0.0,0,0,0.0,2,2,4,2,1,0,1,2,-9,2017-01-18 00:00:00,DET,AWAY
13,"JAN 16, 2017 - ATL @ NYK",W,19,0,0,5,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,0,1,0,-3,2017-01-16 00:00:00,NYK,AWAY
14,"JAN 15, 2017 - ATL vs. MIL",W,23,20,6,10,60.0,4,5,80.0,4,5,80.0,1,2,3,2,0,0,1,4,16,2017-01-15 00:00:00,MIL,HOME
15,"JAN 13, 2017 - ATL vs. BOS",L,15,6,2,3,66.7,2,3,66.7,0,0,0.0,0,5,5,1,0,0,0,1,18,2017-01-13 00:00:00,BOS,HOME
16,"DEC 29, 2016 - CLE vs. BOS",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,-5,2016-12-29 00:00:00,BOS,HOME
17,"DEC 26, 2016 - CLE @ DET",L,28,6,2,4,50.0,1,1,100.0,1,2,50.0,0,4,4,1,1,0,1,2,-14,2016-12-26 00:00:00,DET,AWAY
18,"DEC 23, 2016 - CLE vs. BKN",W,22,14,6,9,66.7,2,4,50.0,0,0,0.0,2,2,4,1,0,0,2,4,-3,2016-12-23 00:00:00,BKN,HOME
19,"DEC 21, 2016 - CLE vs. MIL",W,13,5,2,4,50.0,1,2,50.0,0,0,0.0,1,1,2,2,0,0,1,2,-9,2016-12-21 00:00:00,MIL,HOME
20,"DEC 20, 2016 - CLE @ MIL",W,14,3,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,2,3,2,2016-12-20 00:00:00,MIL,AWAY
21,"DEC 14, 2016 - CLE @ MEM",L,23,11,3,6,50.0,2,4,50.0,3,5,60.0,1,5,6,0,1,0,0,1,1,2016-12-14 00:00:00,MEM,AWAY
22,"DEC 09, 2016 - CLE vs. MIA",W,22,5,1,3,33.3,1,2,50.0,2,2,100.0,0,2,2,1,0,0,0,1,19,2016-12-09 00:00:00,MIA,HOME
23,"DEC 07, 2016 - CLE @ NYK",W,15,3,1,3,33.3,1,3,33.3,0,0,0.0,0,2,2,1,0,0,0,1,5,2016-12-07 00:00:00,NYK,AWAY
24,"DEC 05, 2016 - CLE @ TOR",W,7,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,2016-12-05 00:00:00,TOR,AWAY
25,"NOV 29, 2016 - CLE @ MIL",L,12,5,2,4,50.0,1,3,33.3,0,0,0.0,0,1,1,2,0,0,1,0,-11,2016-11-29 00:00:00,MIL,AWAY
26,"NOV 27, 2016 - CLE @ PHI",W,9,2,1,6,16.7,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,1,-2,2016-11-27 00:00:00,PHI,AWAY
27,"NOV 25, 2016 - CLE vs. DAL",W,14,5,1,3,33.3,1,3,33.3,2,2,100.0,0,0,0,1,0,0,0,0,3,2016-11-25 00:00:00,DAL,HOME
28,"NOV 18, 2016 - CLE vs. DET",W,19,5,2,3,66.7,1,2,50.0,0,0,0.0,0,5,5,0,0,1,2,1,2,2016-11-18 00:00:00,DET,HOME
29,"NOV 15, 2016 - CLE vs. TOR",W,19,5,2,3,66.7,1,2,50.0,0,0,0.0,0,2,2,1,0,0,0,0,0,2016-11-15 00:00:00,TOR,HOME
30,"NOV 13, 2016 - CLE vs. CHA",W,17,2,1,6,16.7,0,3,0.0,0,0,0.0,0,3,3,0,0,1,0,3,-2,2016-11-13 00:00:00,CHA,HOME
31,"NOV 11, 2016 - CLE @ WAS",W,13,0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,1,0,0,0,2,-12,2016-11-11 00:00:00,WAS,AWAY
32,"NOV 08, 2016 - CLE vs. ATL",L,13,3,1,4,25.0,1,4,25.0,0,0,0.0,0,1,1,1,1,0,0,2,-8,2016-11-08 00:00:00,ATL,HOME
33,"NOV 05, 2016 - CLE @ PHI",W,13,6,2,5,40.0,2,4,50.0,0,0,0.0,1,0,1,0,0,0,2,2,7,2016-11-05 00:00:00,PHI,AWAY
34,"NOV 03, 2016 - CLE vs. BOS",W,13,3,0,1,0.0,0,1,0.0,3,4,75.0,0,1,1,1,0,0,0,1,-5,2016-11-03 00:00:00,BOS,HOME
35,"NOV 01, 2016 - CLE vs. HOU",W,18,11,3,4,75.0,2,3,66.7,3,4,75.0,0,4,4,2,0,0,0,2,10,2016-11-01 00:00:00,HOU,HOME
36,"OCT 29, 2016 - CLE vs. ORL",W,20,6,2,8,25.0,2,6,33.3,0,0,0.0,0,2,2,1,0,0,0,1,-3,2016-10-29 00:00:00,ORL,HOME
37,"OCT 28, 2016 - CLE @ TOR",W,16,2,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,2,-3,2016-10-28 00:00:00,TOR,AWAY
38,"OCT 25, 2016 - CLE vs. NYK",W,23,4,2,3,66.7,0,1,0.0,0,0,0.0,0,4,4,2,3,0,0,0,19,2016-10-25 00:00:00,NYK,HOME
