,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.3,104.3,20,33,0.377,38.8,84.0,46.2,7.8,22.1,35.4,18.8,23.9,78.8,11.4,31.1,42.5,23.3,14.4,7.6,4.7,20.6,-1.3,39.0,82.7,47.1,9.5,26.3,36.2,18.1,23.4,77.2,9.6,30.8,40.5,22.4,14.1,7.8,5.1,4.7,20.7,105.6
1,Home,29,48.3,106.1,13,16,0.448,39.1,83.0,47.1,8.4,22.3,37.5,19.6,24.8,78.9,11.3,31.9,43.1,24.2,14.7,7.9,4.7,21.0,2.4,38.0,81.4,46.7,9.9,27.3,36.4,17.8,22.9,77.7,8.8,30.2,39.0,21.2,14.6,8.1,4.0,4.7,21.6,103.7
2,Road,24,48.2,102.3,7,17,0.292,38.6,85.2,45.3,7.2,21.8,32.9,17.9,22.8,78.8,11.6,30.1,41.8,22.2,14.0,7.2,4.7,20.2,-5.7,40.2,84.3,47.7,9.1,25.2,36.0,18.5,24.1,76.6,10.6,31.6,42.3,23.7,13.4,7.5,6.3,4.7,19.6,108.0
3,Wins,20,48.5,110.9,20,0,1.0,41.4,84.5,49.0,8.8,22.1,39.6,19.4,23.8,81.3,11.0,33.2,44.1,25.8,14.2,8.4,6.2,20.4,12.0,37.0,83.4,44.4,8.1,25.9,31.3,16.8,22.5,74.8,10.5,29.0,39.4,20.1,15.4,7.6,4.9,6.2,20.8,98.9
4,Losses,33,48.2,100.4,0,33,0.0,37.3,83.8,44.5,7.3,22.1,32.9,18.5,23.9,77.3,11.7,29.8,41.5,21.8,14.6,7.1,3.8,20.8,-9.3,40.2,82.3,48.8,10.4,26.6,39.1,18.8,24.0,78.5,9.2,32.0,41.1,23.7,13.3,7.9,5.2,3.8,20.6,109.7
5,October,2,48.0,100.5,0,2,0.0,36.5,78.0,46.8,6.5,20.0,32.5,21.0,30.0,70.0,11.0,29.5,40.5,19.5,12.5,6.0,5.0,24.0,-3.5,37.5,82.5,45.5,10.0,25.0,40.0,19.0,26.0,73.1,11.0,27.0,38.0,21.5,13.0,6.0,8.0,5.0,24.5,104.0
6,November,16,48.0,103.4,5,11,0.313,37.3,83.7,44.6,8.4,23.7,35.4,20.4,26.0,78.6,11.7,30.2,41.9,21.8,15.3,8.6,4.7,21.3,-0.7,38.0,80.4,47.3,8.3,25.1,33.2,19.8,25.3,78.5,9.1,32.3,41.3,20.4,15.9,8.4,4.9,4.7,21.1,104.1
7,December,15,48.7,105.4,6,9,0.4,39.7,85.7,46.4,8.5,23.9,35.8,17.4,21.9,79.6,12.6,31.3,43.9,23.5,14.2,6.6,4.5,19.4,-2.1,39.7,84.1,47.2,10.8,28.2,38.3,17.2,22.3,77.2,9.7,30.0,39.7,23.9,12.9,7.8,4.8,4.5,19.9,107.5
8,January,15,48.3,104.3,8,7,0.533,39.4,83.1,47.4,7.1,20.0,35.3,18.4,23.3,78.9,10.0,33.3,43.3,25.0,14.9,7.7,5.3,21.0,1.6,38.5,82.8,46.5,8.6,25.0,34.4,17.1,22.3,76.9,8.8,31.1,39.9,22.2,13.9,7.6,5.1,5.3,21.1,102.7
9,February,5,48.0,105.8,1,4,0.2,40.4,85.4,47.3,6.8,18.8,36.2,18.2,22.2,82.0,11.6,27.2,38.8,24.0,11.6,7.4,3.2,20.0,-8.6,42.2,85.8,49.2,12.4,29.4,42.2,17.6,23.4,75.2,13.2,29.6,42.8,24.8,12.2,7.0,5.0,3.2,19.0,114.4
