,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 10, 2017 - LAL @ MIL",W,29,26,8,11,72.7,5,8,62.5,5,5,100.0,1,1,2,4,2,0,1,3,13,2017-02-10 00:00:00,MIL,AWAY
1,"FEB 08, 2017 - LAL @ DET",L,20,9,3,9,33.3,1,4,25.0,2,3,66.7,0,2,2,0,1,0,1,4,-1,2017-02-08 00:00:00,DET,AWAY
2,"FEB 06, 2017 - LAL @ NYK",W,22,17,5,14,35.7,3,10,30.0,4,4,100.0,1,4,5,0,1,0,0,2,5,2017-02-06 00:00:00,NYK,AWAY
3,"FEB 03, 2017 - LAL @ BOS",L,33,17,6,14,42.9,5,10,50.0,0,0,0.0,1,2,3,3,2,1,1,4,-3,2017-02-03 00:00:00,BOS,AWAY
4,"FEB 02, 2017 - LAL @ WAS",L,24,7,3,10,30.0,1,8,12.5,0,0,0.0,0,1,1,0,0,0,0,3,1,2017-02-02 00:00:00,WAS,AWAY
5,"JAN 31, 2017 - LAL vs. DEN",W,30,23,9,15,60.0,5,8,62.5,0,1,0.0,0,4,4,3,1,0,1,2,23,2017-01-31 00:00:00,DEN,HOME
6,"JAN 26, 2017 - LAL @ UTA",L,29,13,5,12,41.7,3,7,42.9,0,0,0.0,0,3,3,0,1,0,1,4,-9,2017-01-26 00:00:00,UTA,AWAY
7,"JAN 25, 2017 - LAL @ POR",L,30,15,5,10,50.0,3,6,50.0,2,2,100.0,0,4,4,0,0,0,1,3,-2,2017-01-25 00:00:00,POR,AWAY
8,"JAN 22, 2017 - LAL @ DAL",L,27,9,3,9,33.3,1,5,20.0,2,2,100.0,0,2,2,1,0,0,0,0,-23,2017-01-22 00:00:00,DAL,AWAY
9,"JAN 20, 2017 - LAL vs. IND",W,26,15,5,13,38.5,5,11,45.5,0,0,0.0,1,2,3,1,1,0,1,3,15,2017-01-20 00:00:00,IND,HOME
10,"JAN 17, 2017 - LAL vs. DEN",L,31,22,8,16,50.0,4,11,36.4,2,2,100.0,2,0,2,1,3,0,1,2,-6,2017-01-17 00:00:00,DEN,HOME
11,"JAN 15, 2017 - LAL vs. DET",L,26,8,2,8,25.0,1,7,14.3,3,3,100.0,2,5,7,1,0,0,0,3,4,2017-01-15 00:00:00,DET,HOME
12,"JAN 14, 2017 - LAL @ LAC",L,29,11,4,8,50.0,2,5,40.0,1,2,50.0,0,0,0,0,1,0,0,2,-16,2017-01-14 00:00:00,LAC,AWAY
13,"JAN 12, 2017 - LAL @ SAS",L,14,8,3,6,50.0,2,4,50.0,0,0,0.0,0,0,0,1,0,0,0,2,-26,2017-01-12 00:00:00,SAS,AWAY
14,"JAN 10, 2017 - LAL vs. POR",L,28,8,2,9,22.2,2,5,40.0,2,3,66.7,0,0,0,1,1,1,0,1,-6,2017-01-10 00:00:00,POR,HOME
15,"JAN 08, 2017 - LAL vs. ORL",W,19,2,1,7,14.3,0,4,0.0,0,0,0.0,0,1,1,0,0,1,2,0,4,2017-01-08 00:00:00,ORL,HOME
