BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,34,6.9,1.6,0.6,1.5,37.3,0.3,1.0,28.6,0.2,0.3,66.7,0.3,0.9,1.2,0.6,0.3,0.3,0.1,0.6,0,0,-0.4
Home,19,5.7,1.5,0.5,1.4,33.3,0.3,1.1,28.6,0.3,0.3,100,0.3,0.7,0.9,0.4,0.2,0.3,0.1,0.3,0,0,1.3
Road,15,8.3,1.7,0.7,1.6,41.7,0.3,0.9,28.6,0.1,0.3,25.0,0.3,1.1,1.5,0.9,0.5,0.2,0.1,0.9,0,0,-2.6
Wins,10,4.5,1.1,0.4,1.0,40.0,0.3,0.7,42.9,0.0,0.0,0.0,0.2,0.7,0.9,0.2,0.1,0.0,0.1,0.1,0,0,0.3
Losses,24,7.8,1.8,0.6,1.7,36.6,0.3,1.2,25.0,0.3,0.4,66.7,0.3,1.0,1.3,0.8,0.4,0.4,0.1,0.8,0,0,-0.8
October,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0,0,3.0
November,12,8.5,2.0,0.7,1.7,40.0,0.4,1.1,38.5,0.3,0.3,75.0,0.3,1.1,1.3,1.1,0.4,0.3,0.2,0.8,0,0,-1.3
December,11,6.2,1.2,0.5,1.5,29.4,0.2,1.1,16.7,0.1,0.1,100,0.4,0.7,1.1,0.5,0.3,0.3,0.2,0.5,0,0,1.3
January,7,7.7,1.4,0.6,1.6,36.4,0.3,1.3,22.2,0.0,0.0,0.0,0.3,1.3,1.6,0.3,0.4,0.1,0.0,0.9,0,0,-2.4
February,2,3.7,2.5,1.0,1.5,66.7,0.5,0.5,100,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,-1.5
Pre All-Star,34,6.9,1.6,0.6,1.5,37.3,0.3,1.0,28.6,0.2,0.3,66.7,0.3,0.9,1.2,0.6,0.3,0.3,0.1,0.6,0,0,-0.4
Bench,34,6.9,1.6,0.6,1.5,37.3,0.3,1.0,28.6,0.2,0.3,66.7,0.3,0.9,1.2,0.6,0.3,0.3,0.1,0.6,0,0,-0.4
0 Days Rest,6,5.2,1.3,0.5,1.5,33.3,0.3,1.0,33.3,0.0,0.0,0.0,0.2,0.7,0.8,0.3,0.3,0.3,0.0,0.3,0,0,-1.5
1 Days Rest,14,6.5,1.2,0.4,1.1,31.3,0.2,0.8,27.3,0.3,0.3,100,0.2,0.9,1.1,0.8,0.2,0.2,0.1,0.7,0,0,0.2
2 Days Rest,3,12.9,1.7,0.7,2.0,33.3,0.3,1.3,25.0,0.0,0.0,0.0,1.3,0.7,2.0,1.3,1.0,0.7,0.7,0.3,0,0,-0.7
3 Days Rest,3,11.9,1.7,0.7,2.7,25.0,0.0,2.0,0.0,0.3,0.3,100,0.3,2.0,2.3,0.7,0.7,0.3,0.0,2.3,0,0,-7.0
4 Days Rest,5,2.7,2.2,0.8,1.2,66.7,0.4,0.6,66.7,0.2,0.8,25.0,0.0,0.4,0.4,0.4,0.2,0.0,0.2,0.0,0,0,0.6
5 Days Rest,1,10.4,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0,0,-5.0
6+ Days Rest,2,6.1,4.0,1.5,2.0,75.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0
