BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,45,26.1,15.5,6.3,10.7,58.8,0.6,1.7,34.7,2.4,2.9,82.4,3.0,5.6,8.5,4.2,2.0,0.7,0.8,3.1,20,1,2.8
Home,24,26.5,16.1,6.5,10.7,60.7,0.6,1.6,35.9,2.5,3.1,82.4,2.6,6.3,8.8,5.3,2.0,0.8,0.8,3.0,11,1,5.2
Road,21,25.6,14.8,6.0,10.6,56.5,0.6,1.7,33.3,2.2,2.7,82.5,3.4,4.8,8.1,3.0,2.0,0.6,0.8,3.1,9,0,0.1
Wins,21,27.0,16.9,6.8,11.0,61.9,0.7,1.9,37.5,2.5,3.1,81.5,2.4,6.3,8.7,5.3,1.9,0.8,0.8,2.8,11,1,12.7
Losses,24,25.3,14.3,5.8,10.4,55.8,0.5,1.5,31.4,2.3,2.8,83.3,3.4,4.9,8.3,3.2,2.0,0.7,0.8,3.3,9,0,-5.8
October,3,25.9,13.3,6.0,11.3,52.9,0.7,2.7,25.0,0.7,1.0,66.7,3.0,6.3,9.3,1.7,3.0,1.3,0.3,4.3,1,0,-1.7
November,15,23.0,8.6,3.3,6.6,49.5,0.3,0.9,28.6,1.8,2.3,79.4,1.6,4.6,6.2,3.0,1.0,0.6,0.7,3.0,2,0,1.2
December,12,25.7,17.0,6.9,10.3,67.5,0.4,1.1,38.5,2.8,3.5,78.6,3.0,5.9,8.9,4.9,2.1,0.5,0.8,3.3,6,0,5.1
January,11,30.7,23.9,9.6,15.8,60.9,0.9,2.7,33.3,3.7,4.3,87.2,4.3,6.8,11.1,4.9,2.7,1.1,1.4,2.5,9,0,4.9
February,4,26.6,15.5,6.5,12.5,52.0,1.3,2.5,50.0,1.3,1.3,100,4.3,4.0,8.3,6.3,2.3,0.5,0.0,3.0,2,1,0.0
Pre All-Star,45,26.1,15.5,6.3,10.7,58.8,0.6,1.7,34.7,2.4,2.9,82.4,3.0,5.6,8.5,4.2,2.0,0.7,0.8,3.1,20,1,2.8
Starters,31,26.9,17.3,7.1,12.0,59.2,0.7,2.1,35.4,2.3,2.8,80.7,3.0,5.8,8.8,4.5,2.2,0.9,0.7,3.2,15,1,2.3
Bench,14,24.3,11.6,4.4,7.6,57.0,0.2,0.7,30.0,2.6,3.1,86.0,2.9,4.9,7.9,3.4,1.4,0.4,0.9,2.7,5,0,4.1
0 Days Rest,9,24.9,13.3,5.6,9.8,56.8,0.3,1.7,20.0,1.9,2.6,73.9,2.7,4.3,7.0,2.8,2.3,0.6,1.0,3.2,2,0,-5.2
1 Days Rest,23,27.1,15.8,6.4,11.0,57.9,0.5,1.6,29.7,2.5,2.8,89.2,3.0,5.7,8.6,4.4,1.8,0.6,0.8,3.0,10,0,2.5
2 Days Rest,8,23.4,15.5,6.3,10.1,61.7,0.8,1.5,50.0,2.3,3.3,69.2,2.6,6.1,8.8,4.0,1.8,1.1,0.5,3.9,4,0,5.0
3 Days Rest,1,35.9,30.0,13.0,19.0,68.4,1.0,2.0,50.0,3.0,5.0,60.0,3.0,8.0,11.0,5.0,2.0,3.0,1.0,2.0,1,0,18.0
4 Days Rest,1,21.1,5.0,2.0,5.0,40.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,4.0,0.0,0.0,4.0,0,0,5.0
6+ Days Rest,3,27.9,18.7,6.7,11.0,60.6,1.3,2.3,57.1,4.0,4.0,100,5.3,6.0,11.3,7.3,2.0,0.7,0.7,1.3,3,1,18.3
