,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 09, 2017 - POR vs. BOS",L,16,2,1,3,33.3,0,0,0.0,0,0,0.0,3,6,9,1,0,1,2,2,1,2017-02-09 00:00:00,BOS,HOME
1,"FEB 07, 2017 - POR @ DAL",W,22,0,0,2,0.0,0,0,0.0,0,2,0.0,1,7,8,0,0,0,3,2,2,2017-02-07 00:00:00,DAL,AWAY
2,"FEB 05, 2017 - POR @ OKC",L,15,4,2,4,50.0,0,0,0.0,0,0,0.0,4,0,4,0,0,0,0,1,-13,2017-02-05 00:00:00,OKC,AWAY
3,"FEB 03, 2017 - POR vs. DAL",L,7,4,2,3,66.7,0,0,0.0,0,2,0.0,2,1,3,0,0,0,0,0,-15,2017-02-03 00:00:00,DAL,HOME
4,"JAN 31, 2017 - POR vs. CHA",W,20,4,2,9,22.2,0,0,0.0,0,0,0.0,4,6,10,0,0,0,1,4,0,2017-01-31 00:00:00,CHA,HOME
5,"JAN 29, 2017 - POR vs. GSW",L,18,4,2,4,50.0,0,0,0.0,0,0,0.0,3,2,5,1,1,0,2,2,-16,2017-01-29 00:00:00,GSW,HOME
6,"JAN 27, 2017 - POR vs. MEM",W,16,0,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,4,1,2017-01-27 00:00:00,MEM,HOME
7,"JAN 25, 2017 - POR vs. LAL",W,20,8,4,6,66.7,0,0,0.0,0,0,0.0,4,6,10,0,0,0,1,2,14,2017-01-25 00:00:00,LAL,HOME
8,"JAN 21, 2017 - POR @ BOS",W,17,8,4,8,50.0,0,0,0.0,0,0,0.0,4,2,6,0,3,0,2,6,7,2017-01-21 00:00:00,BOS,AWAY
9,"JAN 20, 2017 - POR @ PHI",L,26,10,4,6,66.7,1,1,100.0,1,3,33.3,1,4,5,0,1,0,0,3,-3,2017-01-20 00:00:00,PHI,AWAY
10,"JAN 18, 2017 - POR @ CHA",L,18,4,2,10,20.0,0,0,0.0,0,0,0.0,6,1,7,0,0,2,0,0,-9,2017-01-18 00:00:00,CHA,AWAY
11,"JAN 16, 2017 - POR @ WAS",L,20,10,4,5,80.0,0,0,0.0,2,5,40.0,2,6,8,1,0,0,0,1,8,2017-01-16 00:00:00,WAS,AWAY
12,"JAN 11, 2017 - POR vs. CLE",W,4,2,0,1,0.0,0,0,0.0,2,2,100.0,1,2,3,0,0,1,0,1,-7,2017-01-11 00:00:00,CLE,HOME
13,"JAN 10, 2017 - POR @ LAL",W,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-3,2017-01-10 00:00:00,LAL,AWAY
14,"JAN 08, 2017 - POR vs. DET",L,13,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,-3,2017-01-08 00:00:00,DET,HOME
15,"JAN 05, 2017 - POR vs. LAL",W,4,0,0,1,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,1,1,-13,2017-01-05 00:00:00,LAL,HOME
16,"JAN 04, 2017 - POR @ GSW",L,7,2,1,3,33.3,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,0,-13,2017-01-04 00:00:00,GSW,AWAY
17,"JAN 01, 2017 - POR @ MIN",W,7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-6,2017-01-01 00:00:00,MIN,AWAY
18,"DEC 30, 2016 - POR @ SAS",L,9,2,1,1,100.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,2016-12-30 00:00:00,SAS,AWAY
19,"DEC 28, 2016 - POR vs. SAC",W,17,4,1,3,33.3,0,0,0.0,2,2,100.0,2,1,3,0,1,1,1,0,5,2016-12-28 00:00:00,SAC,HOME
20,"DEC 26, 2016 - POR vs. TOR",L,15,5,2,5,40.0,0,0,0.0,1,2,50.0,4,4,8,2,0,1,1,2,-6,2016-12-26 00:00:00,TOR,HOME
21,"DEC 23, 2016 - POR vs. SAS",L,18,5,1,3,33.3,0,0,0.0,3,4,75.0,1,3,4,0,1,0,1,1,-2,2016-12-23 00:00:00,SAS,HOME
22,"DEC 20, 2016 - POR @ SAC",L,10,0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,4,0,1,0,1,2,-12,2016-12-20 00:00:00,SAC,AWAY
23,"DEC 17, 2016 - POR @ GSW",L,24,6,3,7,42.9,0,0,0.0,0,2,0.0,3,5,8,0,1,0,2,1,-29,2016-12-17 00:00:00,GSW,AWAY
24,"DEC 15, 2016 - POR @ DEN",L,18,6,3,8,37.5,0,0,0.0,0,0,0.0,3,4,7,0,0,0,1,3,-5,2016-12-15 00:00:00,DEN,AWAY
25,"DEC 13, 2016 - POR vs. OKC",W,19,5,2,4,50.0,0,0,0.0,1,2,50.0,2,3,5,0,1,1,2,4,-4,2016-12-13 00:00:00,OKC,HOME
26,"DEC 12, 2016 - POR @ LAC",L,15,2,1,3,33.3,0,0,0.0,0,0,0.0,2,2,4,0,1,1,1,2,-2,2016-12-12 00:00:00,LAC,AWAY
27,"DEC 10, 2016 - POR @ IND",L,7,6,2,2,100.0,0,0,0.0,2,2,100.0,1,1,2,0,0,0,0,1,2,2016-12-10 00:00:00,IND,AWAY
28,"DEC 08, 2016 - POR @ MEM",L,7,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,3,3,2016-12-08 00:00:00,MEM,AWAY
29,"DEC 03, 2016 - POR vs. MIA",W,4,1,0,0,0.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,0,1,2,2016-12-03 00:00:00,MIA,HOME
30,"NOV 30, 2016 - POR vs. IND",W,2,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,5,2016-11-30 00:00:00,IND,HOME
31,"NOV 25, 2016 - POR vs. NOP",W,5,0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,-1,2016-11-25 00:00:00,NOP,HOME
32,"NOV 23, 2016 - POR @ CLE",L,14,0,0,2,0.0,0,1,0.0,0,0,0.0,1,4,5,0,0,0,1,1,6,2016-11-23 00:00:00,CLE,AWAY
33,"NOV 22, 2016 - POR @ NYK",L,6,2,0,0,0.0,0,0,0.0,2,2,100.0,0,2,2,0,0,1,2,0,-2,2016-11-22 00:00:00,NYK,AWAY
34,"NOV 20, 2016 - POR @ BKN",W,15,2,1,1,100.0,0,0,0.0,0,0,0.0,0,3,3,0,1,2,2,6,7,2016-11-20 00:00:00,BKN,AWAY
35,"NOV 18, 2016 - POR @ NOP",L,16,0,0,1,0.0,0,0,0.0,0,0,0.0,1,5,6,0,0,0,1,4,-4,2016-11-18 00:00:00,NOP,AWAY
36,"NOV 17, 2016 - POR @ HOU",L,16,9,3,5,60.0,1,2,50.0,2,2,100.0,0,3,3,0,0,2,0,0,5,2016-11-17 00:00:00,HOU,AWAY
37,"NOV 15, 2016 - POR vs. CHI",L,10,0,0,3,0.0,0,2,0.0,0,0,0.0,1,4,5,0,0,0,1,1,-2,2016-11-15 00:00:00,CHI,HOME
38,"NOV 13, 2016 - POR vs. DEN",W,5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-15,2016-11-13 00:00:00,DEN,HOME
39,"NOV 09, 2016 - POR @ LAC",L,26,5,2,8,25.0,1,2,50.0,0,0,0.0,2,9,11,1,0,0,1,2,-7,2016-11-09 00:00:00,LAC,AWAY
40,"NOV 08, 2016 - POR vs. PHX",W,15,5,2,8,25.0,1,4,25.0,0,0,0.0,3,5,8,0,1,1,2,2,-12,2016-11-08 00:00:00,PHX,HOME
41,"NOV 06, 2016 - POR @ MEM",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-5,2016-11-06 00:00:00,MEM,AWAY
42,"NOV 01, 2016 - POR vs. GSW",L,12,6,2,7,28.6,2,5,40.0,0,0,0.0,0,1,1,0,1,0,1,0,-5,2016-11-01 00:00:00,GSW,HOME
43,"OCT 29, 2016 - POR @ DEN",W,7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,0,0,2016-10-29 00:00:00,DEN,AWAY
44,"OCT 27, 2016 - POR vs. LAC",L,10,6,1,3,33.3,0,1,0.0,4,5,80.0,0,0,0,0,0,0,1,3,-12,2016-10-27 00:00:00,LAC,HOME
45,"OCT 25, 2016 - POR vs. UTA",W,16,11,5,5,100.0,1,1,100.0,0,0,0.0,0,1,1,0,0,1,0,1,14,2016-10-25 00:00:00,UTA,HOME
