BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,53,28.6,7.0,2.6,6.2,41.6,0.8,2.4,33.3,1.1,1.4,78.1,1.6,4.3,5.8,1.2,0.9,1.5,0.2,2.5,2,0,-3.3
Home,25,29.0,8.7,3.0,6.5,46.6,1.1,2.8,38.0,1.6,1.9,83.0,1.2,4.5,5.7,1.4,0.7,1.5,0.2,2.7,1,0,-2.8
Road,28,28.3,5.5,2.1,5.9,36.6,0.5,2.0,27.3,0.6,0.9,69.2,1.9,4.1,6.0,1.1,1.1,1.5,0.3,2.3,1,0,-3.7
Wins,16,31.0,8.9,3.3,7.5,44.2,0.9,2.9,31.9,1.3,1.8,75.0,1.6,4.6,6.2,1.3,1.1,1.7,0.3,2.4,1,0,3.6
Losses,37,27.6,6.2,2.2,5.6,40.1,0.7,2.1,34.2,1.0,1.2,80.0,1.6,4.1,5.7,1.2,0.8,1.5,0.2,2.5,1,0,-6.3
October,4,11.1,1.8,0.8,2.0,37.5,0.3,1.0,25.0,0.0,0.0,0.0,0.3,2.3,2.5,0.3,1.0,0.5,0.0,0.8,0,0,-3.5
November,15,27.1,6.9,2.1,5.5,39.0,0.6,2.1,28.1,2.1,2.7,75.6,1.8,4.8,6.6,1.2,0.9,1.2,0.3,2.3,0,0,-1.3
December,15,30.5,6.9,2.7,6.7,40.0,1.1,2.9,39.5,0.4,0.5,75.0,1.4,3.1,4.5,1.0,0.9,1.7,0.3,2.7,0,0,-6.4
January,14,31.8,8.1,3.3,7.0,46.9,0.6,2.3,28.1,0.9,1.2,76.5,1.5,5.3,6.8,1.8,0.8,1.6,0.2,2.7,1,0,-1.9
February,5,32.8,8.6,3.0,7.8,38.5,1.2,3.0,40.0,1.4,1.4,100,2.8,4.8,7.6,1.4,1.4,2.6,0.2,3.2,1,0,-3.8
Pre All-Star,53,28.6,7.0,2.6,6.2,41.6,0.8,2.4,33.3,1.1,1.4,78.1,1.6,4.3,5.8,1.2,0.9,1.5,0.2,2.5,2,0,-3.3
Starters,17,30.9,8.4,3.0,6.9,43.2,1.2,3.0,41.2,1.1,1.3,86.4,1.4,3.4,4.7,1.2,0.9,1.5,0.3,2.6,0,0,-5.6
Bench,36,27.6,6.4,2.4,5.8,40.7,0.6,2.1,28.0,1.1,1.4,74.5,1.7,4.7,6.4,1.3,0.9,1.6,0.2,2.4,2,0,-2.2
0 Days Rest,9,30.1,8.6,3.0,6.6,45.8,0.8,2.3,33.3,1.8,2.4,72.7,1.7,4.4,6.1,1.1,0.9,1.7,0.1,3.0,1,0,-2.0
1 Days Rest,34,29.9,7.2,2.7,6.5,41.4,0.9,2.5,37.2,0.9,1.2,75.6,1.6,4.6,6.2,1.3,0.8,1.7,0.4,2.5,1,0,-1.3
2 Days Rest,8,24.8,5.9,2.1,5.4,39.5,0.4,2.1,17.6,1.3,1.3,100,1.5,2.9,4.4,1.5,1.3,1.0,0.0,2.4,0,0,-14.4
3 Days Rest,1,26.1,2.0,1.0,5.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,1.0,1.0,0.0,0.0,1.0,0,0,17.0
6+ Days Rest,1,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,-14.0
