,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - GSW @ OKC",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6,2017-02-11 00:00:00,OKC,AWAY
1,"FEB 10, 2017 - GSW @ MEM",W,8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,-4,2017-02-10 00:00:00,MEM,AWAY
2,"FEB 08, 2017 - GSW vs. CHI",W,9,3,1,3,33.3,1,2,50.0,0,0,0.0,0,1,1,3,1,0,0,0,9,2017-02-08 00:00:00,CHI,HOME
3,"FEB 04, 2017 - GSW @ SAC",L,9,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,1,-1,2017-02-04 00:00:00,SAC,AWAY
4,"FEB 02, 2017 - GSW @ LAC",W,28,8,3,7,42.9,2,5,40.0,0,2,0.0,0,1,1,6,2,0,1,3,5,2017-02-02 00:00:00,LAC,AWAY
5,"FEB 01, 2017 - GSW vs. CHA",W,18,5,1,5,20.0,1,4,25.0,2,4,50.0,0,1,1,0,1,1,1,1,-13,2017-02-01 00:00:00,CHA,HOME
6,"JAN 29, 2017 - GSW @ POR",W,20,3,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,0,9,2017-01-29 00:00:00,POR,AWAY
7,"JAN 28, 2017 - GSW vs. LAC",W,18,5,2,5,40.0,1,4,25.0,0,0,0.0,0,2,2,1,0,0,0,1,25,2017-01-28 00:00:00,LAC,HOME
8,"JAN 25, 2017 - GSW @ CHA",W,12,4,2,3,66.7,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,1,-3,2017-01-25 00:00:00,CHA,AWAY
9,"JAN 23, 2017 - GSW @ MIA",L,18,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,-8,2017-01-23 00:00:00,MIA,AWAY
10,"JAN 22, 2017 - GSW @ ORL",W,20,10,4,11,36.4,2,5,40.0,0,0,0.0,1,0,1,1,0,0,1,0,-12,2017-01-22 00:00:00,ORL,AWAY
11,"JAN 20, 2017 - GSW @ HOU",W,3,8,3,3,100.0,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,0,-7,2017-01-20 00:00:00,HOU,AWAY
12,"JAN 18, 2017 - GSW vs. OKC",W,4,2,1,1,100.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,2017-01-18 00:00:00,OKC,HOME
13,"JAN 16, 2017 - GSW vs. CLE",W,5,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,0,0,-3,2017-01-16 00:00:00,CLE,HOME
14,"JAN 12, 2017 - GSW vs. DET",W,4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,-4,2017-01-12 00:00:00,DET,HOME
15,"JAN 10, 2017 - GSW vs. MIA",W,19,3,1,3,33.3,1,2,50.0,0,0,0.0,0,3,3,0,0,0,1,4,-11,2017-01-10 00:00:00,MIA,HOME
16,"JAN 06, 2017 - GSW vs. MEM",L,3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-2,2017-01-06 00:00:00,MEM,HOME
17,"JAN 04, 2017 - GSW vs. POR",W,1,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,-3,2017-01-04 00:00:00,POR,HOME
18,"DEC 25, 2016 - GSW @ CLE",L,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-1,2016-12-25 00:00:00,CLE,AWAY
19,"DEC 22, 2016 - GSW @ BKN",W,8,3,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,0,0,0,1,0,-1,2016-12-22 00:00:00,BKN,AWAY
20,"DEC 20, 2016 - GSW vs. UTA",W,11,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,-3,2016-12-20 00:00:00,UTA,HOME
21,"DEC 17, 2016 - GSW vs. POR",W,16,0,0,4,0.0,0,2,0.0,0,0,0.0,1,1,2,2,1,0,1,1,20,2016-12-17 00:00:00,POR,HOME
22,"DEC 15, 2016 - GSW vs. NYK",W,15,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,-2,2016-12-15 00:00:00,NYK,HOME
23,"DEC 13, 2016 - GSW @ NOP",W,2,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,1,0,2,2016-12-13 00:00:00,NOP,AWAY
24,"DEC 11, 2016 - GSW @ MIN",W,7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,1,2016-12-11 00:00:00,MIN,AWAY
25,"DEC 10, 2016 - GSW @ MEM",L,21,3,1,3,33.3,1,2,50.0,0,0,0.0,0,4,4,1,0,1,1,0,-2,2016-12-10 00:00:00,MEM,AWAY
26,"DEC 08, 2016 - GSW @ UTA",W,16,10,4,5,80.0,2,3,66.7,0,0,0.0,0,1,1,0,1,0,2,2,-3,2016-12-08 00:00:00,UTA,AWAY
27,"DEC 07, 2016 - GSW @ LAC",W,8,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,2016-12-07 00:00:00,LAC,AWAY
28,"DEC 05, 2016 - GSW vs. IND",W,15,9,3,8,37.5,3,6,50.0,0,0,0.0,2,2,4,5,1,0,2,0,14,2016-12-05 00:00:00,IND,HOME
29,"DEC 03, 2016 - GSW vs. PHX",W,8,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,7,2016-12-03 00:00:00,PHX,HOME
30,"DEC 01, 2016 - GSW vs. HOU",L,9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,-11,2016-12-01 00:00:00,HOU,HOME
31,"NOV 28, 2016 - GSW vs. ATL",W,4,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,1,-1,2016-11-28 00:00:00,ATL,HOME
32,"NOV 26, 2016 - GSW vs. MIN",W,13,2,1,1,100.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,0,-4,2016-11-26 00:00:00,MIN,HOME
33,"NOV 25, 2016 - GSW @ LAL",W,12,3,1,2,50.0,1,2,50.0,0,0,0.0,0,1,1,1,0,0,1,2,-11,2016-11-25 00:00:00,LAL,AWAY
34,"NOV 23, 2016 - GSW vs. LAL",W,15,0,0,1,0.0,0,0,0.0,0,2,0.0,0,1,1,4,0,0,1,0,22,2016-11-23 00:00:00,LAL,HOME
35,"NOV 21, 2016 - GSW @ IND",W,12,5,2,8,25.0,1,4,25.0,0,0,0.0,0,0,0,0,0,0,0,1,8,2016-11-21 00:00:00,IND,AWAY
36,"NOV 19, 2016 - GSW @ MIL",W,17,3,1,4,25.0,1,3,33.3,0,0,0.0,1,0,1,1,0,0,1,2,-18,2016-11-19 00:00:00,MIL,AWAY
37,"NOV 18, 2016 - GSW @ BOS",W,16,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,2,-14,2016-11-18 00:00:00,BOS,AWAY
