,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 03, 2017 - TOR @ ORL",L,7,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,-1,2017-02-03 00:00:00,ORL,AWAY
1,"FEB 01, 2017 - TOR @ BOS",L,21,10,3,6,50.0,1,4,25.0,3,5,60.0,1,2,3,0,1,0,0,0,3,2017-02-01 00:00:00,BOS,AWAY
2,"JAN 31, 2017 - TOR vs. NOP",W,35,10,4,8,50.0,2,5,40.0,0,0,0.0,0,8,8,1,0,1,3,2,21,2017-01-31 00:00:00,NOP,HOME
3,"JAN 29, 2017 - TOR vs. ORL",L,29,7,2,4,50.0,1,2,50.0,2,3,66.7,3,7,10,1,0,1,1,1,11,2017-01-29 00:00:00,ORL,HOME
4,"JAN 27, 2017 - TOR vs. MIL",W,27,10,4,6,66.7,2,4,50.0,0,0,0.0,2,5,7,2,2,1,0,1,5,2017-01-27 00:00:00,MIL,HOME
5,"JAN 25, 2017 - TOR @ MEM",L,27,3,1,7,14.3,1,7,14.3,0,2,0.0,0,3,3,1,0,0,1,1,2,2017-01-25 00:00:00,MEM,AWAY
6,"JAN 24, 2017 - TOR vs. SAS",L,21,12,5,6,83.3,2,3,66.7,0,0,0.0,0,5,5,1,0,0,0,1,1,2017-01-24 00:00:00,SAS,HOME
7,"JAN 10, 2017 - TOR vs. BOS",W,21,0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,1,1,4,-3,2017-01-10 00:00:00,BOS,HOME
8,"JAN 08, 2017 - TOR vs. HOU",L,22,8,3,5,60.0,2,2,100.0,0,0,0.0,3,4,7,2,0,0,1,6,-6,2017-01-08 00:00:00,HOU,HOME
9,"DEC 29, 2016 - TOR @ PHX",L,9,0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2016-12-29 00:00:00,PHX,AWAY
10,"DEC 28, 2016 - TOR @ GSW",L,33,5,2,9,22.2,1,5,20.0,0,0,0.0,1,4,5,0,1,1,2,1,-8,2016-12-28 00:00:00,GSW,AWAY
11,"DEC 26, 2016 - TOR @ POR",W,31,15,5,12,41.7,5,11,45.5,0,0,0.0,3,5,8,0,0,0,1,1,12,2016-12-26 00:00:00,POR,AWAY
12,"DEC 23, 2016 - TOR @ UTA",W,33,3,1,2,50.0,1,2,50.0,0,0,0.0,2,2,4,1,0,1,1,0,7,2016-12-23 00:00:00,UTA,AWAY
13,"DEC 18, 2016 - TOR @ ORL",W,20,3,1,4,25.0,1,3,33.3,0,0,0.0,0,4,4,1,2,0,0,1,14,2016-12-18 00:00:00,ORL,AWAY
14,"DEC 16, 2016 - TOR vs. ATL",L,35,10,4,8,50.0,2,4,50.0,0,0,0.0,3,2,5,2,2,0,0,3,18,2016-12-16 00:00:00,ATL,HOME
15,"DEC 14, 2016 - TOR @ PHI",W,28,9,3,6,50.0,2,4,50.0,1,2,50.0,2,3,5,1,0,0,0,1,16,2016-12-14 00:00:00,PHI,AWAY
16,"DEC 12, 2016 - TOR vs. MIL",W,25,5,2,2,100.0,1,1,100.0,0,0,0.0,1,3,4,3,0,0,2,2,18,2016-12-12 00:00:00,MIL,HOME
17,"DEC 09, 2016 - TOR @ BOS",W,30,5,2,7,28.6,1,4,25.0,0,0,0.0,2,8,10,4,1,0,1,5,13,2016-12-09 00:00:00,BOS,AWAY
18,"DEC 08, 2016 - TOR vs. MIN",W,30,7,2,10,20.0,2,8,25.0,1,4,25.0,1,4,5,2,0,0,0,1,13,2016-12-08 00:00:00,MIN,HOME
19,"DEC 05, 2016 - TOR vs. CLE",L,30,12,3,12,25.0,3,7,42.9,3,4,75.0,3,6,9,0,0,0,2,3,17,2016-12-05 00:00:00,CLE,HOME
20,"DEC 03, 2016 - TOR vs. ATL",W,21,17,6,8,75.0,4,5,80.0,1,1,100.0,0,4,4,2,1,0,1,3,21,2016-12-03 00:00:00,ATL,HOME
21,"DEC 02, 2016 - TOR vs. LAL",W,24,5,2,4,50.0,1,3,33.3,0,0,0.0,1,6,7,0,0,1,1,2,19,2016-12-02 00:00:00,LAL,HOME
22,"NOV 30, 2016 - TOR vs. MEM",W,30,14,5,10,50.0,4,6,66.7,0,0,0.0,3,10,13,0,1,0,1,1,17,2016-11-30 00:00:00,MEM,HOME
23,"NOV 28, 2016 - TOR vs. PHI",W,20,8,3,5,60.0,2,4,50.0,0,0,0.0,0,2,2,1,2,0,0,1,21,2016-11-28 00:00:00,PHI,HOME
24,"NOV 25, 2016 - TOR @ MIL",W,25,11,3,7,42.9,3,6,50.0,2,2,100.0,1,4,5,3,0,0,0,4,4,2016-11-25 00:00:00,MIL,AWAY
25,"NOV 23, 2016 - TOR @ HOU",W,27,5,1,3,33.3,1,2,50.0,2,2,100.0,1,4,5,1,4,0,0,3,4,2016-11-23 00:00:00,HOU,AWAY
26,"NOV 21, 2016 - TOR @ LAC",L,36,14,4,8,50.0,3,6,50.0,3,3,100.0,0,6,6,2,2,0,2,4,-4,2016-11-21 00:00:00,LAC,AWAY
27,"NOV 20, 2016 - TOR @ SAC",L,27,11,4,7,57.1,3,6,50.0,0,0,0.0,1,4,5,1,1,0,2,2,9,2016-11-20 00:00:00,SAC,AWAY
28,"NOV 18, 2016 - TOR @ DEN",W,30,1,0,4,0.0,0,4,0.0,1,2,50.0,0,6,6,1,0,1,1,4,4,2016-11-18 00:00:00,DEN,AWAY
29,"NOV 16, 2016 - TOR vs. GSW",L,25,5,2,7,28.6,1,3,33.3,0,0,0.0,1,3,4,1,0,0,1,0,-8,2016-11-16 00:00:00,GSW,HOME
30,"NOV 15, 2016 - TOR @ CLE",L,34,2,1,6,16.7,0,3,0.0,0,0,0.0,2,4,6,2,2,0,0,4,-14,2016-11-15 00:00:00,CLE,AWAY
31,"NOV 12, 2016 - TOR vs. NYK",W,28,10,3,8,37.5,2,7,28.6,2,2,100.0,0,5,5,2,1,0,0,3,17,2016-11-12 00:00:00,NYK,HOME
32,"NOV 11, 2016 - TOR @ CHA",W,33,6,2,10,20.0,2,7,28.6,0,0,0.0,2,5,7,3,0,0,0,2,11,2016-11-11 00:00:00,CHA,AWAY
