BREAKDOWN,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
2016-17,45,35.6,22.5,7.9,17.5,45.2,2.3,6.0,37.9,4.5,4.9,91.8,0.9,5.3,6.2,3.4,2.9,1.7,0.3,2.6,4,0,3.0
Home,22,35.7,24.0,8.4,18.2,45.9,2.4,6.5,36.1,5.0,5.5,90.1,0.9,5.2,6.1,3.6,3.0,1.9,0.2,2.4,1,0,11.8
Road,23,35.5,21.1,7.4,16.7,44.4,2.2,5.6,39.8,4.0,4.3,93.9,0.9,5.3,6.2,3.1,2.8,1.5,0.4,2.8,3,0,-5.5
Wins,26,35.4,24.1,8.5,17.8,47.6,2.3,6.0,38.7,4.8,5.3,90.6,0.9,5.4,6.3,3.3,2.9,1.7,0.4,2.3,3,0,12.3
Losses,19,35.8,20.4,7.1,17.1,41.7,2.3,6.2,36.8,3.9,4.2,93.8,0.8,5.1,5.9,3.4,2.9,1.7,0.3,3.0,1,0,-9.8
October,3,34.2,22.3,7.7,16.0,47.9,3.3,6.0,55.6,3.7,4.0,91.7,0.3,5.7,6.0,3.7,2.0,1.0,0.0,2.7,0,0,4.7
November,9,35.2,20.2,7.4,17.3,42.9,2.1,6.7,31.7,3.2,3.4,93.5,1.4,5.6,7.0,3.4,3.6,2.1,0.7,2.4,1,0,2.3
December,15,36.9,23.4,8.0,17.8,44.9,2.3,6.1,38.0,5.1,5.5,92.7,0.7,5.7,6.5,3.1,2.9,1.7,0.1,3.2,2,0,0.3
January,13,35.0,24.5,8.3,17.4,47.8,2.3,5.5,42.3,5.5,6.0,92.3,0.5,4.3,4.8,3.2,2.5,1.5,0.3,2.2,0,0,4.8
February,5,34.6,19.2,7.4,17.8,41.6,1.8,6.2,29.0,2.6,3.2,81.3,1.6,5.8,7.4,4.0,3.4,1.6,0.8,2.2,1,0,6.2
Pre All-Star,45,35.6,22.5,7.9,17.5,45.2,2.3,6.0,37.9,4.5,4.9,91.8,0.9,5.3,6.2,3.4,2.9,1.7,0.3,2.6,4,0,3.0
Starters,45,35.6,22.5,7.9,17.5,45.2,2.3,6.0,37.9,4.5,4.9,91.8,0.9,5.3,6.2,3.4,2.9,1.7,0.3,2.6,4,0,3.0
0 Days Rest,8,33.7,23.1,7.8,16.1,48.1,2.3,5.0,45.0,5.4,5.8,93.5,0.6,4.0,4.6,3.1,2.6,1.5,0.0,3.1,1,0,-4.3
1 Days Rest,27,36.0,23.9,8.6,18.4,46.7,2.4,6.4,37.0,4.3,4.8,89.9,1.0,5.7,6.8,3.0,2.9,1.6,0.5,2.5,3,0,4.9
2 Days Rest,4,35.4,20.8,7.0,17.0,41.2,1.8,5.0,35.0,5.0,5.3,95.2,1.3,4.8,6.0,3.5,4.0,1.8,0.5,2.3,0,0,8.3
3 Days Rest,2,36.9,16.5,6.0,15.5,38.7,1.5,5.5,27.3,3.0,3.0,100,0.0,4.0,4.0,7.0,3.5,1.5,0.0,2.5,0,0,6.0
4 Days Rest,1,31.3,10.0,2.0,12.0,16.7,2.0,6.0,33.3,4.0,4.0,100,0.0,4.0,4.0,3.0,2.0,4.0,0.0,1.0,0,0,-31.0
6+ Days Rest,3,38.1,19.7,6.3,16.3,38.8,3.0,7.3,40.9,4.0,4.3,92.3,0.3,6.7,7.0,4.7,2.3,2.0,0.0,3.0,0,0,6.7
