,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 11, 2017 - IND vs. MIL",L,38,13,4,11,36.4,2,3,66.7,3,3,100.0,1,7,8,3,0,0,5,6,-6,2017-02-11 00:00:00,MIL,HOME
1,"FEB 10, 2017 - IND @ WAS",L,36,31,12,23,52.2,2,6,33.3,5,7,71.4,1,3,4,2,0,1,1,2,-18,2017-02-10 00:00:00,WAS,AWAY
2,"FEB 08, 2017 - IND vs. CLE",L,38,22,9,19,47.4,2,5,40.0,2,3,66.7,1,7,8,6,2,1,3,2,-10,2017-02-08 00:00:00,CLE,HOME
3,"FEB 06, 2017 - IND vs. OKC",W,33,21,7,20,35.0,2,9,22.2,5,6,83.3,4,4,8,4,3,0,5,3,0,2017-02-06 00:00:00,OKC,HOME
4,"FEB 04, 2017 - IND vs. DET",W,32,21,9,14,64.3,3,6,50.0,0,1,0.0,0,3,3,4,1,0,1,2,21,2017-02-04 00:00:00,DET,HOME
5,"FEB 03, 2017 - IND @ BKN",W,37,24,9,22,40.9,1,5,20.0,5,5,100.0,2,9,11,3,2,3,3,2,17,2017-02-03 00:00:00,BKN,AWAY
6,"FEB 01, 2017 - IND @ ORL",W,33,8,3,14,21.4,1,6,16.7,1,1,100.0,1,6,7,3,0,0,5,2,3,2017-02-01 00:00:00,ORL,AWAY
7,"JAN 29, 2017 - IND vs. HOU",W,36,33,13,23,56.5,3,7,42.9,4,4,100.0,0,9,9,3,1,1,2,2,26,2017-01-29 00:00:00,HOU,HOME
8,"JAN 27, 2017 - IND vs. SAC",W,45,33,8,18,44.4,1,5,20.0,16,17,94.1,1,3,4,3,2,0,4,2,11,2017-01-27 00:00:00,SAC,HOME
9,"JAN 26, 2017 - IND @ MIN",W,37,32,12,22,54.5,3,4,75.0,5,6,83.3,1,3,4,5,1,0,3,4,10,2017-01-26 00:00:00,MIN,AWAY
10,"JAN 23, 2017 - IND vs. NYK",L,39,31,11,24,45.8,3,10,30.0,6,7,85.7,1,6,7,3,2,0,3,3,1,2017-01-23 00:00:00,NYK,HOME
11,"JAN 21, 2017 - IND @ UTA",L,29,19,8,16,50.0,3,5,60.0,0,0,0.0,0,4,4,2,0,0,0,6,-18,2017-01-21 00:00:00,UTA,AWAY
12,"JAN 20, 2017 - IND @ LAL",L,36,21,8,15,53.3,3,7,42.9,2,2,100.0,1,5,6,2,2,1,4,0,-15,2017-01-20 00:00:00,LAL,AWAY
13,"JAN 18, 2017 - IND @ SAC",W,42,24,8,15,53.3,2,5,40.0,6,6,100.0,0,4,4,3,1,0,4,1,5,2017-01-18 00:00:00,SAC,AWAY
14,"JAN 16, 2017 - IND vs. NOP",W,34,19,6,17,35.3,2,6,33.3,5,5,100.0,0,5,5,6,2,0,3,3,20,2017-01-16 00:00:00,NOP,HOME
15,"JAN 12, 2017 - IND @ DEN",L,31,10,2,12,16.7,2,6,33.3,4,4,100.0,0,4,4,3,4,0,2,1,-31,2017-01-12 00:00:00,DEN,AWAY
16,"JAN 07, 2017 - IND vs. NYK",W,28,19,7,16,43.8,1,4,25.0,4,4,100.0,0,3,3,4,2,0,4,3,10,2017-01-07 00:00:00,NYK,HOME
17,"JAN 05, 2017 - IND vs. BKN",W,31,26,10,18,55.6,2,4,50.0,4,6,66.7,0,1,1,3,3,0,0,0,34,2017-01-05 00:00:00,BKN,HOME
18,"JAN 03, 2017 - IND @ DET",W,36,32,10,17,58.8,2,3,66.7,10,10,100.0,1,5,6,2,0,2,2,0,-6,2017-01-03 00:00:00,DET,AWAY
19,"JAN 01, 2017 - IND vs. ORL",W,31,19,5,13,38.5,3,5,60.0,6,7,85.7,1,4,5,3,0,0,1,3,13,2017-01-01 00:00:00,ORL,HOME
20,"DEC 30, 2016 - IND vs. CHI",W,37,32,10,20,50.0,3,10,30.0,9,9,100.0,0,4,4,1,2,0,4,4,18,2016-12-30 00:00:00,CHI,HOME
