,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - CHI @ GSW",L,10,0,0,1,0.0,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,1,-11,2017-02-08 00:00:00,GSW,AWAY
1,"FEB 06, 2017 - CHI @ SAC",W,24,0,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,1,1,0,1,1,-14,2017-02-06 00:00:00,SAC,AWAY
2,"FEB 03, 2017 - CHI @ HOU",L,29,11,4,10,40.0,1,6,16.7,2,2,100.0,2,1,3,1,2,2,2,5,0,2017-02-03 00:00:00,HOU,AWAY
3,"FEB 01, 2017 - CHI @ OKC",W,24,7,2,5,40.0,1,3,33.3,2,3,66.7,0,5,5,2,0,0,1,2,-4,2017-02-01 00:00:00,OKC,AWAY
4,"JAN 29, 2017 - CHI vs. PHI",W,29,13,5,8,62.5,3,5,60.0,0,0,0.0,0,3,3,0,0,0,0,0,20,2017-01-29 00:00:00,PHI,HOME
5,"JAN 27, 2017 - CHI vs. MIA",L,27,14,5,11,45.5,1,4,25.0,3,3,100.0,0,5,5,0,1,0,1,2,-4,2017-01-27 00:00:00,MIA,HOME
6,"JAN 25, 2017 - CHI vs. ATL",L,23,2,0,4,0.0,0,3,0.0,2,2,100.0,0,3,3,0,0,2,0,1,-7,2017-01-25 00:00:00,ATL,HOME
7,"JAN 24, 2017 - CHI @ ORL",W,20,5,1,4,25.0,1,3,33.3,2,2,100.0,0,1,1,0,0,1,2,2,6,2017-01-24 00:00:00,ORL,AWAY
8,"JAN 21, 2017 - CHI vs. SAC",W,23,13,4,8,50.0,3,6,50.0,2,2,100.0,2,2,4,0,0,0,2,2,11,2017-01-21 00:00:00,SAC,HOME
9,"JAN 20, 2017 - CHI @ ATL",L,15,10,3,7,42.9,1,3,33.3,3,3,100.0,0,1,1,0,0,0,0,2,17,2017-01-20 00:00:00,ATL,AWAY
10,"JAN 17, 2017 - CHI vs. DAL",L,19,5,2,5,40.0,1,2,50.0,0,0,0.0,0,3,3,0,0,0,0,0,6,2017-01-17 00:00:00,DAL,HOME
11,"JAN 15, 2017 - CHI @ MEM",W,15,5,2,3,66.7,0,1,0.0,1,2,50.0,0,2,2,0,0,0,3,1,-5,2017-01-15 00:00:00,MEM,AWAY
12,"JAN 12, 2017 - CHI @ NYK",L,34,7,2,6,33.3,1,3,33.3,2,2,100.0,0,5,5,2,0,0,0,1,-16,2017-01-12 00:00:00,NYK,AWAY
13,"JAN 09, 2017 - CHI vs. OKC",L,8,0,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5,2017-01-09 00:00:00,OKC,HOME
14,"DEC 25, 2016 - CHI @ SAS",L,2,0,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,0,1,0,-3,2016-12-25 00:00:00,SAS,AWAY
15,"DEC 19, 2016 - CHI vs. DET",W,7,0,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,-3,2016-12-19 00:00:00,DET,HOME
16,"DEC 16, 2016 - CHI vs. MIL",L,9,3,1,4,25.0,0,2,0.0,1,2,50.0,0,2,2,0,1,0,2,1,-3,2016-12-16 00:00:00,MIL,HOME
17,"DEC 03, 2016 - CHI @ DAL",L,4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-7,2016-12-03 00:00:00,DAL,AWAY
18,"NOV 15, 2016 - CHI @ POR",W,4,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-1,2016-11-15 00:00:00,POR,AWAY
19,"NOV 07, 2016 - CHI vs. ORL",W,6,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,1,3,2016-11-07 00:00:00,ORL,HOME
20,"NOV 05, 2016 - CHI @ IND",L,8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,9,2016-11-05 00:00:00,IND,AWAY
21,"OCT 31, 2016 - CHI @ BKN",W,4,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,1,0,0,0,-3,2016-10-31 00:00:00,BKN,AWAY
22,"OCT 29, 2016 - CHI vs. IND",W,3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2016-10-29 00:00:00,IND,HOME
