,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 09, 2017 - PHI @ ORL",W,240,112,40,95,42.1,11,28,39.3,21,27,77.8,13,32,45,25,13,5,15,19,2017-02-09 00:00:00,ORL,AWAY
1,"FEB 08, 2017 - PHI vs. SAS",L,240,103,34,83,41.0,13,34,38.2,22,29,75.9,7,28,35,23,8,2,6,19,2017-02-08 00:00:00,SAS,HOME
2,"FEB 06, 2017 - PHI @ DET",L,240,96,36,85,42.4,5,28,17.9,19,28,67.9,11,30,41,19,8,0,13,17,2017-02-06 00:00:00,DET,AWAY
3,"FEB 04, 2017 - PHI @ MIA",L,240,102,35,84,41.7,6,23,26.1,26,31,83.9,6,27,33,20,10,1,15,21,2017-02-04 00:00:00,MIA,AWAY
4,"FEB 02, 2017 - PHI @ SAS",L,240,86,30,88,34.1,9,25,36.0,17,23,73.9,12,34,46,21,10,5,21,23,2017-02-02 00:00:00,SAS,AWAY
5,"FEB 01, 2017 - PHI @ DAL",L,240,95,35,77,45.5,6,22,27.3,19,26,73.1,5,34,39,21,5,2,13,21,2017-02-01 00:00:00,DAL,AWAY
6,"JAN 30, 2017 - PHI vs. SAC",W,240,122,45,83,54.2,11,31,35.5,21,26,80.8,9,20,29,32,12,2,14,18,2017-01-30 00:00:00,SAC,HOME
7,"JAN 29, 2017 - PHI @ CHI",L,240,108,44,99,44.4,10,28,35.7,10,14,71.4,11,32,43,26,8,8,12,22,2017-01-29 00:00:00,CHI,AWAY
8,"JAN 27, 2017 - PHI vs. HOU",L,240,118,42,78,53.8,10,25,40.0,24,32,75.0,3,26,29,29,14,6,22,25,2017-01-27 00:00:00,HOU,HOME
9,"JAN 25, 2017 - PHI @ MIL",W,240,114,40,75,53.3,12,26,46.2,22,25,88.0,9,34,43,32,9,4,21,21,2017-01-25 00:00:00,MIL,AWAY
10,"JAN 24, 2017 - PHI vs. LAC",W,240,121,45,90,50.0,10,29,34.5,21,22,95.5,6,32,38,35,8,7,5,27,2017-01-24 00:00:00,LAC,HOME
11,"JAN 21, 2017 - PHI @ ATL",L,240,93,33,78,42.3,12,29,41.4,15,18,83.3,7,32,39,27,8,6,22,19,2017-01-21 00:00:00,ATL,AWAY
