,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
0,"FEB 05, 2017 - BKN vs. TOR",L,2,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-3,2017-02-05 00:00:00,TOR,HOME
1,"FEB 03, 2017 - BKN vs. IND",L,13,8,2,7,28.6,2,5,40.0,2,2,100.0,2,1,3,0,0,2,0,3,-3,2017-02-03 00:00:00,IND,HOME
2,"JAN 28, 2017 - BKN @ MIN",L,17,5,2,6,33.3,1,2,50.0,0,0,0.0,2,0,2,0,0,1,0,1,-10,2017-01-28 00:00:00,MIN,AWAY
3,"JAN 27, 2017 - BKN @ CLE",L,18,7,3,4,75.0,1,1,100.0,0,0,0.0,0,5,5,0,0,1,1,2,-5,2017-01-27 00:00:00,CLE,AWAY
4,"JAN 25, 2017 - BKN vs. MIA",L,6,7,2,3,66.7,1,1,100.0,2,2,100.0,0,0,0,0,0,0,1,1,-2,2017-01-25 00:00:00,MIA,HOME
5,"JAN 23, 2017 - BKN vs. SAS",L,11,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,2,-8,2017-01-23 00:00:00,SAS,HOME
6,"JAN 21, 2017 - BKN @ CHA",L,17,14,5,7,71.4,3,4,75.0,1,1,100.0,0,4,4,1,2,1,0,2,-3,2017-01-21 00:00:00,CHA,AWAY
7,"JAN 20, 2017 - BKN @ NOP",W,22,12,3,5,60.0,2,4,50.0,4,4,100.0,1,7,8,1,0,0,2,2,16,2017-01-20 00:00:00,NOP,AWAY
8,"JAN 17, 2017 - BKN vs. TOR",L,3,5,2,4,50.0,0,0,0.0,1,1,100.0,1,0,1,0,0,0,0,0,5,2017-01-17 00:00:00,TOR,HOME
9,"JAN 15, 2017 - BKN vs. HOU",L,20,7,2,6,33.3,1,2,50.0,2,2,100.0,3,1,4,0,0,2,0,3,-4,2017-01-15 00:00:00,HOU,HOME
10,"JAN 13, 2017 - BKN @ TOR",L,5,9,3,3,100.0,1,1,100.0,2,2,100.0,1,1,2,0,0,0,0,0,1,2017-01-13 00:00:00,TOR,AWAY
11,"JAN 10, 2017 - BKN vs. ATL",L,1,4,1,1,100.0,1,1,100.0,1,3,33.3,1,0,1,0,0,0,0,0,7,2017-01-10 00:00:00,ATL,HOME
12,"NOV 14, 2016 - DAL @ NYK",L,2,2,1,2,50.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,-1,2016-11-14 00:00:00,NYK,AWAY
13,"NOV 09, 2016 - DAL @ GSW",L,24,6,2,6,33.3,0,2,0.0,2,2,100.0,1,2,3,0,0,0,1,5,-17,2016-11-09 00:00:00,GSW,AWAY
14,"NOV 04, 2016 - DAL vs. POR",L,11,2,1,3,33.3,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,2,1,2016-11-04 00:00:00,POR,HOME
15,"NOV 02, 2016 - DAL @ UTA",L,2,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-1,2016-11-02 00:00:00,UTA,AWAY
16,"OCT 28, 2016 - DAL vs. HOU",L,8,3,1,5,20.0,1,3,33.3,0,0,0.0,0,1,1,0,0,0,0,1,-5,2016-10-28 00:00:00,HOU,HOME
17,"OCT 26, 2016 - DAL @ IND",L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-4,2016-10-26 00:00:00,IND,AWAY
